stationCode,stationName,lat,lon,fid
G4809,Milo A Konsankoro,9.0,-9.0,G4809
G4905,Kokoulo A Diawla,11.0903,-12.4167,G4905
G4768,Dion A Diamaradou,9.0833,-8.7333,G4768
G4747,Niandan A Kissidougou -Niandan Scierie-,9.25,-10.017,G4747
G5206,Konkoure A Pont De Telimele,10.5064,-12.8969,G5206
G4525,Niger A Tiguibery  -Siguiri-,11.37,-9.1604,G4525
G1057,Kouroussa,10.65,-9.8667,G1057
G1787,Kankan,10.375,-9.325,G1787
G4903,Konkoure A Amaria,10.325,-13.575,G4903
G1037,Daka Saydou,12.1925,-10.3644,G1037
G4780,Dion A Baranama,10.125,-8.7583,G4780
G4726,Koliba A Gaoual,11.7833,-13.2,G4726
G5260,Diani A Bac Diani,8.0556,-9.0667,G5260
G5284,Senegal-Bafing A Sokotoro 2,10.65,-11.75,G5284
G5283,Konkoure A Garafiri Aval,10.5528,-12.6444,G5283
G4989,Sankarani A Mandiana,10.617,-8.6833,G4989
G4994,Cogon A Cogon Pont - Anciennement Bac,11.3667,-13.9,G4994
G4753,Milo A Kerouane,9.2667,-9.0333,G4753
G5185,Fatala A Bindan,10.3667,-13.85,G5185
G5203,Kakrima A Kondombofou,10.6333,-12.9333,G5203
G4831,Kolente A Badera 1 -Medina Oula- Cp 1 Et 2,9.875,-12.5183,G4831
G4817,Niger A Faranah,10.037,-10.749,G4817
G4830,Mongo A Marela -Pont Mongo-,10.1167,-11.4167,G4830
G4898,Badi A Bac De Badi,10.2833,-13.4,G4898
G4754,Tinkisso A Tinkisso,11.244,-10.592,G4754
G4404,Niandan A Baro,10.617,-9.7,G4404
