stationCode,stationName,lat,lon,fid
G5004,Benue A Wuro Boki,9.3833,12.767,G5004
G5049,Benue A Umaisha,7.9833,7.2,G5049
G4924,Jamaare River At Foggo,11.424,9.9508,G4924
G5048,Niger A Baro,8.5833,6.3833,G5048
G1897,Niger A  Jebba Downstream Dam,9.1667,4.8333,G1897
G5105,Katsina Ala A Katsina Ala,7.25,9.336,G5105
G1051,Yidere Bode,11.3833,4.1333,G1051
G1019,Geidam,12.9899,11.9705,G1019
G1895,Sokoto A Kende,11.518,4.25,G1895
G4932,Dudurun Warwade At Chai-Chai,12.015,9.2683,G4932
G1032,Hadejia,12.4406,10.0309,G1032
G1077,Ibi,8.2,9.7333,G1077
G1024,Gashua,12.8619,11.0454,G1024
G1900,Benue A Makurdi,7.75,8.5333,G1900
G1036,Kafin Hausa,12.2607,9.9183,G1036
G1035,Katagum,12.2809,10.3677,G1035
G1083,Lokoja,7.8,6.7667,G1083
G1898,Niger A Onitsha,6.1905,6.7541,G1898
G5310,Goulbi De Maradi A Nielloua,13.125,7.225,G5310
G5025,Kaduna A Wuya,9.1167,5.8333,G5025
G1031,Dapchi,12.4935,11.5072,G1031
G1043,Wudil,11.7971,8.8341,G1043
G1899,Na,6.525,6.875,G1899
G5112,Jamaare River At Bunga,10.93,9.6057,G5112
