ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM0_EN,ADM0_PCODE
Rongo,KE044253,Migori,KE044,Kenya,KE
Roysambu,KE047279,Nairobi,KE047,Kenya,KE
Ruaraka,KE047281,Nairobi,KE047,Kenya,KE
Ruiru,KE022115,Kiambu,KE022,Kenya,KE
Runyenjes,KE014064,Embu,KE014,Kenya,KE
Sabatia,KE038212,Vihiga,KE038,Kenya,KE
Saboti,KE026138,Trans Nzoia,KE026,Kenya,KE
Saku,KE010047,Marsabit,KE010,Kenya,KE
Samburu East,KE025135,Samburu,KE025,Kenya,KE
Samburu North,KE025134,Samburu,KE025,Kenya,KE
Samburu West,KE025133,Samburu,KE025,Kenya,KE
Seme,KE042241,Kisumu,KE042,Kenya,KE
Shinyalu,KE037209,Kakamega,KE037,Kenya,KE
Siakago,KE014066,Embu,KE014,Kenya,KE
Sigor,KE024130,West Pokot,KE024,Kenya,KE
Sigowet/Soin,KE035193,Kericho,KE035,Kenya,KE
Sirisia,KE039217,Bungoma,KE039,Kenya,KE
Sotik,KE036194,Bomet,KE036,Kenya,KE
South Imenti,KE012059,Meru,KE012,Kenya,KE
South Mugirango,KE045262,Kisii,KE045,Kenya,KE
Soy,KE027141,Uasin Gishu,KE027,Kenya,KE
Starehe,KE047289,Nairobi,KE047,Kenya,KE
Suba North,KE043251,Homa Bay,KE043,Kenya,KE
Suba South,KE043252,Homa Bay,KE043,Kenya,KE
Subukia,KE032172,Nakuru,KE032,Kenya,KE
Suna East,KE044255,Migori,KE044,Kenya,KE
Suna West,KE044256,Migori,KE044,Kenya,KE
Tarbaj,KE008035,Wajir,KE008,Kenya,KE
Taveta,KE006023,Taita Taveta,KE006,Kenya,KE
Teso North,KE040225,Busia,KE040,Kenya,KE
Teso South,KE040226,Busia,KE040,Kenya,KE
Tetu,KE019094,Nyeri,KE019,Kenya,KE
Tharaka,KE013062,Tharaka-Nithi,KE013,Kenya,KE
Thika Town,KE022114,Kiambu,KE022,Kenya,KE
Tiaty,KE030157,Baringo,KE030,Kenya,KE
Tigania East,KE012055,Meru,KE012,Kenya,KE
Tigania West,KE012054,Meru,KE012,Kenya,KE
Tinderet,KE029151,Nandi,KE029,Kenya,KE
Tongaren,KE039224,Bungoma,KE039,Kenya,KE
Turbo,KE027142,Uasin Gishu,KE027,Kenya,KE
Turkana Central,KE023125,Turkana,KE023,Kenya,KE
Turkana East,KE023128,Turkana,KE023,Kenya,KE
Turkana North,KE023123,Turkana,KE023,Kenya,KE
Turkana South,KE023127,Turkana,KE023,Kenya,KE
Turkana West,KE023124,Turkana,KE023,Kenya,KE
Ugenya,KE041232,Siaya,KE041,Kenya,KE
Ugunja,KE041233,Siaya,KE041,Kenya,KE
Uriri,KE044257,Migori,KE044,Kenya,KE
Vihiga,KE038211,Vihiga,KE038,Kenya,KE
Voi,KE006026,Taita Taveta,KE006,Kenya,KE
Wajir East,KE008034,Wajir,KE008,Kenya,KE
Wajir North,KE008033,Wajir,KE008,Kenya,KE
Wajir South,KE008038,Wajir,KE008,Kenya,KE
Wajir West,KE008036,Wajir,KE008,Kenya,KE
Webuye East,KE039221,Bungoma,KE039,Kenya,KE
Webuye West,KE039222,Bungoma,KE039,Kenya,KE
West Mugirango,KE046271,Nyamira,KE046,Kenya,KE
Westlands,KE047274,Nairobi,KE047,Kenya,KE
Wundanyi,KE006024,Taita Taveta,KE006,Kenya,KE
Yatta,KE016076,Machakos,KE016,Kenya,KE
