adm1_name;adm2_name;adm3_pcode;adm3_name;Date;Data_quality_score;disaster_type;ifrc_source;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha
Tigray;Southern Tigray;10407;Alamata;11-08-2001;;flood;other;NA;1027;1027;NA;NA;NA;0;162;NA;0;NA
Tigray;Southern Tigray;10407;Alamata;01-09-2003;;flood;other;NA;NA;NA;NA;NA;NA;0;2000;NA;0;NA
Tigray;Southern Tigray;10407;Alamata;07-09-2007;;flood;other;NA;1400;1400;NA;NA;NA;0;NA;NA;0;NA
Tigray;Southern Tigray;10407;Alamata;01-08-2010;;flood;other;NA;5363;5363;NA;NA;NA;0;NA;NA;0;NA
Tigray;Southern Tigray;10407;Alamata;01-08-2010;;flood;other;NA;18384;18384;NA;NA;NA;0;NA;NA;0;NA
Amhara;South Wello;30408;Albuko;01-03-2004;;flood;other;NA;NA;NA;NA;NA;NA;19;NA;NA;19;NA
Amhara;South Wello;30408;Albuko;01-08-2010;;flood;other;NA;28150;28150;NA;NA;4089;88;249;NA;88;4089
SNNPR;Sidama;70405;Aleta Wendo;01-01-2010;0;flood;other;NA;1844;1844;NA;NA;NA;4;NA;NA;4;NA
Amhara;Central Gondar;30115;Alfa;01-06-2004;;flood;other;NA;NA;NA;1;NA;NA;154;NA;NA;154;NA
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2009;0;flood;other;NA;1148;1148;NA;NA;68.4;0;NA;NA;0;68.4
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2009;0;flood;other;NA;1676;1676;NA;NA;30;0;NA;NA;0;30
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2009;0;flood;other;NA;636;636;1;NA;20.2;0;NA;NA;0;20.2
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2009;0;flood;other;NA;473;473;NA;NA;12.6;0;NA;NA;0;12.6
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2009;0;flood;other;NA;271;271;NA;NA;12.3;0;NA;NA;0;12.3
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2009;0;flood;other;NA;1158;1158;NA;NA;12.25;0;NA;NA;0;12.25
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2009;0;flood;other;NA;394;394;NA;NA;6.8;0;NA;NA;0;6.8
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2009;0;flood;other;NA;60;60;NA;NA;1.7;0;NA;NA;0;1.7
SNNPR;Amaro Sp. Wer.;71302;Amaro;05-12-2005;;flood;other;NA;NA;NA;6;NA;240;23;4140;46;23;240
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2006;;flood;other;NA;4140;4140;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Amaro Sp. Wer.;71302;Amaro;19-02-2008;;flood;other;NA;7;7;1;NA;0.25;0;NA;NA;0;0.25
SNNPR;Amaro Sp. Wer.;71302;Amaro;07-09-2009;;flood;other;NA;1752;1752;NA;NA;252.5;0;NA;NA;0;252.5
Amhara;South Wello;30404;Ambasel;22-08-2010;5;flood;IFRC;NA;77853;77853;NA;NA;2716;19;805;NA;19;2716
Amhara;South Wello;30404;Ambasel;22-08-2010;0;flood;other;NA;NA;0;NA;NA;1368;NA;NA;NA;NA;1368
Afar;Afar Zone 3;20301;Amibara;01-09-2003;6;flood;other;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA
Afar;Afar Zone 3;20301;Amibara;01-09-2005;6;flood;other;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA
Afar;Afar Zone 3;20301;Amibara;01-08-2006;0;flood;other;NA;6000;6000;NA;NA;NA;160;NA;NA;160;NA
Afar;Afar Zone 3;20301;Amibara;07-09-2006;5;flood;other;NA;13200;13200;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 3;20301;Amibara;07-12-2007;0;flood;other;NA;200;200;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 3;20301;Amibara;01-09-2008;6;flood;other;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA
Afar;Afar Zone 3;20301;Amibara;01-09-2010;6;flood;other;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA
Afar;Afar Zone 3;20301;Amibara;01-08-2011;6;flood;other;NA;200;200;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 3;20301;Amibara;01-10-2013;6;flood;other;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA
Afar;Afar Zone 3;20301;Amibara;10-10-2014;6;flood;IFRC;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA
Afar;Afar Zone 3;20301;Amibara;01-09-2016;6;flood;other;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA
Afar;Afar Zone 3;20301;Amibara;01-08-2017;6;flood;other;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA
Afar;Zone 3;20301;Amibara;09-08-2017;6;flood;IFRC;;;;;;;;;;;
Amhara;North Shewa;30513;Angolela tera;01-09-2019;6;flood;other;;;;8;;;;;;;
Amhara;Awi;30903;Ankasha;01-12-2006;;flood;other;NA;6000;6000;NA;NA;1800;0;NA;NA;0;1800
Amhara;North Shewa;30507;Antsokiya;01-08-2010;;flood;other;NA;130;130;NA;NA;NA;0;130;NA;0;NA
Amhara;North Shewa;30507;Antsokiya Gemza;07-09-2006;;flood;other;NA;3020;3020;NA;NA;NA;0;NA;NA;0;NA
Amhara;North Shewa;30507;Antsokiya Gemza;07-09-2006;;flood;other;NA;NA;NA;NA;NA;NA;0;490;NA;0;NA
Amhara;North Shewa;30507;Antsokiya Gemza;07-09-2006;;flood;other;NA;24430;24430;NA;NA;NA;3;77;NA;3;NA
Amhara;North Shewa;30507;Antsokiya Gemza;07-09-2006;;flood;other;NA;NA;NA;NA;NA;62422;84;NA;NA;84;62422
Amhara;North Shewa;30507;Antsokiya Gemza;07-09-2007;;flood;other;NA;183;183;NA;NA;NA;0;183;NA;0;NA
Amhara;North Shewa;30507;Antsokiya Gemza;24-06-2008;;flood;other;NA;814;814;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Gamugofa;71016;Arba Minch Town Adm;01-10-2001;0;flood;other;NA;NA;NA;NA;NA;NA;0;2500;NA;0;NA
SNNPR;Gamugofa;71016;Arba Minch Town Adm;03-12-2003;0;flood;other;NA;NA;NA;NA;NA;1213;0;7917;10;0;1213
SNNPR;Gamugofa;71016;Arba Minch Town Adm;19-04-2005;6;flood;IFRC;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
SNNPR;Gamugofa;71016;Arba Minch Town Adm;07-09-2005;0;flood;other;NA;22000;22000;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Gamugofa;71016;Arba Minch Town Adm;07-09-2005;0;flood;IFRC;NA;12000;12000;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Gamugofa;71016;Arba Minch Town Adm;05-12-2005;0;flood;other;NA;NA;NA;NA;NA;5311;447;18650;67;447;5311
SNNPR;Gamugofa;71016;Arba Minch Town Adm;03-06-2006;6;flood;IFRC;NA;;;;;;;;;;
SNNPR;Gamugofa;71016;Arba Minch Town Adm;07-09-2006;0;flood;IFRC;NA;24800;24800;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Gamugofa;71016;Arba Minch Town Adm;30-05-2007;6;flood;IFRC;NA;;;;;;;;;;
SNNPR;Gamugofa;71016;Arba Minch Town Adm;07-09-2007;0;flood;IFRC;NA;370;370;NA;NA;NA;0;135;10;0;NA
SNNPR;Gamugofa;71016;Arba Minch Town Adm;09-04-2013;6;flood;other;;;;;;;;;;;
