adm1_name;adm2_name;adm3_pcode;adm3_name;Date;Data_quality_score;disaster_type;ifrc_source;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha
Amhara;North Gonder;30105;Dabat;01-10-2019;6;flood;other;2600;;;;;306;;;;;
Amhara;North Gondar;30105;Dabat;01-08-2005;;flood;other;NA;NA;NA;NA;NA;1035;52;NA;NA;52;1035
SNNPR;Sidama;70404;Dale;01-04-2005;6;flood;IFRC;10360;;;;;2,000;;;;;
SNNPR;Sidama;70404;Dale;07-09-2006;;flood;other;NA;2580;2580;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Sidama;70404;Dale;07-09-2006;;flood;other;NA;3600;3600;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Sidama;70404;Dale;06-12-2006;;flood;other;NA;NA;NA;2;1;NA;8;NA;25;8;NA
SNNPR;Silte;72005;Dalocha;18-09-2019;6;flood;other;325;;;;;17;;;;;
Afar;Afar Zone 2;20206;Dalol;07-09-2007;;flood;other;NA;320;320;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 2;20206;Dalol;07-12-2007;;flood;other;NA;6000;6000;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 2;20206;Dalol;15-08-2010;;flood;other;NA;2420;2420;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 2;20206;Dalol;25-08-2010;;flood;other;NA;1850;1850;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 2;20206;Dalol;25-08-2010;;flood;other;NA;1800;1800;NA;NA;NA;25;1800;NA;25;NA
SNNPR;Wolayita;70609;Damot Sore;07-09-2002;;flood;other;NA;400;400;NA;NA;15;0;NA;NA;0;15
SNNPR;Wolayita;70609;Damot Sore;07-09-2004;;flood;other;NA;NA;NA;NA;NA;80;0;NA;NA;0;80
SNNPR;Wolayita;70609;Damot Sore;07-09-2005;;flood;other;NA;1000;1000;12;NA;150;40;4;NA;40;150
SNNPR;Wolayita;70609;Damot Sore;07-09-2006;;flood;other;NA;650;650;NA;NA;39;0;NA;NA;0;39
SNNPR;Wolayita;70609;Damot Sore;07-09-2006;;flood;other;NA;860;860;NA;NA;10;0;NA;NA;0;10
SNNPR;Wolayita;70609;Damot Sore;07-09-2007;;flood;other;NA;6000;6000;NA;NA;400;0;NA;NA;0;400
SNNPR;Wolayita;70609;Damot Sore;07-09-2008;;flood;other;NA;12000;12000;NA;NA;200;0;NA;NA;0;200
Somali;Shebelle;50603;Danan;07-09-2005;1;flood;IFRC;NA;3500;3500;1;NA;3116;384;NA;28;384;3116
Somali;Shebelle;50603;Danan;07-09-2006;0;flood;other;NA;NA;NA;NA;NA;NA;0;5000;NA;0;NA
Somali;Shebelle;50603;Danan;07-09-2006;0;flood;other;NA;8250;8250;3;NA;NA;0;NA;NA;0;NA
Somali;Shebelle;50603;Danan;07-09-2006;5;flood;other;NA;8250;8250;NA;NA;NA;0;NA;NA;0;NA
Somali;Shebelle;50603;Danan;07-09-2006;0;flood;other;NA;NA;NA;NA;NA;NA;80;NA;3;80;NA
Somali;Shebelle;50603;Danan;24-04-2018;6;flood;other;;;;;;;;;;;
Somali;Somali;50603;Danan;20-04-2013;6;flood;other;Shebelle;;50603;;;;;;;;
Somali;Somali;50603;Danan;20-04-2013;6;flood;other;Shebelle;;50603;;;;;;;;
SNNPR;Sidama;70406;Dara;01-05-2004;;flood;other;NA;NA;NA;2;NA;1040;0;NA;NA;0;1040
SNNPR;Sidama;70406;Dara;07-09-2007;;flood;other;NA;3240;3240;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Sidama;70406;Dara;07-09-2007;;flood;other;NA;3240;3240;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Sidama;70406;Dara;07-09-2007;;flood;other;NA;2470;2470;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Sidama;70406;Dara;07-12-2007;;flood;other;NA;3240;3240;NA;NA;370;0;NA;100;0;370
OROMIA;Illubabur;40301;Darimu;07-09-2007;;flood;other;NA;NA;NA;NA;NA;807;0;NA;NA;0;807
OROMIA;West Hararge;40909;Daro Lebu;01-08-2004;;flood;other;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA
OROMIA;Bale;41121;Dawe Ketchen;17-08-2001;;flood;other;NA;NA;NA;NA;NA;NA;0;400;NA;0;NA
Amhara;North Wello;30311;Dawunt;01-08-2010;;flood;other;NA;9260;9260;NA;NA;1250;416;15;NA;416;1250
Amhara;East Gojam;30607;Debay Tilatgen;01-08-2004;;flood;other;NA;NA;NA;NA;NA;1800;0;NA;380;0;1800
SNNPR;Kefa;70908;Decha;07-09-2007;;flood;other;NA;11;11;NA;NA;NA;0;NA;NA;0;NA
OROMIA;East Shewa;41011;Deder;01-04-2003;;flood;other;NA;NA;NA;NA;NA;252;31;NA;9;31;252
OROMIA;East Shewa;41011;Deder;01-04-2010;;flood;other;NA;2000;2000;NA;NA;195;0;NA;NA;0;195
OROMIA;Jima;40410;Dedo;01-06-2004;;flood;other;NA;NA;NA;NA;NA;450;0;NA;NA;0;450
Tigray;South Eastern;10604;Dega Temben;03-04-2018;;flood;other;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
Somali;Degehabur;50302;Degehabur;01-05-2002;6;flood;other;;;;;;;;;;;
Somali;Degehabur;50302;Degehabur;04-04-2013;6;flood;other;;;;;;;;;;;
Somali;Degehabur;50302;Degehabur;28-04-2011;6;flood;other;;;;;;;;;;;
Somali;Degehabur;50302;Degehabur;13-10-2008;6;flood;other;;;;;;;;;;;
Somali;Degehabur;50302;Degehabur;05-12-2005;0;flood;other;NA;10000;10000;10;NA;NA;3125;NA;NA;3125;NA
Tigray;Central Tigray;10604;Degua Temben;01-08-2010;;flood;other;NA;130;130;NA;NA;5;0;NA;NA;0;5
Amhara;Wag Himra;30803;Dehana;07-09-2006;;flood;other;NA;1482;1482;NA;NA;NA;0;NA;NA;0;NA
Amhara;Wag Himra;30803;Dehana;17-11-2008;;flood;other;NA;NA;NA;NA;NA;53;0;NA;NA;0;53
Amhara;East Gojam;30613;Dejen;07-09-2006;;flood;other;NA;288;288;NA;NA;701.75;953;2219;NA;953;701.75
Amhara;North Wello;30306;Delanta;01-08-2010;;flood;other;NA;12686;12686;NA;NA;1470;65;39;NA;65;1470
Amhara;Central Gondar;30111;Dembia;01-07-2001;0;flood;other;NA;1130;1130;NA;NA;NA;0;NA;NA;0;NA
Amhara;Central Gondar;30111;Dembia;20-08-2011;5;flood;other;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
Amhara;Central Gonder;31111;Dembia;18-08-2006;6;flood;IFRC;17,385;;;;;;;;;;
Amhara;Central Gondar;30111;Dembia;01-07-2001;;flood;other;NA;1130;1130;NA;NA;NA;0;NA;NA;0;NA
Amhara;Central Gondar;30111;Dembia;07-09-2006;;flood;other;NA;23860;23860;1;NA;192.14;0;NA;NA;0;192.14
Amhara;Central Gondar;30111;Dembia;01-08-2007;;flood;other;NA;NA;NA;2;NA;1600;0;NA;NA;0;1600
Amhara;Central Gondar;30111;Dembia;07-01-2008;;flood;other;NA;NA;NA;NA;NA;400;0;NA;15;0;400
Amhara;Central Gondar;30111;Dembia;01-08-2010;;flood;other;NA;NA;NA;NA;NA;124;0;NA;NA;0;124
Amhara;Central Gonder;31125;Dembiya;01-10-2019;6;flood;other;3030;;;;;234;;;31;;
OROMIA;North Shewa;40602;Dera;01-09-2001;0;flood;other;NA;NA;NA;3;NA;NA;0;NA;NA;0;NA
OROMIA;North Shewa;40602;Dera;01-09-2001;;flood;other;NA;NA;NA;3;NA;NA;0;NA;NA;0;NA
Amhara;South Gonder;40602;Dera (Amhara);07-09-2000;;flood;other;NA;386;386;NA;NA;NA;0;NA;NA;0;NA
Amhara;South Gonder;40602;Dera (Amhara);01-07-2003;;flood;other;NA;NA;NA;NA;NA;NA;3100;NA;NA;3100;NA
Amhara;South Gonder;40602;Dera (Amhara);01-07-2003;;flood;other;NA;NA;NA;NA;NA;NA;3100;NA;NA;3100;NA
Amhara;South Gonder;40602;Dera (Amhara);01-08-2006;;flood;other;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA
Amhara;South Gonder;40602;Dera (Amhara);07-09-2006;;flood;other;NA;7482;7482;NA;NA;206.5;4;NA;NA;4;206.5
Amhara;South Gonder;40602;Dera (Amhara);01-08-2007;;flood;other;NA;NA;NA;NA;NA;NA;0;3620;NA;0;NA
Amhara;South Gonder;40602;Dera (Amhara);07-09-2007;;flood;other;NA;NA;NA;NA;NA;308.2;0;NA;NA;0;308.2
Amhara;South Gonder;40602;Dera (Amhara);18-02-2008;;flood;other;NA;NA;NA;NA;NA;NA;23;NA;NA;23;NA
Amhara;South Gonder;40602;Dera (Amhara);01-08-2010;;flood;other;NA;18641;18641;NA;NA;2726;316;NA;79;316;2726
SNNPR;Gamugofa;71009;Deramalo;07-09-2006;;flood;other;NA;1658;1658;NA;NA;NA;0;NA;NA;0;NA
Amhara;South Wello;30409;Dessie City Adm.;01-08-2010;;flood;other;NA;8421;8421;NA;NA;478;17;55;NA;17;478
Amhara;South Wello;30409;Dessie Zuria;01-06-2004;;flood;other;NA;NA;NA;4;10;NA;0;NA;NA;0;NA
Amhara;South Wello;30409;Dessie Zuria;01-08-2010;;flood;other;NA;27687;27687;NA;NA;1735;2;14;NA;2;1735
Amhara;Oromia;31001;Dewa Harewa;07-09-2006;;flood;other;NA;2219;2219;NA;NA;509;0;739;NA;0;509
Amhara;Oromia;31001;Dewa Harewa;07-09-2006;;flood;other;NA;4125;4125;NA;NA;NA;0;NA;NA;0;NA
Amhara;Oromia;31001;Dewa Harewa;07-09-2006;;flood;other;NA;2645;2645;NA;NA;1441;178;2645;638;178;1441
Afar;Afar Zone 5;20503;Dewe;29-07-2010;0;flood;other;NA;1000;1000;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Gedeo;70505;Dila Zuria;07-12-2007;;flood;other;NA;NA;NA;NA;NA;2145;2;20989;2;2;2145
Gambela;Agnuwa;120205;Dima;01-10-2019;6;flood;other;4,090;;;;;1,133.30;;;;;
Dire Dawa;Dire Dawa;150102;Dire Dawa;06-08-2006;6;flood;other;;;;250;;;;10000;;;
Dire Dawa;Dire Dawa;150102;Dire Dawa;12-04-2007;6;flood;other;;;;;;;;;;;
Dire Dawa;Dire Dawa;150102;Diredawa;08-05-2006;6;flood;other;3,000;;;200;;NA;;;;NA;
Dire Dawa;Dire Dawa;150102;Diredawa;24-04-2020;6;flood;other;;;;4;;;;;;;
SNNPR;Gamugofa;71008;Dita;07-09-2002;;flood;other;NA;7381;7381;NA;NA;NA;0;NA;NA;0;NA
SNNPR;Gamugofa;71008;Dita;03-12-2003;;flood;other;NA;NA;NA;11;5;924;201;7381;136;201;924
SNNPR;Gamugofa;71008;Dita;01-08-2010;;flood;other;NA;NA;NA;NA;NA;21;3;NA;NA;3;21
OROMIA;West Arsi;41707;Dodola;01-08-2010;;flood;other;NA;NA;NA;NA;NA;NA;10;NA;NA;10;NA
OROMIA;Arsi;40805;Dodota;01-09-2019;6;flood;other;960;;;;;25;;;;;
Somali;Liben;50902;Dolo Odo;10-01-2019;6;flood;other;9,374 HHs;;;;;4,006;;;;730;
Somali;Liben;50902;Dolo Odo;24-04-2018;6;flood;other;;;;;;;;;;;
Somali;Liben;50902;Dolo Odo;08-05-2003;6;flood;other;;;;;;;;;;;
Somali;Liben;50902;Dolo Odo;30-11-2003;0;flood;other;NA;10000;10000;NA;NA;NA;0;NA;NA;0;NA
Somali;Liben;50902;Dolo Odo;01-05-2010;6;flood;other;;;;;;;;;;;
Somali;Liben;50902;Dolo Odo;07-09-2005;0;flood;other;NA;46700;46700;6;NA;NA;0;NA;NA;0;NA
Somali;Liben;50902;Dolo Odo;07-09-2005;0;flood;other;NA;150000;150000;6;NA;NA;259;NA;NA;259;NA
Somali;Liben;50902;Dolo Odo;30-11-2006;6;flood;other;;;;;;;;;;;
Somali;Liben;50902;Dolo Odo;07-05-2016;6;flood;other;;;;;;;;;;;
Somali;Liben;50902;Dolo Odo;10-11-2008;6;flood;other;;;;;;;;;;;
Somali;Liben;50902;Dolo Odo;30-11-2014;6;flood;other;;;;;;;;;;;
Somali;Liben;50902;Dolo Odo;05-12-2005;0;flood;other;NA;NA;NA;6;NA;NA;0;NA;NA;0;NA
Somali;Liben;50902;Dolo odo;01-10-2019;6;flood;other;;;;;;;;;;;
Afar;Afar Zone 1;20101;Dubti;10-08-2001;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;13-04-2002;7;flood;other;NA;4000;4000;NA;NA;NA;0;1000;NA;0;NA
Afar;Afar Zone 1;20101;Dubti;01-09-2003;5;flood;other;NA;38;38;NA;NA;15;500;NA;NA;500;15
Afar;Afar Zone 1;20101;Dubti;14-04-2004;0;flood;other;NA;21847;21847;NA;NA;NA;123;NA;NA;123;NA
Afar;Afar Zone 1;20101;Dubti;07-09-2005;5;flood;other;NA;42000;42000;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 1;20101;Dubti;07-09-2005;0;flood;other;NA;25000;25000;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 1;20101;Dubti;30-11-2005;0;flood;other;NA;4000;4000;NA;NA;1000;0;NA;NA;0;1000
Afar;Afar Zone 1;20101;Dubti;07-09-2006;5;flood;other;NA;7000;7000;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 1;20101;Dubti;07-09-2007;5;flood;IFRC;NA;NA;NA;NA;NA;100;0;NA;NA;0;100
Afar;Afar Zone 1;20101;Dubti;07-12-2007;0;flood;other;NA;4000;4000;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 1;20101;Dubti;01-09-2008;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;01-08-2009;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;24-08-2010;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;01-08-2011;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;01-08-2013;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;01-10-2013;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;01-09-2014;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;01-08-2016;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;09-05-2016;7;flood;other;NA;671;671;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 1;20101;Dubti;08-09-2017;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
OROMIA;East Shewa;40707;Dugda;07-09-2005;;flood;other;NA;70000;70000;1;NA;NA;0;NA;NA;0;NA
OROMIA;East Shewa;40707;Dugda;07-09-2007;;flood;other;NA;5549;5549;NA;NA;654;0;NA;417;0;654
Afar;Afar Zone 3;20304;Dulecha;01-09-2005;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 3;20304;Dulecha;29-08-2006;5;flood;other;NA;4000;4000;NA;NA;NA;0;NA;NA;0;NA
Afar;Afar Zone 3;20304;Dulecha;07-09-2006;0;flood;other;NA;4443;4443;NA;NA;NA;332;4000;NA;332;NA
Afar;Afar Zone 3;20304;Dulecha;01-08-2008;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;332;NA
Afar;Afar Zone 3;20304;Dulecha;01-09-2010;6;flood;other;NA;NA;NA;NA;NA;NA;NA;NA;NA;332;NA
Afar;Afar Zone 3;20304;Dulecha;01-10-2013;6;flood;other;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;NA;NA
Afar;Afar Zone 3;20304;Dulecha;10-10-2014;6;flood;other;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;NA;NA
Amhara;Central Gondar;30117;East Belesa;01-08-2010;;flood;other;NA;1134;1134;NA;NA;540;31;NA;NA;31;540
Somali;Shebelle;50601;East Imey;02-11-2015;;flood;other;102000;NA;102000;5;NA;NA;10000;NA;NA;10000;NA
Somali;Somali;50601;East Imey;20-04-2013;6;flood;other;Shebelle;;50601;;;;;;;;
Somali;Afder;50601;East Imi;24-04-2018;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50601;East Immi;23-04-2005;6;flood;IFRC;235418(regional total);;;40(zonal);;;;;;;
Amhara;North Shewa;30508;Eferatana Gidem;07-09-2000;;flood;other;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA
Amhara;North Shewa;30508;Eferatana Gidem;12-08-2006;;flood;other;NA;77;77;NA;NA;3.01;0;77;NA;0;3.01
Amhara;North Shewa;30508;Eferatana Gidem;07-09-2006;;flood;other;NA;77;77;NA;NA;135.15;17;NA;NA;17;135.15
Amhara;North Shewa;30508;Eferatana Gidem;01-08-2007;;flood;other;NA;NA;NA;NA;NA;195;0;NA;14;0;195
Amhara;North Shewa;30508;Eferatana Gidem;16-05-2009;;flood;other;NA;124;124;NA;NA;NA;13;124;39;13;NA
OROMIA;West Shoa;40511;Ejere;04-08-2006;6;flood;IFRC;;;;;;;;;;;
OROMIA;West Shoa;40511;Ejere;04-08-2006;6;flood;other;1000;;;12;;NA;;;;NA;
Afar;Afar Zone 1;20102;Elidar;27-09-2006;;flood;other;NA;620;620;NA;18;NA;0;NA;NA;0;NA
Afar;Afar Zone 1;20102;Elidar;07-12-2007;;flood;other;NA;620;620;NA;NA;NA;0;NA;NA;0;NA
OROMIA;West Shoa;40500;Elu Gelan;01-10-2019;6;flood;other;150;;;;;56;;;30;;
Somali;Nogob;51002;Elweyni;01-10-2019;6;flood;other;;;;;;;;;;;
OROMIA;East Shewa;10405;Endamehoni;04-04-2018;;flood;other;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
Tigray;Southern Tigray;10405;Endamehoni;01-08-2010;;flood;other;NA;41950;41950;NA;NA;2226;107;NA;NA;107;2226
OROMIA;West Hararge;10602;Enderta;05-04-2018;;flood;other;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA
Tigray;Southern Tigray;10602;Enderta;01-08-2010;;flood;other;NA;395;395;NA;NA;37;8;NA;NA;8;37
Amhara;East Gojam;30604;Enebse Sarmder;01-08-2010;;flood;other;NA;9910;9910;NA;NA;528;464;NA;NA;464;528
SNNPR;Gurage;70111;Enemor Ener;01-08-2004;;flood;other;NA;6000;6000;1;NA;487;3;NA;NA;3;487
SNNPR;Gurage;70111;Enemor Ener;01-08-2005;;flood;other;NA;NA;NA;NA;NA;381;0;NA;NA;0;381
Amhara;North Shewa;30503;Ensaro;15-09-2008;;flood;other;NA;NA;NA;1;1;NA;0;NA;NA;0;NA
Somali;Siti;130105;Erer;07-09-2000;;flood;other;NA;NA;NA;5;NA;377;300;1820;NA;300;377
Tigray;Eastern Tigray;10302;Erob;01-07-2010;0;flood;other;NA;755;755;NA;NA;14;17;NA;NA;17;14
Afar;Zone 4;20402;Ewa;01-04-2019;6;flood;other;20;;;;;;200;;;;
Afar;Afar Zone 4;20402;Ewa;07-09-2007;;flood;other;NA;NA;NA;NA;NA;NA;0;NA;70;0;NA
Afar;Afar Zone 4;20402;Ewa;28-08-2010;;flood;other;NA;1200;1200;NA;NA;NA;0;NA;NA;0;NA
Amhara;South Gonder;30204;Farta;01-06-2004;;flood;other;NA;NA;NA;2;NA;NA;7;NA;1;7;NA
Amhara;South Gonder;30204;Farta;07-09-2008;;flood;other;NA;NA;NA;NA;NA;86;0;NA;NA;0;86
OROMIA;East shoa;40701;Fentale;01-09-2019;6;flood;other;537;;;;;8 kebele farm land;;;;;
OROMIA;East Shewa;40701;Fentale;24-08-2010;;flood;other;NA;9000;9000;NA;NA;NA;0;900;NA;0;NA
Somali;Shebelle;50607;Ferfer;24-04-2018;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;29-04-2003;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;03-05-2005;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;07-09-2005;1;flood;other;NA;18500;18500;5;NA;NA;0;NA;NA;0;NA
Somali;Shebelle;50607;Ferfer;02-05-2006;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;02-11-2008;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;01-09-2010;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;09-09-2011;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;29-09-2007;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;03-08-2007;6;flood;IFRC;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;13-10-2014;6;flood;other;;;;;;;;;;;
Somali;Shebelle;;Ferfer;;;flood;;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;07-09-2006;1;flood;other;NA;13514;13514;NA;NA;NA;0;NA;NA;0;NA
Somali;Shebelle;50607;Ferfer;15-05-2012;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50607;Ferfer;05-04-2018;;flood;other;NA;NA;165000;NA;NA;12911;NA;NA;NA;NA;12911
Somali;Shebelle;50607;Ferfer;20-04-2013;6;flood;other;Shebelle;;;;;;;;;;
OROMIA;East Shewa;40701;Fientale;20-04-2007;;flood;other;NA;560;560;NA;NA;31;0;NA;NA;0;31
OROMIA;East Shewa;40701;Fientale;07-09-2007;;flood;other;NA;560;560;NA;NA;NA;0;NA;NA;0;NA
OROMIA;East Shewa;40701;Fientale;01-08-2010;;flood;other;NA;9000;9000;NA;NA;46;0;900;NA;0;46
Somali;Liben;50901;Filtu;24-04-2018;6;flood;other;;;;;;;;;;;
Somali;Liben;50901;Filtu;01-05-2002;;flood;other;NA;NA;NA;NA;NA;NA;0;2500;NA;0;NA
Somali;Liben;50901;Filtu;07-09-2005;;flood;other;NA;6225;6225;NA;NA;NA;260;NA;NA;260;NA
Somali;Liben;50901;Filtu;07-09-2005;;flood;other;NA;6225;6225;5;NA;NA;818;NA;NA;818;NA
Somali;Liben;50901;Filtu;05-04-2018;;flood;other;NA;NA;165000;NA;NA;12911;NA;NA;NA;NA;12911
Amhara;South Gonder;30203;Fogera;07-09-2000;;flood;other;NA;13178;13178;NA;NA;NA;0;NA;NA;0;NA
Amhara;South Gonder;30203;Fogera;01-08-2006;;flood;other;NA;NA;NA;NA;NA;NA;0;4430;NA;0;NA
Amhara;South Gonder;30203;Fogera;07-09-2006;;flood;other;NA;2964;2964;NA;NA;NA;0;NA;NA;0;NA
Amhara;South Gonder;30203;Fogera;07-09-2006;;flood;other;NA;43127;43127;NA;NA;4240;210;9313;NA;210;4240
Amhara;South Gonder;30203;Fogera;01-08-2010;;flood;other;NA;NA;NA;NA;NA;1164;64;NA;NA;64;1164
Gambela;Agnuwa;120202;Gambela Zuria;01-10-2019;6;flood;other;4,090;;;;;1,133.30;;;;;
Gambela;Agnewak;120206;Gambella Town;01-10-2019;6;flood;other;4,090;;;;;;;;;;
Gambela;Agnewak;120206;Gambella Town;02-10-2019;6;flood;other;1,405;;;;;NA;;;;NA;
Gambella;Agnewak;120202;Gambella Town;07-09-2000;;flood;other;NA;6;6;NA;NA;NA;0;61592;NA;0;NA
Tigray;Eastern Tigray;10304;Ganta Afshum;01-08-2010;;flood;other;NA;8310;8310;NA;NA;277;0;NA;NA;0;277
OROMIA;Bale;41106;Gasera;01-07-2010;0;flood;other;NA;9300;9300;NA;NA;NA;0;NA;NA;0;NA
OROMIA;Bale;41106;Gasera;07-09-2008;;flood;other;NA;5525;5525;NA;NA;NA;0;NA;NA;0;NA
Somali;Degehabur;50304;Gashamo;07-09-2005;;flood;other;NA;105000;105000;NA;NA;NA;0;NA;NA;0;NA
OROMIA;Illubabur;40306;Gechi;18-05-2004;;flood;other;NA;NA;NA;NA;NA;NA;0;NA;22;0;NA
Afar;Zone 3;20305;Gelalu;01-08-2019;6;flood;other;230;;;;;;;;;;
Afar;Zone 3;20305;Gelalu;01-09-2019;6;flood;other;;;;;;;;;;;
OROMIA;West Guji;41217;Gelana (West Guji);01-04-2010;;flood;other;NA;14000;14000;NA;NA;3173;0;988;NA;0;3173
SNNPR;South Omo;70703;Gelila;05-08-2002;;flood;other;NA;NA;NA;3;NA;NA;0;NA;NA;0;NA
SNNPR;South Omo;70703;Gelila;07-09-2007;;flood;other;NA;15000;15000;NA;NA;NA;0;NA;NA;0;NA
OROMIA;Jima;40408;Gera;01-04-2002;;flood;other;NA;625;625;NA;NA;40;0;NA;125;0;40
Afar;Afar Zone 3;20303;Gewane;07-09-2006;5;flood;other;NA;10294;10294;2;NA;NA;15;NA;NA;15;NA
Afar;Afar Zone 3;20303;Gewane;01-08-2007;1;flood;other;NA;NA;NA;NA;NA;800;30;12000;NA;30;800
Afar;Afar Zone 3;20303;Gewane;24-08-2007;5;flood;IFRC;NA;12000;12000;NA;NA;900;30;NA;NA;30;900
Afar;Afar Zone 3;20303;Gewane;10-08-2012;5;flood;IFRC;5000;NA;5000;NA;NA;NA;NA;NA;NA;NA;NA
OROMIA;Bale;41108;Ginir;07-09-2007;;flood;other;NA;NA;NA;NA;NA;592;0;NA;NA;0;592
OROMIA;Bale;41108;Ginir;07-09-2007;;flood;other;NA;NA;NA;NA;NA;592;0;NA;NA;0;592
OROMIA;East Shewa;41016;Girawa;01-04-2003;;flood;other;NA;NA;NA;NA;NA;180;36;NA;96;36;180
OROMIA;East Shewa;41016;Girawa;01-08-2005;;flood;other;NA;NA;NA;NA;NA;170;0;NA;20;0;170
OROMIA;East Shewa;41016;Girawa;01-08-2006;;flood;other;NA;61000;61000;8;NA;2000;0;217;NA;0;2000
OROMIA;East Shewa;41016;Girawa;01-04-2010;;flood;other;NA;5000;5000;NA;NA;616;0;NA;NA;0;616
SNNPR;Gofa;71505;Gizegofa;01-08-2019;6;flood;other;58;;;;;;;;;;
Somali;Shabelle;50604;Gode;25-04-2005;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50604;Gode;23-04-2005;6;flood;IFRC;235418(regional total);;;40(zonal);;;;;;;
Somali;Shebelle;50604;Gode;02-05-2012;6;flood;other;702 HH;;;;;NA;;;;NA;
Somali;Shebelle;50604;Gode;24-04-2018;6;flood;other;;;;;;;;;;;
Somali;Shebelle;50604;Gode;07-09-2006;;flood;other;NA;5650;5650;10;NA;NA;333;NA;NA;333;NA
Somali;Shebelle;50604;Gode;20-04-2013;6;flood;other;Shebelle;;50604;;;;;;;;
Somali;Shebelle;50604;Gode;20-04-2013;6;flood;other;Shebelle;;;;;;;;;;
Gambella;Agnewak;120203;Gog;07-09-2001;;flood;other;NA;5;5;NA;NA;110;421;21733;NA;421;110
Gambela;Agnuwa;120203;Goge;01-08-2019;6;flood;other;;;;;;;;;;;
Gambela;Agnuwa;120203;Goge;01-10-2019;6;flood;other;4,090;;;;;1,133.30;;;;;
OROMIA;Arsi;40803;Golocha;16-04-2005;;flood;other;NA;NA;NA;NA;NA;NA;0;NA;20;0;NA
OROMIA;Arsi;40803;Golocha;18-08-2010;;flood;other;NA;8000;8000;NA;NA;NA;5;NA;NA;5;NA
OROMIA;Arsi;40803;Gololcha;01-04-2016;6;flood;IFRC;2,850;;;;;;;;;;
