disaster_type;Countrty;adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;adm3_pcode;adm4_name;adm4_pcode;County;sub_county;ward;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;roads;livestock_lost;bridge;schools;latrine;wall;hospitals;drainage;inst.church.mosque;health_center;lost_crops_ha (acreage);cholera_outbreak;cholera_cases;data_source;glidenumber;disaster_id;data_quality;magnitude_impact;date_recorded
flood;kenya;;;Mandera;KE009;0;;0;;Mandera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;746;2;0;2008/11/07
flood;kenya;;;Murang'a;KE021;0;;0;;Murang'a;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;957;0;0;2008/11/07
flood;kenya;;;Murang'a;KE021;0;;0;;Murang'a;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;958;1;0;2008/11/07
flood;kenya;;;Murang'a;KE021;0;;0;;Murang'a;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;959;2;1;2008/11/07
flood;kenya;;;Taita Taveta;KE006;0;;0;;Taita Taveta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1291;2;0;2008/11/07
flood;kenya;;;Wajir;KE008;0;;0;;Wajir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;disinventer;0;1514;2;0;2008/11/07
flood;kenya;;;Wajir;KE008;0;;0;;Wajir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1515;0;0;2008/11/07
flood;kenya;;;West Pokot;KE024;0;;0;;West Pokot;0;0;14;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1540;2;1;2008/11/10
flood;kenya;;;Kitui;KE015;0;;0;;Kitui;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;617;1;0;2008/11/11
flood;kenya;;;Busia;KE040;0;;0;;Busia;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;100;2;1;2008/11/13
flood;kenya;;;Kakamega;KE037;0;;0;;Kakamega;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;360;0;0;2008/11/13
flood;kenya;;;Machakos;KE016;0;;0;;Machakos;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;677;1;1;2008/11/13
flood;kenya;;;Makueni;KE017;0;;0;;Makueni;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;712;1;1;2008/11/13
flood;kenya;;;Mandera;KE009;0;;0;;Mandera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;747;2;0;2008/11/13
flood;kenya;;;Trans Nzoia;KE026;0;;0;;Trans Nzoia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1386;0;0;2008/11/13
flood;kenya;;;Uasin Gishu;KE027;0;;0;;Uasin Gishu;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1492;2;1;2008/11/13
flood;kenya;;;Busia;KE040;0;;0;;Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;101;0;0;2008/11/15
flood;kenya;;;Narok;KE033;0;;0;;Narok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1159;0;0;2008/12/15
flood;kenya;;;Baringo;KE030;0;;0;;Baringo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;13;0;0;2009/01/02
flood;kenya;;;Busia;KE040;0;;0;;Busia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;fl-2008-000217-ken;103;2;0;2009/05/01
flood;kenya;;;Kisumu;KE042;0;;0;;Kisumu;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;518;2;1;2009/12/27
flood;kenya;;;Siaya;KE041;0;;0;;Siaya;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;fl-2008-000217-ken;1274;0;0;2009/05/01
flood;kenya;;;Trans Nzoia;KE026;0;;0;;Trans Nzoia;0;0;0;0;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;fl-2008-000217-ken;1388;1;1;2009/05/01
flood;kenya;;;West Pokot;KE024;0;;0;;West Pokot;0;0;0;0;367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;fl-2008-000217-ken;1542;1;1;2009/05/01
flood;kenya;;;Kisii;KE045;0;;0;;Kisii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;iakw;488;0;0;2009/08/18
flood;kenya;;;Kisumu;KE042;0;;0;;Kisumu;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;523;1;1;2010/01/14
flood;kenya;;;Kilifi;KE003;0;;0;;Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;420;0;0;2009/10/28
flood;kenya;;;Lamu;KE005;0;;0;;Lamu;0;0;0;0;160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;670;1;1;2009/10/28
flood;kenya;;;Mandera;KE009;0;;0;;Mandera;0;0;0;0;300;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;749;1;1;2009/10/28
flood;kenya;;;Mombasa;KE001;0;;0;;Mombasa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;930;0;0;2009/10/28
flood;kenya;;;Murang'a;KE021;0;;0;;Murang'a;0;0;0;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;960;1;1;2009/10/28
flood;kenya;;;Kilifi;KE003;0;;0;;Kilifi;0;0;2;0;466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;421;2;1;2009/11/01
flood;kenya;;;Kilifi;KE003;0;;0;;Kilifi;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;disinventer;0;422;2;1;2009/11/01
flood;kenya;;;Kilifi;KE003;0;;0;;Kilifi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;423;0;0;2009/11/01
flood;kenya;;;Kilifi;KE003;0;;0;;Kilifi;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;424;1;1;2009/11/02
flood;kenya;;;Uasin Gishu;KE027;0;;0;;Uasin Gishu;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1493;1;1;2009/11/03
flood;kenya;;;Embu;KE014;0;;0;;Embu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;144;0;0;2009/12/01
flood;kenya;;;Isiolo;KE011;0;;0;;Isiolo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;disinventer;0;261;2;0;2009/12/01
flood;kenya;;;Narok;KE033;0;;0;;Narok;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1161;2;1;2009/12/09
flood;kenya;;;Nairobi;KE047;0;;0;;Nairobi;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;fl-2010-000003-ken;1032;1;0;2009/12/22
flood;kenya;;;Nairobi;KE047;0;;0;;Nairobi;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;fl-2010-000003-ken;1033;1;1;2009/12/22
flood;kenya;;;Nairobi;KE047;0;;0;;Nairobi;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1034;2;1;2009/12/23
flood;kenya;;;Narok;KE033;0;;0;;Narok;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1162;1;1;2009/12/24
flood;kenya;;;Kajiado;KE034;0;;0;;Kajiado;0;0;8;0;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;309;2;1;2009/12/25
flood;kenya;;;Homa Bay;KE043;0;;0;;Homa Bay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;203;2;0;2009/12/27
flood;kenya;;;Kisumu;KE042;0;;0;;Kisumu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;524;0;0;2010/01/14
flood;kenya;;;Kisumu;KE042;0;;0;;Kisumu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;525;2;0;2010/01/14
flood;kenya;;;Makueni;KE017;0;;0;;Makueni;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;713;1;0;2009/12/27
flood;kenya;;;Siaya;KE041;0;;0;;Siaya;0;0;5;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1275;2;1;2009/12/27
flood;kenya;;;Turkana;KE023;0;;0;;Turkana;0;0;5;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1418;1;1;2009/12/27
flood;kenya;;;West Pokot;KE024;0;;0;;West Pokot;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1544;1;1;2009/12/27
flood;kenya;;;West Pokot;KE024;0;;0;;West Pokot;0;0;0;0;60;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1545;2;1;2009/12/27
flood;kenya;;;Kajiado;KE034;0;;0;;Kajiado;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;310;1;1;2009/12/28
flood;kenya;;;Narok;KE033;0;;0;;Narok;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;disinventer;0;1163;2;1;2009/12/28
flood;kenya;;;Narok;KE033;0;;0;;Narok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1164;0;0;2009/12/28
flood;kenya;;;Narok;KE033;0;;0;;Narok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;disinventer;0;1165;2;0;2009/12/28
flood;kenya;;;West Pokot;KE024;0;;0;;West Pokot;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;disinventer;0;1546;2;0;2009/12/31
flood;kenya;;;West Pokot;KE024;0;;0;;West Pokot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1547;0;0;2009/12/31
flood;kenya;;;Kajiado;KE034;0;;0;;Kajiado;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;311;1;1;2010/01/01
flood;kenya;;;Kitui;KE015;0;;0;;Kitui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;618;0;0;2010/01/01
flood;kenya;;;Machakos;KE016;0;;0;;Machakos;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;678;1;1;2010/01/01
flood;kenya;;;Machakos;KE016;0;;0;;Machakos;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;disinventer;0;679;2;0;2010/01/01
flood;kenya;;;Meru;KE012;0;;0;;Meru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;837;0;0;2010/01/01
flood;kenya;;;Nakuru;KE032;0;;0;;Nakuru;0;0;3;0;509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;disinventer;0;1106;1;1;2010/01/01
