"time","Baringo","Bomet","Bungoma","Busia","Elgeyo-Mar","Embu","Garissa","Homa Bay","Nyeri","Isiolo","Kajiado","Kakamega","Kericho","Kiambu","Kilifi","Kirinyaga","Kisii","Kisumu","Kitui","Kwale","Laikipia","Machakos","Makueni","Mandera","Samburu","Marsabit","Meru","Migori","Murang'a","Nairobi","Nakuru","Nandi","Nyamira","Nyandarua","Siaya","Taita Tave","Tana River","Tharaka-Ni","Trans Nzoi","Turkana","Uasin Gish","Vihiga","Wajir","West Pokot","Narok","Mombasa","Lamu"
"20-01-2000",0.141115367412567,0.0131385205313563,0,0,0,5.83682775497437,7.57295560836792,0.20439538359642,2.27362203598022,5.96028232574463,0,0,0.000888073176611215,0.345307618379593,1.30579352378845,4.97585344314575,0.170767471194267,0.0300622470676899,9.5694751739502,0,1.1926953792572,3.31920003890991,0.802886426448822,0.793001890182495,3.78388357162476,2.74496912956238,4.11708498001099,0.250038862228394,2.13655972480774,0,0.00342546519823372,0,0.0299988519400358,0.425089776515961,0.107218757271767,0.0872106328606606,8.51532745361328,3.7918164730072,0,3.19102001190186,0,1.05354613921804e-09,0.891912937164307,0.142845094203949,0.335448235273361,0,0.83807510137558
"21-01-2000",0,0,0,0,0,0,2.02485571207944e-05,0,0,0,0,0,0,0,0.103779688477516,0,0,0,0.000433036184404045,0.908840715885162,0,0,0.000125907710753381,0,0,0.187627032399178,0,0,0,0,0,0,0,0,0,0.961690008640289,0.0678238570690155,0,0,7.23355674743652,0,0,0,0,0,0.0100010186433792,0.0401525609195232
"22-01-2000",0,0.213207721710205,0.51664274930954,0.994374215602875,0,0,4.36210401133508e-09,1.87267160415649,0,0,0,0.804875075817108,0.0714512690901756,0,0,0,1.45983147621155,0.802629828453064,0,0,0,0,0,5.4290132522583,0,0.140578255057335,0,1.70851790904999,0,0,0,0.0289544332772493,0.62033748626709,0,1.32017171382904,0,0,0,0,0.668502688407898,0,0.503855764865875,1.05556273460388,0.0260634422302246,1.48275411128998,0,0
"23-01-2000",0,0.00462708435952663,0,0.11296708136797,0,0,0,0.641674339771271,0,0,0,0,0.00139350909739733,0,0,0,0.22246028482914,0.190757989883423,0,0,0,0,0,2.08646678924561,0,0,0,0.434019684791565,0,0,0,0,0.0470723286271095,0,0.522471368312836,0,0,0,0,0.0280006770044565,0,0.00910755805671215,0.0423161573708057,0,0.885708153247833,0,0
"24-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29-01-2000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56520150085271e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
