disaster_type,country,disaster_id,adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,location,people_dead,people_injured,people_displaced,people_affected,house_destroyed,house_damaged,household_displaced,household_affected,livestock_lost,livestock_affected,lost_crops_ha,road,bridge,school,sewerage_latrine,aqueduct,wall,hospital_health_center,drainage,institution_church_mosque,industry,energy,communication,agriculture,date_event,start_date_event,end_date_event,date_recorded,data_source,data_source_other,data_source_url,comments,data_quality_score
flood,uganda,uga_impact_data.1,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,6-3-1994,,,,news,NewVision,,L,2
flood,uganda,uga_impact_data.2,Bukedi,21UGA003,Tororo,21UGA003007,,,,2,,,,,,,,,,,,,,,,,,,,,,,,6-5-2002,,,,news,New Vision,,L,5
flood,uganda,uga_impact_data.3,Bukedi,21UGA003,Tororo,21UGA003007,,,,2,,,,,,,,,,,,,,,,,,,,,,,,7-5-2002,,,,news,https://www.newvision.co.ug/new_vision/news/1057373/tororo-floods-kill,https://www.newvision.co.ug/new_vision/news/1057373/tororo-floods-kill,H,3
flood,uganda,uga_impact_data.4,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,12-11-2006,,,,news,http://www.newvision.co.ug/news/454333-jinja-bugiri-highway-a-dusty-road-to-the-future.html,http://www.newvision.co.ug/news/454333-jinja-bugiri-highway-a-dusty-road-to-the-future.html,L,2
flood,uganda,uga_impact_data.5,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,28-11-2006,,,,,Uganda Red Cross Society-Mbale Branch,,L,8
flood,uganda,uga_impact_data.6,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,1-12-2008,,,,news,http://www.monitor.co.ug/Business/Technology/-/688612/725362/-/tcorju/-/index.html,http://www.monitor.co.ug/Business/Technology/-/688612/725362/-/tcorju/-/index.html,L,2
flood,uganda,uga_impact_data.7,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,5-4-2009,,,,news,http://www.newvision.co.ug/news/570113-floods-destroy-tororo-mbale-bridge.html,http://www.newvision.co.ug/news/570113-floods-destroy-tororo-mbale-bridge.html,L,2
flood,uganda,uga_impact_data.8,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,1-5-2009,,,,news,new vision,,L,2
flood,uganda,uga_impact_data.9,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,4-3-2010,,,,,Rapid assessment report from OPM dated 20/05/2010,,L,5
flood,uganda,uga_impact_data.10,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,29-3-2010,,,,news,http://www.newvision.co.ug/news/622325-tororo-archdiocese-prays-for-bududa-residents.html,http://www.newvision.co.ug/news/622325-tororo-archdiocese-prays-for-bududa-residents.html,L,2
flood,uganda,uga_impact_data.11,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,25-5-2010,,,,,URCS - Floods and landslides in Uganda,,L,8
flood,uganda,uga_impact_data.12,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,3-8-2010,,,,news,http://www.monitor.co.ug/News/National/-/688334/875014/-/wj7cq9/-/index.html,http://www.monitor.co.ug/News/National/-/688334/875014/-/wj7cq9/-/index.html,L,2
flood,uganda,uga_impact_data.13,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,4-8-2010,,,,news,http://www.newvision.co.ug/news/621646-news-in-brief.html,http://www.newvision.co.ug/news/621646-news-in-brief.html,L,2
flood,uganda,uga_impact_data.14,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,8-8-2010,,,,news,http://www.newvision.co.ug/news/613626-blocked-septic-tank-floods-tororo-market.html,http://www.newvision.co.ug/news/613626-blocked-septic-tank-floods-tororo-market.html,L,2
flood,uganda,uga_impact_data.15,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,21-9-2010,,,,news,http://www.newvision.co.ug/news/610610-heavy-rains-destroy-15-tororo-bridges.html,http://www.newvision.co.ug/news/610610-heavy-rains-destroy-15-tororo-bridges.html,L,2
flood,uganda,uga_impact_data.16,Bukedi,21UGA003,Tororo,21UGA003007,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,5-11-2010,,,,news,http://www.newvision.co.ug/news/619470-tororo-floods-displace-over-700.html,http://www.newvision.co.ug/news/619470-tororo-floods-displace-over-700.html,L,2
