adm3_name;Date;Score;Data_source;comment ;disaster_type;country;adm1_name;adm2_name;adm3_pcode;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha;Region;Zone;Wereda;pcode;adm1_pcode;adm2_pcode
Afambo;01/09/2010;6;IFRC: https://reliefweb.int/report/ethiopia/ethiopia-response-seasonal-floods-dref-operation-n%C2%B0-mdret009;glofas, rainfall, flood report for Afar region;;ethiopia;Afar;Afar Zone 1;20104;;;;;;;;;;;;;;;;;
Afambo;07/09/2003;5;https://reliefweb.int/map/ethiopia/ethiopia-flood-affected-towns-gode-zone-16-may-03;;flood;ethiopia;Afar;Afar Zone 1;20104;NA;NA;NA;NA;NA;NA;0;14200;NA;0;NA;Afar;Afar Zone 1;Afambo;20104;;
Afambo;01/09/2006;6;https://reliefweb.int/report/ethiopia/ethiopia-floods-emergency-appeal-no-mdret003-final-report;glofas station, rainfall, and report of flood;flood;ethiopia;Afar;Afar Zone 1;20104;;;;;;;;;;;;;;;;;
Afambo;07/09/2007;5;;;flood;ethiopia;Afar;Afar Zone 1;20104;NA;1500;1500;NA;NA;295;0;1500;NA;0;295;Afar;Afar Zone 1;Afambo;20104;;
Agarfa;01/07/2010;0;;No record found;flood;ethiopia;OROMIA;Bale;41104;NA;4000;4000;NA;NA;NA;0;NA;NA;0;NA;OROMIA;Bale;Agarfa;41104;;
Ahieferom;01/08/2010;;;;flood;ethiopia;Tigray;Central Tigray;10202;NA;1400;1400;NA;NA;56;0;NA;NA;0;56;Tigray;Central Tigray;Ahieferom;10202;;
Ajera ;09/08/2017;6;IFRC(Appeal);;flood;ethiopia;OROMIA;West Shoa;40511;527;;;;;;;;;;;;;;;;
Akobo;01/08/2010;;;;flood;ethiopia;Gambella;Nuwer;120101;NA;2500;2500;NA;NA;NA;0;NA;NA;0;NA;Gambella;Nuwer;Akobo;120101;;
Alaba;04/12/2004;;;;flood;ethiopia;SNNPR;Alaba Sp.;72101;NA;NA;NA;NA;NA;1805.52;1106;8634;109;1106;1805.52;SNNPR;Alaba Sp.;Alaba;72101;;
Alaba;07/09/2006;;;;flood;ethiopia;SNNPR;Alaba Sp.;72101;NA;17973;17973;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Alaba Sp.;Alaba;72101;;
Alaba;07/09/2006;;;;flood;ethiopia;SNNPR;Alaba Sp.;72101;NA;NA;NA;NA;NA;798;395;4073;658;395;798;SNNPR;Alaba Sp.;Alaba;72101;;
Alaba;06/12/2006;;;;flood;ethiopia;SNNPR;Alaba Sp.;72101;NA;NA;NA;1;NA;NA;140;3000;NA;140;NA;SNNPR;Alaba Sp.;Alaba;72101;;
Alage;01/03/2004;;;;flood;ethiopia;Tigray;Southern Tigray;10404;NA;NA;NA;NA;NA;NA;63;NA;NA;63;NA;Tigray;Southern Tigray;Alage;10404;;
Alamata;11/08/2001;;;;flood;ethiopia;Tigray;Southern Tigray;10407;NA;1027;1027;NA;NA;NA;0;162;NA;0;NA;Tigray;Southern Tigray;Alamata;10407;;
Alamata;01/09/2003;;;;flood;ethiopia;Tigray;Southern Tigray;10407;NA;NA;NA;NA;NA;NA;0;2000;NA;0;NA;Tigray;Southern Tigray;Alamata;10407;;
Alamata;07/09/2007;;;;flood;ethiopia;Tigray;Southern Tigray;10407;NA;1400;1400;NA;NA;NA;0;NA;NA;0;NA;Tigray;Southern Tigray;Alamata;10407;;
Alamata;01/08/2010;;;;flood;ethiopia;Tigray;Southern Tigray;10407;NA;5363;5363;NA;NA;NA;0;NA;NA;0;NA;Tigray;Southern Tigray;Alamata;10407;;
Alamata;01/08/2010;;;;flood;ethiopia;Tigray;Southern Tigray;10407;NA;18384;18384;NA;NA;NA;0;NA;NA;0;NA;Tigray;Southern Tigray;Alamata;10407;;
Alamata;21/12/2010;0;;No record found;flood;ethiopia;Tigray;Southern Tigray;10407;NA;11885;11885;2;NA;2416;202;9875;NA;202;2416;Tigray;Southern Tigray;Alamata;10407;;
Alamata;22/08/2011;1;https://reliefweb.int/report/ethiopia/early-warning-bulletin-covers-period-16-31-august-2011;EW: floods occurs about the end of July;flood;ethiopia;Tigray;Western Tigray;10407;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;Tigray;Western Tigray;Alamata;10407;;
Albuko;01/03/2004;;;;flood;ethiopia;Amhara;South Wello;30408;NA;NA;NA;NA;NA;NA;19;NA;NA;19;NA;Amhara;South Wello;Albuko;30408;;
Albuko;01/08/2010;;;;flood;ethiopia;Amhara;South Wello;30408;NA;28150;28150;NA;NA;4089;88;249;NA;88;4089;Amhara;South Wello;Albuko;30408;;
Aleta Wendo;01/01/2010;0;;No record found;flood;ethiopia;SNNPR;Sidama;70405;NA;1844;1844;NA;NA;NA;4;NA;NA;4;NA;SNNPR;Sidama;Aleta Wendo;70405;;
Alfa;01/06/2004;;;;flood;ethiopia;Amhara;Central Gondar;30115;NA;NA;NA;1;NA;NA;154;NA;NA;154;NA;Amhara;Central Gondar;Alfa;30115;;
Amaro;05/12/2005;;;;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;NA;NA;6;NA;240;23;4140;46;23;240;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2006;;;;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;4140;4140;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;19/02/2008;;;;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;7;7;1;NA;0.25;0;NA;NA;0;0.25;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2009;;;;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;1752;1752;NA;NA;252.5;0;NA;NA;0;252.5;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2009;0;;Duplicated;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;1148;1148;NA;NA;68.4;0;NA;NA;0;68.4;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2009;0;;Duplicated;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;1676;1676;NA;NA;30;0;NA;NA;0;30;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2009;0;;Duplicated;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;636;636;1;NA;20.2;0;NA;NA;0;20.2;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2009;0;;Duplicated;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;473;473;NA;NA;12.6;0;NA;NA;0;12.6;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2009;0;;Duplicated;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;271;271;NA;NA;12.3;0;NA;NA;0;12.3;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2009;0;;Duplicated;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;1158;1158;NA;NA;12.25;0;NA;NA;0;12.25;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2009;0;;Duplicated;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;394;394;NA;NA;6.8;0;NA;NA;0;6.8;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Amaro;07/09/2009;0;;Duplicated;flood;ethiopia;SNNPR;Amaro Sp. Wer.;71302;NA;60;60;NA;NA;1.7;0;NA;NA;0;1.7;SNNPR;Amaro Sp. Wer.;Amaro;71302;;
Ambasel;22/08/2010;5;https://www.ifrc.org/docs/appeals/10/MDRET009.pdf;;flood;ethiopia;Amhara;South Wello;30404;NA;77853;77853;NA;NA;2716;19;805;NA;19;2716;Amhara;South Wello;Ambasel;30404;;
Ambasel;22/08/2010;0;;Duplicated;flood;ethiopia;Amhara;South Wello;30404;NA;NA;0;NA;NA;1368;NA;NA;NA;NA;1368;Amhara;South Wello;Ambasel;30404;;
Amibara;01/09/2003;6;https://reliefweb.int/report/ethiopia/ethiopia-afar-region-and-shinille-zone-under-heavy-rains-pockets-vulnerability;period with floods in Afar region;flood;ethiopia;Afar;Afar Zone 3;20301;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;01/09/2005;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 3;20301;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;01/08/2006;0;https://reliefweb.int/report/ethiopia/ethiopia-floods-ocha-situation-report-no-6;no discharge, but floods in Amibara region in period august-sept 2006. In september also discharge peak, so that is a more reliable data point.;flood;ethiopia;Afar;Afar Zone 3;20301;NA;6000;6000;NA;NA;NA;160;NA;NA;160;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;07/09/2006;5;https://reliefweb.int/report/ethiopia/ethiopia-floods-ocha-situation-report-no-6;discharge peak and info on floods in Amibara region in this period;flood;ethiopia;Afar;Afar Zone 3;20301;NA;13200;13200;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;07/12/2007;0;;seems misplaced incident, there is no discharge and no impact data;flood;ethiopia;Afar;Afar Zone 3;20301;NA;200;200;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;01/09/2008;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 3;20301;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;01/09/2010;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 3;20301;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;01/08/2011;6;https://reliefweb.int/disaster/fl-2011-000124-eth;might be new event, floods in juli-august 2011 reported in Afar regions;flood;ethiopia;Afar;Afar Zone 3;20301;NA;200;200;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;01/10/2013;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 3;20301;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;10/10/2014;6;https://reliefweb.int/sites/reliefweb.int/files/resources/Humanitarian%20Bulletin_20%20October%202014.pdf, https://www.humanitarianresponse.info/en/operations/ethiopia/article/bureau-distributing-bed-nets-flood-affected-people-walta-information;on October 10, overflow of Awash river in Afar caused flooding in Amibara and and Dulecha;flood;ethiopia;Afar;Afar Zone 3;20301;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;01/09/2016;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 3;20301;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;01/08/2017;6;https://reliefweb.int/sites/reliefweb.int/files/resources/MDRET018do.pdf;might be new event based on peak discharge, but no specific impact-info found on Amibara, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 3;20301;NA;28.392;28.392;NA;NA;NA;NA;NA;NA;na;NA;Afar;Afar Zone 3;Amibara;20301;;
Amibara;09/08/2017;6;IFRC(Appeal);;flood;ethiopia;Afar;Zone 3;20301;;;;;;;;;;;;;;;;;
Angolela tera;01/09/2019;6;NDRMC(EW);flash flood;flood;ethiopia;Amhara;North Shewa;30513;;;;8;;;;;;;;;;;;;
Ankasha;01/12/2006;;;;flood;ethiopia;Amhara;Awi;30903;NA;6000;6000;NA;NA;1800;0;NA;NA;0;1800;Amhara;Awi;Ankasha;30903;;
Antsokiya;01/08/2010;;;;flood;ethiopia;Amhara;North Shewa;30507;NA;130;130;NA;NA;NA;0;130;NA;0;NA;Amhara;North Shewa;Antsokiya;30507;;
Antsokiya Gemza;07/09/2006;;;;flood;ethiopia;Amhara;North Shewa;30507;NA;3020;3020;NA;NA;NA;0;NA;NA;0;NA;Amhara;North Shewa;Antsokiya Gemza;30507;;
