adm3_name;Date;Score;Data_source;comment ;disaster_type;country;adm1_name;adm2_name;adm3_pcode;directely affected;Indirectly Affected;Affected;people_dead;people_Injured;Crop Damages;Lost Cattle;people_displaced;house_destroyed;livestock_lost;lost_crops_ha;Region;Zone;Wereda;pcode;adm1_pcode;adm2_pcode
Asayita;01/08/2009;6;;might be new event based on peak discharge, but no specific impact-info found, august-sept are particular flood-months in Ethiopia;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;05/09/2010;6;https://reliefweb.int/disaster/fl-2010-000179-eth;peak in discharge and more general info on flood in Afar;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;01/08/2013;6;;might be new event based on flood discharge data, similar pattern in Dubti;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;01/10/2013;6;;might be new event based on flood discharge data, similar pattern in Dubti;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Asayita;20103;;
Asayita;09/09/2017;6;https://reliefweb.int/sites/reliefweb.int/files/resources/MDRET018do.pdf;might be new event based on discharge data, period with floods in nearby regions;flood;ethiopia;Afar;Afar Zone 1;20103;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 1;Asayita;20103;;
Asegede Tsimbila;01/08/2010;;;;flood;ethiopia;Tigray;Western Tigray;10105;NA;4380;4380;NA;NA;NA;0;NA;NA;0;NA;Tigray;Western Tigray;Asegede Tsimbila;10105;;
Aseko;01/10/2019;6;NDRMC(EW);flash flood;flood;ethiopia;OROMIA;Arsi;40802;;;;;;528;;;;;;;;;;;
Assosa;07/09/2005;;;;flood;ethiopia;Benishangul Gumz;Asosa;60303;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA;Benishangul Gumz;Asosa;Assosa;60303;;
Itang;21/08/2008;6;https://reliefweb.int/report/ethiopia/act-alert-ethiopia-no-342008-flooding-gambella-regional-state;Flash flood;flood;ethiopia;Anuak;Gambela;120207;;;;;;;;;;;;;;;;;
Awash Fentale;01/09/2005;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Awash Fentale;20302;;
Awash Fentale;01/09/2006;6;https://reliefweb.int/report/ethiopia/ethiopia-floods-ocha-situation-report-no-6;might be new event based on flood discharge data and info on flood Amibara (also Afar Zone 3);flood;ethiopia;Afar;Afar Zone 3;20302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Awash Fentale;20302;;
Awash Fentale;07/09/2007;5;https://www.ifrc.org/docs/appeals/07/MDRET004frep.pdf;more general info on flood in Afar (zone 3);flood;ethiopia;Afar;Afar Zone 3;20302;NA;1149;1149;NA;NA;NA;1246;1149;NA;1246;NA;Afar;Afar Zone 3;Awash Fentale;20302;;
Awash Fentale;09/09/2008;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Awash Fentale;20302;;
Awash Fentale;01/09/2010;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Awash Fentale;20302;;
Awash Fentale;07/10/2013;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Awash Fentale;20302;;
Awra;01/04/2019;6;NDRMC(EW);Heavey rain ;flood;ethiopia;Afar;Zone 4;20401;30;;;;;;230;;;;;;;;;;
Ayder;02/04/2018;;;;flood;ethiopia;OROMIA;East Hararge;11067;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;OROMIA;East Hararge;Ayder;11067;;
Ayisha;24/05/2006;6;https://reliefweb.int/report/ethiopia/ethiopia-floods-emergency-appeal-no-mdret003-final-report;wrong date for flooding report or rainfall, glofas, date event to 24-5-2006;flood;ethiopia;Somali;Siti;50101;;;;;;;;;;;;;;;;;
Ayisha;06/12/2006;0;https://reliefweb.int/report/ethiopia/ethiopia-floods-emergency-appeal-no-mdret003-final-report;wrong date for flooding report or rainfall, glofas, date event to 24-5-2006;flood;ethiopia;Somali;Siti;50101;NA;3000;3000;NA;NA;NA;500;NA;19;500;NA;Somali;Siti;Ayisha;50101;;
Ayisha;21/04/2016;6;https://reliefweb.int/report/ethiopia/acaps-briefing-note-ethiopia-floods-13-may-2016;glofas, rainfall and flood report;flood;ethiopia;Somali;Siti;50101;;;;;;;;;;;;;;;;;
Ayisha;24/04/2018;6;;SAGAR tropical cyclone;flood;ethiopia;Somali;Siti;50101;;;;;;;;;;;;;;;;;
Babile;01/10/2019;6;NDRMC(EW);overflow of river and heavey RF;flood;ethiopia;Somali;Fafen;50401;;;;;;;;;;;;;;;;;
Bahir Dar Zuria;18/08/2006;6;IFRC(Appeal);;flood;ethiopia;Amhara;West Gojam;30702;2425;;;;;;;;;;;;;;;;
Bahirdar Zuria;07/09/2006;;;;flood;ethiopia;Amhara;West Gojam;30702;NA;2642;2642;1;NA;293.5;0;NA;NA;0;293.5;Amhara;West Gojam;Bahirdar Zuria;30702;;
Bahirdar Zuria;14/08/2008;;;;flood;ethiopia;Amhara;West Gojam;30702;NA;NA;NA;NA;NA;400;0;NA;NA;0;400;Amhara;West Gojam;Bahirdar Zuria;30702;;
Bahirdar Zuria;01/08/2010;;;;flood;ethiopia;Amhara;West Gojam;30702;NA;6;6;NA;NA;636;0;NA;NA;0;636;Amhara;West Gojam;Bahirdar Zuria;30702;;
Bako Gazer (Debub Ari);02/12/2001;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;40;40;NA;NA;NA;16;NA;NA;16;NA;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);17/06/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;4;NA;2861;87;NA;NA;87;2861;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);17/06/2007;0;;Duplicated;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;4;NA;NA;87;NA;NA;87;NA;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);07/09/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;10000;10000;NA;NA;NA;0;NA;NA;0;NA;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;115.56;8;NA;NA;8;115.56;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;9;8;NA;4;8;9;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;39;39;2;NA;NA;14;NA;2;14;NA;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;7282;17;NA;NA;17;7282;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;2353.5;4;NA;NA;4;2353.5;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;4;26;NA;2;26;4;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;2.83;4;NA;NA;4;2.83;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;45.66;8;NA;16;8;45.66;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;19.1;4;NA;NA;4;19.1;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;124.5;5;NA;NA;5;124.5;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;2;2;NA;NA;2;2;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;NA;21;NA;NA;21;NA;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;0.05;4;NA;NA;4;0.05;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;3.5;1;NA;NA;1;3.5;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Bako Gazer (Debub Ari);30/11/2007;;;;flood;ethiopia;SNNPR;South Omo;70702;NA;NA;NA;NA;NA;501;7;NA;NA;7;501;SNNPR;South Omo;Bako Gazer (Debub Ari);70702;;
Basketo;06/12/2006;;;;flood;ethiopia;SNNPR;Basketo Sp. Wer;71801;NA;NA;NA;NA;NA;4425;0;330;NA;0;4425;SNNPR;Basketo Sp. Wer;Basketo;71801;;
Bedeno;14/05/2005;;;;flood;ethiopia;OROMIA;East Shewa;41013;NA;NA;NA;NA;NA;4.14;0;NA;NA;0;4.14;OROMIA;East Shewa;Bedeno;41013;;
Bedeno;07/09/2007;;;;flood;ethiopia;OROMIA;East Shewa;41013;NA;NA;NA;NA;NA;230;0;NA;NA;0;230;OROMIA;East Shewa;Bedeno;41013;;
Bedeno;01/04/2010;;;;flood;ethiopia;OROMIA;East Shewa;41013;NA;1700;1700;NA;NA;49;0;NA;NA;0;49;OROMIA;East Shewa;Bedeno;41013;;
Bena Tsemai;07/09/2002;;;;flood;ethiopia;SNNPR;South Omo;70705;NA;3500;3500;NA;NA;NA;0;NA;NA;0;NA;SNNPR;South Omo;Bena Tsemai;70705;;
Bena Tsemai;07/09/2007;;;;flood;ethiopia;SNNPR;South Omo;70705;NA;25000;25000;NA;NA;NA;0;NA;NA;0;NA;SNNPR;South Omo;Bena Tsemai;70705;;
Bena Tsemai;07/09/2007;;;;flood;ethiopia;SNNPR;South Omo;70705;NA;2020;2020;NA;NA;93.5;0;NA;NA;0;93.5;SNNPR;South Omo;Bena Tsemai;70705;;
Bena Tsemai;07/09/2007;;;;flood;ethiopia;SNNPR;South Omo;70705;NA;1045;1045;NA;NA;45;0;NA;NA;0;45;SNNPR;South Omo;Bena Tsemai;70705;;
Bena Tsemai;07/09/2007;;;;flood;ethiopia;SNNPR;South Omo;70705;NA;825;825;NA;NA;35;0;NA;NA;0;35;SNNPR;South Omo;Bena Tsemai;70705;;
Bena Tsemai;07/09/2007;;;;flood;ethiopia;SNNPR;South Omo;70705;NA;4168;4168;NA;NA;NA;0;NA;NA;0;NA;SNNPR;South Omo;Bena Tsemai;70705;;
Bibugn;01/06/2004;;;;flood;ethiopia;Amhara;East Gojam;30601;NA;NA;NA;3;5;NA;0;NA;4;0;NA;Amhara;East Gojam;Bibugn;30601;;
Boneya Boshe;01/10/2019;6;NDRMC(EW);flash flood;flood;ethiopia;OROMIA;East wollega;40205;;1280;;;;97;;;;;;;;;;;
Bonke;07/09/2002;;;;flood;ethiopia;SNNPR;Gamugofa;71013;NA;1519;1519;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Gamugofa;Bonke;71013;;
Bonke;07/09/2004;;;;flood;ethiopia;SNNPR;Gamugofa;71013;NA;NA;NA;NA;NA;NA;0;500;NA;0;NA;SNNPR;Gamugofa;Bonke;71013;;
Bonke;07/09/2006;;;;flood;ethiopia;SNNPR;Gamugofa;71013;NA;NA;NA;NA;NA;300;144;NA;NA;144;300;SNNPR;Gamugofa;Bonke;71013;;
Bonke;07/09/2007;;;;flood;ethiopia;SNNPR;Gamugofa;71013;NA;445;445;NA;NA;945;55;445;89;55;945;SNNPR;Gamugofa;Bonke;71013;;
Bonke;07/12/2007;;;;flood;ethiopia;SNNPR;Gamugofa;71013;NA;NA;NA;5;NA;606;0;2205;NA;0;606;SNNPR;Gamugofa;Bonke;71013;;
bora;01/08/2010;;;;flood;ethiopia;OROMIA;East Shewa;40710;NA;5000;5000;1;NA;500;235;2000;NA;235;500;OROMIA;East Shewa;bora;40710;;
Bora ;01/09/2019;6;NDRMC(EW);Over flow of Awash river;flood;ethiopia;OROMIA;East Shoa;40710;219;;;;;4 kebele farm land;;;;;;;;;;;
Borena / Debresina;01/08/2010;;;;flood;ethiopia;Amhara;South Wello;30412;NA;1189;1189;NA;NA;119;0;NA;NA;0;119;Amhara;South Wello;Borena / Debresina;30412;;
Boset;01/07/2010;0;;No record found;flood;ethiopia;OROMIA;East Shewa;40702;NA;4000;4000;NA;NA;NA;0;NA;NA;0;NA;OROMIA;East Shewa;Boset;40702;;
Boset;01/09/2019;6;NDRMC(EW);Over flow of Awash river;flood;ethiopia;OROMIA;East shoa;40702;154;;;;;6 kebele farm land;;;;;;;;;;;
Bugna;01/08/2005;;;;flood;ethiopia;Amhara;North Wello;30301;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA;Amhara;North Wello;Bugna;30301;;
Bugna;01/08/2010;;;;flood;ethiopia;Amhara;North Wello;30301;NA;4462;4462;NA;NA;1004;28;50;NA;28;1004;Amhara;North Wello;Bugna;30301;;
Bule;01/05/2004;;;;flood;ethiopia;SNNPR;Gedeo;70504;NA;NA;NA;NA;NA;6.5;0;NA;NA;0;6.5;SNNPR;Gedeo;Bule;70504;;
Bule;07/09/2005;;;;flood;ethiopia;SNNPR;Gedeo;70504;NA;NA;NA;NA;NA;1;0;NA;NA;0;1;SNNPR;Gedeo;Bule;70504;;
Bule;07/09/2005;;;;flood;ethiopia;SNNPR;Gedeo;70504;NA;NA;NA;NA;NA;36;0;555;NA;0;36;SNNPR;Gedeo;Bule;70504;;
Bure Mudaytu;01/09/2005;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Bure Mudaytu;20305;;
Bure Mudaytu;01/08/2006;5;https://reliefweb.int/report/ethiopia/ethiopia-floods-ocha-situation-report-no-6;general info on floods in Afar region in this period;flood;ethiopia;Afar;Afar Zone 3;20305;NA;10000;10000;NA;NA;NA;219;NA;NA;219;NA;Afar;Afar Zone 3;Bure Mudaytu;20305;;
Bure Mudaytu;24/08/2007;5;https://www.ifrc.org/docs/appeals/07/MDRET004frep.pdf;specific info on Boromodaitu district. Number of affected people adjusted (from originally 4300 to 30000);flood;ethiopia;Afar;Afar Zone 3;20305;NA;30000;30000;NA;NA;NA;0;30000;NA;0;NA;Afar;Afar Zone 3;Bure Mudaytu;20305;;
Bure Mudaytu;15/08/2010;;;;flood;ethiopia;Afar;Afar Zone 5;20305;NA;4120;4120;NA;NA;NA;125;4120;NA;125;NA;Afar;Afar Zone 5;Bure Mudaytu;20305;;
Bure Mudaytu;15/08/2010;;;;flood;ethiopia;Afar;Afar Zone 4;20305;NA;5000;5000;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 4;Bure Mudaytu;20305;;
Bure Mudaytu;01/09/2008;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Afar;Afar Zone 3;Bure Mudaytu;20305;;
Bure Mudaytu;22/09/2010;5;;data adjusted from august to september to match discharge data;flood;ethiopia;Afar;Afar Zone 3;20305;NA;3670;3670;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 3;Bure Mudaytu;20305;;
Bure Mudaytu;07/10/2013;6;;might be new event based on flood discharge data;flood;ethiopia;Afar;Afar Zone 3;20305;NA;NA;NA;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 3;Bure Mudaytu;20305;;
Bure Town;01/08/2010;;;;flood;ethiopia;Amhara;West Gojam;30710;NA;1960;1960;NA;NA;521;0;NA;NA;0;521;Amhara;West Gojam;Bure Town;30710;;
Bure Town;01/08/2010;;;;flood;ethiopia;Amhara;West Gojam;30710;NA;1960;1960;NA;NA;NA;0;NA;NA;0;NA;Amhara;West Gojam;Bure Town;30710;;
Cheliya;01/05/2003;;;;flood;ethiopia;OROMIA;West Shewa;40505;NA;NA;NA;NA;NA;NA;12;NA;NA;12;NA;OROMIA;West Shewa;Cheliya;40505;;
Chencha;03/12/2003;;;;flood;ethiopia;SNNPR;Gamugofa;71007;NA;NA;NA;NA;5;289;8;346;57;8;289;SNNPR;Gamugofa;Chencha;71007;;
Chereti;01/10/2019;6;NDRMC(EW);overflow of river and heavey RF;flood;ethiopia;Somali;Afder;50802;;;;;;;;;;;;;;;;;
Chifra;22/07/2010;0;;No record found;flood;ethiopia;Afar;Afar Zone 1;20106;NA;11500;11500;NA;NA;1642;0;11500;NA;0;1642;Afar;Afar Zone 1;Chifra;20106;;
Chifra;28/07/2010;0;;No record found;flood;ethiopia;Afar;Afar Zone 1;20106;NA;18600;18600;NA;NA;865;0;18600;NA;0;865;Afar;Afar Zone 1;Chifra;20106;;
Chifra;14/08/2010;;;;flood;ethiopia;Afar;Afar Zone 1;20106;NA;15630;15630;NA;NA;160;0;15630;NA;0;160;Afar;Afar Zone 1;Chifra;20106;;
Chifra;15/08/2010;;;;flood;ethiopia;Afar;Afar Zone 1;20106;NA;600;600;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 1;Chifra;20106;;
chole;24/04/2016;6;https://reliefweb.int/sites/reliefweb.int/files/resources/MDRET017.pdf;DREF;flood;ethiopia;;OROMIA;40809;Arsi;;;;;;;;;;;;;;;;
chole;04/05/2016;6;IFRC(Appeal);;flood;ethiopia;OROMIA;Arsi;40809;405;;;;;;;;17;;;;;;;;
Chole;01/04/2016;6;IFRC(Appeal);;flood;ethiopia;OROMIA;Arsi;40809;405;;;;;;;;;;;;;;;;
Dabat;01/08/2005;;;;flood;ethiopia;Amhara;North Gondar;30105;NA;NA;NA;NA;NA;1035;52;NA;NA;52;1035;Amhara;North Gondar;Dabat;30105;;
Dabat;01/10/2019;6;NDRMC(EW);Heavey rain ;flood;ethiopia;Amhara;North Gonder;30105;2600;;;;;306;;;;;;;;;;;
Dale;07/09/2006;;;;flood;ethiopia;SNNPR;Sidama;70404;NA;2580;2580;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Sidama;Dale;70404;;
Dale;07/09/2006;;;;flood;ethiopia;SNNPR;Sidama;70404;NA;3600;3600;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Sidama;Dale;70404;;
Dale;06/12/2006;;;;flood;ethiopia;SNNPR;Sidama;70404;NA;NA;NA;2;1;NA;8;NA;25;8;NA;SNNPR;Sidama;Dale;70404;;
Dale;01/04/2005;6;IFRC(Appeal);overflow of Bilate River;flood;ethiopia;SNNPR;Sidama;70404;10360;;;;;2,000;;;;;;;;;;;
Dalocha;18/09/2019;6;NDRMC(EW);Heavey rain ;flood;ethiopia;SNNPR;Silte;72005;325;;;;;17;;;;;;;;;;;
Dalol;07/09/2007;;;;flood;ethiopia;Afar;Afar Zone 2;20206;NA;320;320;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 2;Dalol;20206;;
Dalol;07/12/2007;;;;flood;ethiopia;Afar;Afar Zone 2;20206;NA;6000;6000;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 2;Dalol;20206;;
Dalol;15/08/2010;;;;flood;ethiopia;Afar;Afar Zone 2;20206;NA;2420;2420;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 2;Dalol;20206;;
Dalol;25/08/2010;;;;flood;ethiopia;Afar;Afar Zone 2;20206;NA;1850;1850;NA;NA;NA;0;NA;NA;0;NA;Afar;Afar Zone 2;Dalol;20206;;
Dalol;25/08/2010;;;;flood;ethiopia;Afar;Afar Zone 2;20206;NA;1800;1800;NA;NA;NA;25;1800;NA;25;NA;Afar;Afar Zone 2;Dalol;20206;;
Damot Sore;07/09/2002;;;;flood;ethiopia;SNNPR;Wolayita;70609;NA;400;400;NA;NA;15;0;NA;NA;0;15;SNNPR;Wolayita;Damot Sore;70609;;
Damot Sore;07/09/2004;;;;flood;ethiopia;SNNPR;Wolayita;70609;NA;NA;NA;NA;NA;80;0;NA;NA;0;80;SNNPR;Wolayita;Damot Sore;70609;;
Damot Sore;07/09/2005;;;;flood;ethiopia;SNNPR;Wolayita;70609;NA;1000;1000;12;NA;150;40;4;NA;40;150;SNNPR;Wolayita;Damot Sore;70609;;
Damot Sore;07/09/2006;;;;flood;ethiopia;SNNPR;Wolayita;70609;NA;650;650;NA;NA;39;0;NA;NA;0;39;SNNPR;Wolayita;Damot Sore;70609;;
Damot Sore;07/09/2006;;;;flood;ethiopia;SNNPR;Wolayita;70609;NA;860;860;NA;NA;10;0;NA;NA;0;10;SNNPR;Wolayita;Damot Sore;70609;;
Damot Sore;07/09/2007;;;;flood;ethiopia;SNNPR;Wolayita;70609;NA;6000;6000;NA;NA;400;0;NA;NA;0;400;SNNPR;Wolayita;Damot Sore;70609;;
Damot Sore;07/09/2008;;;;flood;ethiopia;SNNPR;Wolayita;70609;NA;12000;12000;NA;NA;200;0;NA;NA;0;200;SNNPR;Wolayita;Damot Sore;70609;;
Danan;07/09/2005;1;https://reliefweb.int/report/ethiopia/ethiopia-floods-appeal-no-05ea013-final-report;glofas station has peak, but flood report mentions drought in Somali region;flood;ethiopia;Somali;Shebelle;50603;NA;3500;3500;1;NA;3116;384;NA;28;384;3116;Somali;Shebelle;Danan;50603;;
Danan;07/09/2006;0;;duplicate event date;flood;ethiopia;Somali;Shebelle;50603;NA;NA;NA;NA;NA;NA;0;5000;NA;0;NA;Somali;Shebelle;Danan;50603;;
Danan;07/09/2006;0;;duplicate event date;flood;ethiopia;Somali;Shebelle;50603;NA;8250;8250;3;NA;NA;0;NA;NA;0;NA;Somali;Shebelle;Danan;50603;;
Danan;07/09/2006;5;;glofas peak;flood;ethiopia;Somali;Shebelle;50603;NA;8250;8250;NA;NA;NA;0;NA;NA;0;NA;Somali;Shebelle;Danan;50603;;
Danan;07/09/2006;0;;duplicate event date;flood;ethiopia;Somali;Shebelle;50603;NA;NA;NA;NA;NA;NA;80;NA;3;80;NA;Somali;Shebelle;Danan;50603;;
Danan;20/04/2013;6;https://reliefweb.int/sites/reliefweb.int/files/resources/Humanitarian%20Bulletin_20%20May%202013.pdf;;flood;ethiopia;;Somali;50603;Shebelle;;50603;;;;;;;;;;;;;;
Danan;20/04/2013;6;https://reliefweb.int/sites/reliefweb.int/files/resources/Humanitarian%20Bulletin_20%20May%202013.pdf;;flood;ethiopia;;Somali;50603;Shebelle;;50603;;;;;;;;;;;;;;
Danan;24/04/2018;6;https://reliefweb.int/sites/reliefweb.int/files/resources/ethiopia_floods_-_flash_update_3_-_22_may_2018.pdf;SAGAR tropical cyclone;flood;ethiopia;Somali;Shebelle;50603;;;;;;;;;;;;;;;;;
Dara;01/05/2004;;;;flood;ethiopia;SNNPR;Sidama;70406;NA;NA;NA;2;NA;1040;0;NA;NA;0;1040;SNNPR;Sidama;Dara;70406;;
Dara;07/09/2007;;;;flood;ethiopia;SNNPR;Sidama;70406;NA;3240;3240;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Sidama;Dara;70406;;
Dara;07/09/2007;;;;flood;ethiopia;SNNPR;Sidama;70406;NA;3240;3240;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Sidama;Dara;70406;;
Dara;07/09/2007;;;;flood;ethiopia;SNNPR;Sidama;70406;NA;2470;2470;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Sidama;Dara;70406;;
Dara;07/12/2007;;;;flood;ethiopia;SNNPR;Sidama;70406;NA;3240;3240;NA;NA;370;0;NA;100;0;370;SNNPR;Sidama;Dara;70406;;
Darimu;07/09/2007;;;;flood;ethiopia;OROMIA;Illubabur;40301;NA;NA;NA;NA;NA;807;0;NA;NA;0;807;OROMIA;Illubabur;Darimu;40301;;
Daro Lebu;01/08/2004;;;;flood;ethiopia;OROMIA;West Hararge;40909;NA;NA;NA;2;NA;NA;0;NA;NA;0;NA;OROMIA;West Hararge;Daro Lebu;40909;;
Dawe Ketchen;17/08/2001;;;;flood;ethiopia;OROMIA;Bale;41121;NA;NA;NA;NA;NA;NA;0;400;NA;0;NA;OROMIA;Bale;Dawe Ketchen;41121;;
Dawunt;01/08/2010;;;;flood;ethiopia;Amhara;North Wello;30311;NA;9260;9260;NA;NA;1250;416;15;NA;416;1250;Amhara;North Welo;Dawunt;30311;;
Debay Tilatgen;01/08/2004;;;;flood;ethiopia;Amhara;East Gojam;30607;NA;NA;NA;NA;NA;1800;0;NA;380;0;1800;Amhara;East Gojam;Debay Tilatgen;30607;;
Decha;07/09/2007;;;;flood;ethiopia;SNNPR;Kefa;70908;NA;11;11;NA;NA;NA;0;NA;NA;0;NA;SNNPR;Kefa;Decha;70908;;
Deder;01/04/2003;;;;flood;ethiopia;OROMIA;East Shewa;41011;NA;NA;NA;NA;NA;252;31;NA;9;31;252;OROMIA;East Shewa;Deder;41011;;
Deder;01/04/2010;;;;flood;ethiopia;OROMIA;East Shewa;41011;NA;2000;2000;NA;NA;195;0;NA;NA;0;195;OROMIA;East Shewa;Deder;41011;;
Dedo;01/06/2004;;;;flood;ethiopia;OROMIA;Jima;40410;NA;NA;NA;NA;NA;450;0;NA;NA;0;450;OROMIA;Jima;Dedo;40410;;
Dega Temben;03/04/2018;;;;flood;ethiopia;Tigray;South Eastern;10604;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;Tigray;South Eastern;Dega Temben;10604;;
Degehabur;05/12/2005;;;;flood;ethiopia;Somali;Degehabur;50302;NA;10000;10000;10;NA;NA;3125;NA;NA;3125;NA;Somali;Degehabur;Degehabur;50302;;
Degua Temben;01/08/2010;;;;flood;ethiopia;Tigray;Central Tigray;10604;NA;130;130;NA;NA;5;0;NA;NA;0;5;Tigray;Central Tigray;Degua Temben;10604;;
Dehana;07/09/2006;;;;flood;ethiopia;Amhara;Wag Himra;30803;NA;1482;1482;NA;NA;NA;0;NA;NA;0;NA;Amhara;Wag Himra;Dehana;30803;;
Dehana;17/11/2008;;;;flood;ethiopia;Amhara;Wag Himra;30803;NA;NA;NA;NA;NA;53;0;NA;NA;0;53;Amhara;Wag Himra;Dehana;30803;;
