adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;adm3_pcode;PCODE;date_recorded;data_source;Data_quality_score;people_dead;people_injured;house_destroyed;house_damaged;household_displaced
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;07-05-2012;eoc;1;0;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;04-04-2015;eoc;5;0;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;08-12-2015;eoc;5;4;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;28-04-2016;eoc;5;7;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;31-07-2016;eoc;6;0;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;29-04-2012;eoc;1;0;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;07-05-2012;eoc;1;0;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;04-04-2015;eoc;5;0;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;08-12-2015;eoc;5;4;0;0;0;0
Turkana;KE023;Turkana West;KE023124;Lokichoggio;KE0231240622;KE0231240622;28-04-2016;eoc;5;7;0;0;0;0
