disaster_type,country,disaster_id,adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,location,comment,data_quality_score,date_event,old_date_event,start_date_event,end_date_event,people_dead,people_injured,people_displaced,people_affected,house_destroyed,house_damaged,household_displaced,household_affected,livestock_lost,livestock_affected,lost_crops_ha,road,bridge,school,sewerage_latrine,aqueduct,wall,hospital_health_center,drainage,institution_church_mosque,industry,energy,communication,agriculture,date_recorded,data_source,data_source_other,data_source_url
flood,uganda,uga_impact_data.298,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,27-12-2010,27-12-2010,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1078990/-/cjvdyfz/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1078990/-/cjvdyfz/-/index.html
flood,uganda,uga_impact_data.299,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,28-1-2011,28-1-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/OpEd/Commentary/-/689364/1097076/-/13quq7dz/-/index.html,http://www.monitor.co.ug/OpEd/Commentary/-/689364/1097076/-/13quq7dz/-/index.html
flood,uganda,uga_impact_data.300,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,11-3-2011,11-3-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1266078/-/bhe259z/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1266078/-/bhe259z/-/index.html
flood,uganda,uga_impact_data.301,Lango,21UGA010,Lira,21UGA010007,,,,"unclear, reference source unvailable",0,5-8-2011,5-8-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/323182-floods-cut-off-moroto-nakapiripirit.html,http://www.newvision.co.ug/news/323182-floods-cut-off-moroto-nakapiripirit.html
flood,uganda,uga_impact_data.302,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,16-8-2011,16-8-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/Magazines/Farming/-/689860/1219806/-/1m6qlez/-/index.html,http://www.monitor.co.ug/Magazines/Farming/-/689860/1219806/-/1m6qlez/-/index.html
flood,uganda,uga_impact_data.303,Lango,21UGA010,Lira,21UGA010007,,,,"keep as is, merge here all 09/2011 events",6,23-9-2011,17-9-2011,7-9-2010,25-9-2011,NA,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1237558/-/bj7umiz/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1237558/-/bj7umiz/-/index.html
flood,uganda,uga_impact_data.304,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,19-9-2011,19-9-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1238644/-/bj75jvz/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1238644/-/bj75jvz/-/index.html
flood,uganda,uga_impact_data.305,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,27-9-2011,27-9-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1243586/-/bio3xaz/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1243586/-/bio3xaz/-/index.html
flood,uganda,uga_impact_data.306,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,28-9-2011,28-9-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/541-moroto-bridge-to-re-open.html,http://www.newvision.co.ug/news/541-moroto-bridge-to-re-open.html
flood,uganda,uga_impact_data.307,Lango,21UGA010,Lira,21UGA010007,,,,"unclear, only source is DesInventar ",3,15-11-2011,15-11-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,NewVision,
flood,uganda,uga_impact_data.308,Lango,21UGA010,Lira,21UGA010007,,,,"unclear, only source is DesInventar ",3,30-11-2011,30-11-2011,,,NA,,,,,,,,,,,TRUE,,,,,,,,,,,,,,news,new vision,
flood,uganda,uga_impact_data.309,Lango,21UGA010,Lira,21UGA010007,,,,to delete,2,22-2-2012,22-2-2012,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1332400/-/b08meqz/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1332400/-/b08meqz/-/index.html
flood,uganda,uga_impact_data.309,Lango,21UGA010,Lira,21UGA010007,,,,new event,6,21-11-2012,,,,NA,,,6225,,,,,,,,,,,,,,,,,,,,,,news,New Vision,https://www.newvision.co.ug/news/1310293/floods-ravage-900-homes
flood,uganda,uga_impact_data.310,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,3-5-2013,3-5-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/MPs-discover-more--ghosts---substandard-work-at-OPM/-/688334/1711610/-/wfcmccz/-/index.html,http://www.monitor.co.ug/News/National/MPs-discover-more--ghosts---substandard-work-at-OPM/-/688334/1711610/-/wfcmccz/-/index.html
flood,uganda,uga_impact_data.311,Lango,21UGA010,Lira,21UGA010007,,,,"unclear, reference source unvailable",2,14-5-2013,14-5-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/642712-over-4-000-displaced-by-floods-in-karamoja.html,http://www.newvision.co.ug/news/642712-over-4-000-displaced-by-floods-in-karamoja.html
flood,uganda,uga_impact_data.312,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,17-7-2013,17-7-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/SpecialReports/46-dead-as-hunger-pounds-Karamoja--Teso/-/688342/1917310/-/mah9o2z/-/index.html,http://www.monitor.co.ug/SpecialReports/46-dead-as-hunger-pounds-Karamoja--Teso/-/688342/1917310/-/mah9o2z/-/index.html
flood,uganda,uga_impact_data.313,Lango,21UGA010,Lira,21UGA010007,,,,"unclear, reference source unvailable",2,27-8-2013,27-8-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/646568-heavy-rains-ravage-lango.html,http://www.newvision.co.ug/news/646568-heavy-rains-ravage-lango.html
flood,uganda,uga_impact_data.314,Lango,21UGA010,Lira,21UGA010007,,,,"unclear, only source is DesInventar ",3,17-9-2013,17-9-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,
flood,uganda,uga_impact_data.315,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,5-10-2013,5-10-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/Lira-residents-fail-to-access-health-centre/-/688334/1847602/-/1c93h6/-/index.html,http://www.monitor.co.ug/News/National/Lira-residents-fail-to-access-health-centre/-/688334/1847602/-/1c93h6/-/index.html
flood,uganda,uga_impact_data.316,Lango,21UGA010,Lira,21UGA010007,,,,"unclear, reference source unvailable",2,7-10-2013,7-10-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/644898-bridge-under-water-for-six-months.html,http://www.newvision.co.ug/news/644898-bridge-under-water-for-six-months.html
flood,uganda,uga_impact_data.317,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,18-5-2014,18-5-2014,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/Excitement-in-Karamoja-as-rains-start/-/688334/2318480/-/u6w411/-/index.html,http://www.monitor.co.ug/News/National/Excitement-in-Karamoja-as-rains-start/-/688334/2318480/-/u6w411/-/index.html
flood,uganda,uga_impact_data.318,Lango,21UGA010,Lira,21UGA010007,,,,keep as is,6,13-8-2014,13-8-2014,11-8-2014,13-8-2014,NA,,,,,,,,,,,TRUE,,,,,,,,,,,,,,news,https://www.newvision.co.ug/new_vision/news/1307023/flooded-bridge-disrupts-lira-apac-transport,https://www.newvision.co.ug/new_vision/news/1307023/flooded-bridge-disrupts-lira-apac-transport
flood,uganda,uga_impact_data.319,Lango,21UGA010,Lira,21UGA010007,,,,to delete,0,29-9-2014,29-9-2014,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/Kyankwazi-seeks-help-to-fix-broken-bridges/-/688334/2467950/-/hu5e80z/-/index.html,http://www.monitor.co.ug/News/National/Kyankwazi-seeks-help-to-fix-broken-bridges/-/688334/2467950/-/hu5e80z/-/index.html
flood,uganda,uga_impact_data.320,Lango,21UGA010,Lira,21UGA010007,,,,keep as is,2,18-10-2014,18-10-2014,,,NA,,,,,,,,,,,TRUE,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/Heavy-rains-destroy-Apac-roads/-/688334/2490066/-/b2muqf/-/index.html,http://www.monitor.co.ug/News/National/Heavy-rains-destroy-Apac-roads/-/688334/2490066/-/b2muqf/-/index.html
flood,uganda,uga_impact_data.319,Lango,21UGA010,Lira,21UGA010007,,,,"unclear new event, massive spike in glofas but no reference elsewhere",1,8-4-2015,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
flood,uganda,uga_impact_data.194,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, date is before 2000",0,,23-9-1999,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,New Vision,
flood,uganda,uga_impact_data.195,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not found but probably not about flood",0,,11-11-2004,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/409703-in-brief.html,http://www.newvision.co.ug/news/409703-in-brief.html
flood,uganda,uga_impact_data.196,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not found",0,,4-3-2007,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,New Vision,
flood,uganda,uga_impact_data.197,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about flood",0,,10-5-2007,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/-/688324/793252/-/bpum7p/-/index.html,http://www.monitor.co.ug/News/-/688324/793252/-/bpum7p/-/index.html
flood,uganda,uga_impact_data.198,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, not about a flood",0,,24-9-2007,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/Magazines/Life/-/689856/780710/-/10sksnnz/-/index.html,http://www.monitor.co.ug/Magazines/Life/-/689856/780710/-/10sksnnz/-/index.html
flood,uganda,uga_impact_data.199,Ankole,21UGA002,Mbarara,21UGA002006,,,,keep,6,4-10-2007,6-10-2007,20-9-2007,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,New Vision,https://www.newvision.co.ug/news/1218205/floods-submerge-river-muzizi-bridge
flood,uganda,uga_impact_data.200,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about flood",0,,19-11-2007,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/Education/-/688336/797162/-/10iqgcd/-/index.html,http://www.monitor.co.ug/News/Education/-/688336/797162/-/10iqgcd/-/index.html
flood,uganda,uga_impact_data.201,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about flood",0,,6-3-2008,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/OpEd/Letters/-/806314/739746/-/3gbb7ez/-/index.html,http://www.monitor.co.ug/OpEd/Letters/-/806314/739746/-/3gbb7ez/-/index.html
flood,uganda,uga_impact_data.202,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about flood",0,,25-3-2008,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/523532-tanzania-outlaws-ugandan-pastoralists.html,http://www.newvision.co.ug/news/523532-tanzania-outlaws-ugandan-pastoralists.html
flood,uganda,uga_impact_data.203,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,26-4-2008,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/artsculture/Entertainment/-/812796/807318/-/bs6km8/-/index.html,http://www.monitor.co.ug/artsculture/Entertainment/-/812796/807318/-/bs6km8/-/index.html
flood,uganda,uga_impact_data.204,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,16-5-2008,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/OpEd/Letters/-/806314/737970/-/3gcn7cz/-/index.html,http://www.monitor.co.ug/OpEd/Letters/-/806314/737970/-/3gcn7cz/-/index.html
flood,uganda,uga_impact_data.205,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,7-10-2008,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/Education/-/688336/743482/-/10fl209/-/index.html,http://www.monitor.co.ug/News/Education/-/688336/743482/-/10fl209/-/index.html
flood,uganda,uga_impact_data.206,Ankole,21UGA002,Mbarara,21UGA002006,,,,keep,6,22-10-2008,22-10-2008,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/754428/-/vxux2j/-/index.html,http://www.monitor.co.ug/News/National/-/688334/754428/-/vxux2j/-/index.html
flood,uganda,uga_impact_data.207,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,12-1-2009,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/815448/-/wfi7ky/-/index.html,http://www.monitor.co.ug/News/National/-/688334/815448/-/wfi7ky/-/index.html
flood,uganda,uga_impact_data.208,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,21-12-2009,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/artsculture/Travel/-/691238/827618/-/oyt05z/-/index.html,http://www.monitor.co.ug/artsculture/Travel/-/691238/827618/-/oyt05z/-/index.html
flood,uganda,uga_impact_data.209,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,20-1-2010,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/Education/-/688336/845856/-/10yp9fm/-/index.html,http://www.monitor.co.ug/News/Education/-/688336/845856/-/10yp9fm/-/index.html
flood,uganda,uga_impact_data.210,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,9-6-2010,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1004496/-/coa2ffz/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1004496/-/coa2ffz/-/index.html
flood,uganda,uga_impact_data.211,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,22-7-2010,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/OpEd/Editorial/-/689360/962300/-/qvicx8z/-/index.html,http://www.monitor.co.ug/OpEd/Editorial/-/689360/962300/-/qvicx8z/-/index.html
flood,uganda,uga_impact_data.212,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,8-1-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/OpEd/Letters/-/806314/1210928/-/10rmym9/-/index.html,http://www.monitor.co.ug/OpEd/Letters/-/806314/1210928/-/10rmym9/-/index.html
flood,uganda,uga_impact_data.213,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,24-2-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1113952/-/c4ldawz/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1113952/-/c4ldawz/-/index.html
flood,uganda,uga_impact_data.214,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a specific flood",0,,10-3-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/OpEd/Commentary/-/689364/1247156/-/12qrxgrz/-/index.html,http://www.monitor.co.ug/OpEd/Commentary/-/689364/1247156/-/12qrxgrz/-/index.html
flood,uganda,uga_impact_data.215,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,22-3-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/SpecialReports/-/688342/1130506/-/urxxsg/-/index.html,http://www.monitor.co.ug/SpecialReports/-/688342/1130506/-/urxxsg/-/index.html
flood,uganda,uga_impact_data.216,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,29-3-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1134940/-/c3cl82z/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1134940/-/c3cl82z/-/index.html
flood,uganda,uga_impact_data.217,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,17-7-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/SpecialReports/-/688342/1202132/-/va8dfb/-/index.html,http://www.monitor.co.ug/SpecialReports/-/688342/1202132/-/va8dfb/-/index.html
flood,uganda,uga_impact_data.218,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about Mbarara",0,,15-9-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,,https://www.newvision.co.ug/news/1001644/plan-floods
flood,uganda,uga_impact_data.219,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,28-10-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1262666/-/bhgoq5z/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1262666/-/bhgoq5z/-/index.html
flood,uganda,uga_impact_data.220,Ankole,21UGA002,Mbarara,21UGA002006,,,,unclear if it's also in mbarara,2,14-11-2011,14-11-2011,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/-/688334/1272672/-/bgu5t2z/-/index.html,http://www.monitor.co.ug/News/National/-/688334/1272672/-/bgu5t2z/-/index.html
flood,uganda,uga_impact_data.221,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,12-5-2012,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/Business/-/688322/1636418/-/6j7yc2/-/index.html,http://www.monitor.co.ug/Business/-/688322/1636418/-/6j7yc2/-/index.html
flood,uganda,uga_impact_data.222,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,7-6-2012,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/Hold-former-ministers-accountable-for-IDs--MPs-tell-govt/-/688334/1445766/-/13okims/-/index.html,http://www.monitor.co.ug/News/National/Hold-former-ministers-accountable-for-IDs--MPs-tell-govt/-/688334/1445766/-/13okims/-/index.html
flood,uganda,uga_impact_data.223,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,5-11-2012,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/artsculture/Reviews/Nyabihoko--The-lake-with-an-intriguing-history/-/691232/1403308/-/n8wcbhz/-/index.html,http://www.monitor.co.ug/artsculture/Reviews/Nyabihoko--The-lake-with-an-intriguing-history/-/691232/1403308/-/n8wcbhz/-/index.html
flood,uganda,uga_impact_data.224,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,24-2-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/Magazines/PeoplePower/-Shs40b-Dura-deal--MPs-verdict-wrong-/-/689844/1702370/-/5plug9/-/index.html,http://www.monitor.co.ug/Magazines/PeoplePower/-Shs40b-Dura-deal--MPs-verdict-wrong-/-/689844/1702370/-/5plug9/-/index.html
flood,uganda,uga_impact_data.225,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a specific flood",0,,12-4-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/Magazines/Farming/Northern-Uganda-to-bear-brunt-of-climate-change/-/689860/2097458/-/qyirub/-/index.html,http://www.monitor.co.ug/Magazines/Farming/Northern-Uganda-to-bear-brunt-of-climate-change/-/689860/2097458/-/qyirub/-/index.html
flood,uganda,uga_impact_data.226,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a specific flood",0,,1-6-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/Magazines/PeoplePower/UNRA--No-cash-for-600km-of-roads/-/689844/1657992/-/wbjghi/-/index.html,http://www.monitor.co.ug/Magazines/PeoplePower/UNRA--No-cash-for-600km-of-roads/-/689844/1657992/-/wbjghi/-/index.html
flood,uganda,uga_impact_data.227,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about Mbarara",0,,26-6-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/Magazines/Farming/Positive-outlook-for-food-supply-and-prices/-/689860/1894188/-/10chw6uz/-/index.html,http://www.monitor.co.ug/Magazines/Farming/Positive-outlook-for-food-supply-and-prices/-/689860/1894188/-/10chw6uz/-/index.html
flood,uganda,uga_impact_data.228,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about Mbarara",0,,4-8-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/artsculture/Reviews/The-slum-dogs--life-in-bwaise/-/691232/1742006/-/act51u/-/index.html,http://www.monitor.co.ug/artsculture/Reviews/The-slum-dogs--life-in-bwaise/-/691232/1742006/-/act51u/-/index.html
flood,uganda,uga_impact_data.229,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about Mbarara",0,1-5-2013,5-8-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,https://www.newvision.co.ug/news/1319061/kasese-floods-destroy-property-worth-sh8b,http://www.newvision.co.ug/news/642480-kasese-floods-destroy-property-worth-sh8b.html
flood,uganda,uga_impact_data.230,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,26-11-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/Nathan-Byanyima-s-supporters-walk-out-on-Museveni/-/688334/2088350/-/5edhj8z/-/index.html,http://www.monitor.co.ug/News/National/Nathan-Byanyima-s-supporters-walk-out-on-Museveni/-/688334/2088350/-/5edhj8z/-/index.html
flood,uganda,uga_impact_data.231,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,29-11-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/SpecialReports/-/688342/2092194/-/yi2kr9z/-/index.html,http://www.monitor.co.ug/SpecialReports/-/688342/2092194/-/yi2kr9z/-/index.html
flood,uganda,uga_impact_data.232,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,25-1-2014,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/OpEd/Letters/Create-regional-cities-to-ease-Kampala-s-load/-/806314/2158916/-/tiiawy/-/index.html,http://www.monitor.co.ug/OpEd/Letters/Create-regional-cities-to-ease-Kampala-s-load/-/806314/2158916/-/tiiawy/-/index.html
flood,uganda,uga_impact_data.233,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not found or not about flood",0,,20-2-2014,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,New Vision,
flood,uganda,uga_impact_data.234,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,10-6-2014,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/artsculture/Reviews/How-hydropower-dams-dry-up-Nile-River-tourism/-/691232/2475930/-/12q6jeqz/-/index.html,http://www.monitor.co.ug/artsculture/Reviews/How-hydropower-dams-dry-up-Nile-River-tourism/-/691232/2475930/-/12q6jeqz/-/index.html
flood,uganda,uga_impact_data.235,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about Mbarara",0,,5-8-2014,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/655378-five-perish-as-fresh-floods-hit-kasese.html,http://www.newvision.co.ug/news/655378-five-perish-as-fresh-floods-hit-kasese.html
flood,uganda,uga_impact_data.236,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about Mbarara",0,,5-11-2014,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/News/National/Four-killed-as-floods-sweep-Kilembe-Mines-Hospital/-/688334/2310186/-/89v006z/-/index.html,http://www.monitor.co.ug/News/National/Four-killed-as-floods-sweep-Kilembe-Mines-Hospital/-/688334/2310186/-/89v006z/-/index.html
flood,uganda,uga_impact_data.237,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,18-12-2014,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/Business/Auto/Beware-of--deadly--routes/-/688614/2559930/-/12muu3z/-/index.html,http://www.monitor.co.ug/Business/Auto/Beware-of--deadly--routes/-/688614/2559930/-/12muu3z/-/index.html
flood,uganda,uga_impact_data.238,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood",0,,28-5-2015,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.newvision.co.ug/news/669046-rcc-boss-summoned-over-breach-of-contract.html,http://www.newvision.co.ug/news/669046-rcc-boss-summoned-over-breach-of-contract.html
flood,uganda,uga_impact_data.239,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, article not about a flood in Mbarara",0,11-6-2015,6-11-2015,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,http://www.monitor.co.ug/OpEd/OpEdColumnists/KaroliSsemogerere/need-legislation-clean-air-clean-water/-/878682/2747162/-/rbu6xp/-/index.html,http://www.monitor.co.ug/OpEd/OpEdColumnists/KaroliSsemogerere/need-legislation-clean-air-clean-water/-/878682/2747162/-/rbu6xp/-/index.html
flood,uganda,uga_impact_data.240,Ankole,21UGA002,Mbarara,21UGA002006,,,,unclear,3,19-2-2016,19-2-2016,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,CAO OFFICE MBARARA,
flood,uganda,uga_impact_data.241,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, strange record",0,,21-3-2017,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,District Files,
flood,uganda,uga_impact_data.242,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, strange record",0,,31-8-2017,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,District Files,
flood,uganda,uga_impact_data.243,Ankole,21UGA002,Mbarara,21UGA002006,,,,keep,8,14-3-2018,14-3-2018,,,1,,,,,,,,,,,,,,,,,,,,,,,,,news,http://floodlist.com/africa/uganda-floods-mbarara-march-2018,http://floodlist.com/africa/uganda-floods-mbarara-march-2018
flood,uganda,uga_impact_data.244,Ankole,21UGA002,Mbarara,21UGA002006,,,,"delete, strange record",0,,3-3-2017,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,CAO OFFICE MBARARA,
