disaster_type,country,disaster_id,adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,location,comment,data_quality_score,date_event,old_date_event,start_date_event,end_date_event,people_dead,people_injured,people_displaced,people_affected,house_destroyed,house_damaged,household_displaced,household_affected,livestock_lost,livestock_affected,lost_crops_ha,road,bridge,school,sewerage_latrine,aqueduct,wall,hospital_health_center,drainage,institution_church_mosque,industry,energy,communication,agriculture,date_recorded,data_source,data_source_other,data_source_url
flood,uganda,uga_impact_data.967,Elgon,21UGA006,Bulambuli,21UGA006003,,,,keep as is,6,15-8-2011,15-8-2011,,,27,,,3070,,,,,,,,TRUE,,,,,,9,,,,,,,,,Assessment report from OPM dated 31/08/2011,https://reliefweb.int/report/uganda/floods-halt-relief-distribution - https://reliefweb.int/report/uganda/uganda-flood-and-landslides-drefoperation-n%C2%B0-mdrug023-final-report
flood,uganda,uga_impact_data.968,Elgon,21UGA006,Bulambuli,21UGA006003,,,,keep as is,7,11-11-2011,11-11-2011,6-11-2011,11-11-2011,NA,,,9844 (indirectly),,,,,,,,TRUE,,,,,,,,,,,,,,news,new vision,
flood,uganda,uga_impact_data.969,Elgon,21UGA006,Bulambuli,21UGA006003,,,,"unclear, perhaps 10/10/2013 is better guess according to Glofas",3,19-10-2013,19-10-2013,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,OPM,
flood,uganda,uga_impact_data.970,Elgon,21UGA006,Bulambuli,21UGA006003,,,,unclear,4,17-10-2014,17-10-2014,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,news,New Vision,
flood,uganda,uga_impact_data.971,Elgon,21UGA006,Bulambuli,21UGA006003,,,,to delete,0,10-4-2017,10-4-2017,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,District Files,
flood,uganda,uga_impact_data.972,Elgon,21UGA006,Bulambuli,21UGA006003,,,,unclear,5,17-4-2017,17-4-2017,,,NA,,,120795 (indirectly),159,,,,,,,,,,,,,,,,,,,,,,District Files,
flood,uganda,uga_impact_data.973,Elgon,21UGA006,Bulambuli,21UGA006003,,,,"unclear, probably to delete. Event is recorded in DesInventar but, despite being flagged as flood, the comments refers to ""Banana bacterial wilt""",2,28-6-2017,28-6-2017,,,NA,,,,2089,310,,,,,13084,,,,,,,,,,,,,,,,District Files,
flood,uganda,uga_impact_data.974,Elgon,21UGA006,Bulambuli,21UGA006003,,,,keep as is,6,20-5-2018,20-5-2018,20-5-2018,29-5-2018,NA,,,3000,,,,,,,,,,,,,,,,,,,,,,reliefweb,https://reliefweb.int/report/uganda/bulambuli-district-hit-floods,https://reliefweb.int/report/uganda/bulambuli-district-hit-floods
flood,uganda,uga_impact_data.975,Elgon,21UGA006,Bulambuli,21UGA006003,,,,"unclear, probably date to change to 13/10/2018 - 23/10/2018 according to Glofas data ",2,7-6-2018,7-6-2018,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,district,
flood,uganda,uga_impact_data.975,Elgon,21UGA006,Bulambuli,21UGA006003,,,,new event,6,15-10-2019,,15-10-2019,6-11-2019,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Emdat database,
flood,uganda,uga_impact_data.110,Bukedi,21UGA003,Butaleja,21UGA003003,,,,keep as is,7,28-11-2006,28-11-2006,,,NA,,6 families,210 (indirectly),,,,,,,,,1,,,,,,,,,,,,,,Uganda Red Cross Society-Mbale Branch - New Vision,https://www.newvision.co.ug/news/1136037/floods-destroy-butaleja-bridge
flood,uganda,uga_impact_data.111,Bukedi,21UGA003,Butaleja,21UGA003003,,,,keep as is,6,7-12-2006,7-12-2006,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Statement to parliament by Minister of state on El-nino dated 7/12/2006,
flood,uganda,uga_impact_data.112,Bukedi,21UGA003,Butaleja,21UGA003003,,,,keep as is,6,21-7-2009,21-7-2009,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Ref-OPM/DM/92,
flood,uganda,uga_impact_data.113,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,20-2-2010,20-2-2010,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Ministry of Foreighn Affairs,
flood,uganda,uga_impact_data.114,Bukedi,21UGA003,Butaleja,21UGA003003,,,,to delete,0,4-3-2010,4-3-2010,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,Rapid assessment report from OPM dated 20/05/2010,
