disaster_type;Countrty;adm1_name;adm1_pcode;adm2_name;adm2_pcode;adm3_name;ADM3_PCODE;ward;date_recorded;date_recorded_new;Data_quality_score;ifrc_source;data_source;data_quality;magnitude_impact;people_dead;people_injured;house_destroyed;house_damaged;household_displaced;people_displaced;roads;livestock_lost;bridge;schools;latrine;wall;hospitals;drainage;inst.church.mosque;health_center;lost_crops_ha (acreage)
flood;kenya;;;Baringo;KE030;0;#N-A;0;13-05-2002;;5;other;dref;1;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;14-05-2002;;5;other;disinventer;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;21-12-2002;;5;other;wra;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo East;#N-A;Marigat;21-12-2002;;5;other;wra;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo North;KE030158;Marigat;21-12-2002;;5;other;wra;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;27-06-2003;03-05-2003;5;IFRC;dref;1;1;0;0;355;0;0;0;1;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo Central;KE030159;Marigat;27-06-2003;03-05-2003;5;IFRC;dref;1;1;0;0;355;0;0;0;1;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;10-01-2007;;5;IFRC;dref;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;11-01-2007;;0;other;dref;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;01-07-2008;;1;other;wra;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;Moi Ndambi;02-01-2009;;5;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;04-11-2009;;1;other;dref;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo Central;KE030159;0;02-01-2010;;5;other;disinventer;1;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo East;#N-A;0;02-01-2010;;5;other;disinventer;1;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo North;KE030158;0;02-01-2010;;5;other;disinventer;1;1;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;02-01-2010;;0;other;disinventer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;02-01-2010;;5;other;disinventer;1;1;0;0;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;04-01-2010;;5;other;disinventer;0;0;1;0;0;0;0;0;1;8;5;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;Eldume;10-01-2010;;5;other;disinventer;1;1;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;86.5
flood;kenya;;;Baringo;KE030;Eldama Ravine;KE030162;Emining;10-01-2010;;5;other;disinventer;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;10-01-2010;;5;other;disinventer;2;1;0;0;67;0;0;0;0;36;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;10-01-2010;;5;other;disinventer;1;1;0;0;118;0;0;0;0;7;0;0;0;0;0;0;0;0;53.5
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;10-01-2010;;5;other;disinventer;1;1;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;20
flood;kenya;;;Baringo;KE030;Mogotio;KE030161;Mogotio;25-03-2010;;5;IFRC;dref;0;0;0;0;0;0;0;100;0;0;0;2;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;26-03-2010;;0;other;dref;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;27-03-2010;;0;other;dref;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;30-08-2010;;5;other;dref;0;0;1;0;;11;23;0;0;0;0;0;2;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;;#N-A;0;03-09-2010;;0;other;dref;1;0;1;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;12-12-2011;;0;other;dref;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;0;#N-A;0;11-06-2012;;0;other;dref;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;11-06-2012;;0;other;dref;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
flood;kenya;;;Baringo;KE030;Baringo South;KE030160;Marigat;11-06-2012;;0;other;dref;0;0;0;0;0;0;305;0;0;0;0;0;0;0;0;0;0;0;0
