field_1,HYBAS_ID,district,sub_county,ward,date,Date_year,human_impa,hh_impact,p_impact,lat,lon,Adm0Name,Adm2Name,Adm1Name,DSCodeAdm1,DSCodeAdm2
742,1061135480,Busia,,,2002-05-13,2002,40,0,0,0.0796787,34.0430426,Kenya,Budalangi,Busia,KE40,KE400231
756,1061135480,Busia,,,2006-05-18,2006,0,0,0,0.0796787,34.0430426,Kenya,Budalangi,Busia,KE40,KE400231
732,1061135480,Busia,,,2006-11-14,2006,48,0,10,0.4349978,34.2474358,Kenya,Nambale,Busia,KE40,KE400227
547,1061135480,Busia,,,2007-04-21,2007,29,262,0,0.4606673,34.1114272,Kenya,Matayos,Busia,KE40,KE400228
545,1061135480,Busia,Budalangi,,2007-08-15,2007,35,280,0,0.0796787,34.0430426,Kenya,Budalangi,Busia,KE40,KE400231
539,1061135480,Busia,Budalangi,,2008-11-10,2008,39,271,0,0.0796787,34.0430426,Kenya,Budalangi,Busia,KE40,KE400231
735,1061135480,Busia,,,2008-11-25,2008,0,0,19,0.0796787,34.0430426,Kenya,Budalangi,Busia,KE40,KE400231
616,1061135480,Busia,,,2011-12-12,2011,0,0,0,0.4606673,34.1114272,Kenya,Matayos,Busia,KE40,KE400228
659,1061135480,Busia,Budalangi,,2012-12-20,2012,0,0,35,0.0796787,34.0430426,Kenya,Budalangi,Busia,KE40,KE400231
678,1061135480,Busia,Butere,,2013-05-31,2013,0,0,17,0.2196544,34.4932758,Kenya,Butere,Kakamega,KE37,KE370207
210,1061135480,Busia,Budalangi,,2015-11-27,2015,12,0,0,0.0796787,34.0430426,Kenya,Budalangi,Busia,KE40,KE400231
218,1061135480,Busia,,,2015-12-06,2015,12,124,0,0.389515,34.1884663,Kenya,Matayos,Busia,KE40,KE400228
264,1061135480,Busia,Budalangi,,2016-05-13,2016,23,0,0,0.0796787,34.0430426,Kenya,Budalangi,Busia,KE40,KE400231
166,1061135480,Busia,Teso North,,2018-03-17,2018,12,0,0,0.6203356,34.344491,Kenya,Teso North,Busia,KE40,KE400225
138,1061135480,Busia,Matayos,,2018-03-22,2018,13,0,0,0.361807,34.1685087,Kenya,Matayos,Busia,KE40,KE400228
154,1061135480,Busia,,,2018-04-28,2018,12,20,0,0.4606673,34.1114272,Kenya,Matayos,Busia,KE40,KE400228
