evacuationCenterName,lat,lon
Langbaar B Church,6.14683,31.341737
Langbaar B primary school,6.14899,31.341753
Thon-Awai Church and Thon-Awai Primary School,6.14226,31.341815
Malou Dyke,6.134905,31.331346
Malek `s Church,6.03538,31.36797
Malek Primary School,6.048,31.3618
White Nile River,6.03538,31.36797
Suk zero,6.0959,31.35055
Anyidi Girls primary school,6.114036,31.335
Pakwau Dyke,6.1134,31.335
