wkt,name,highway,waterways,depth,vulnerability,fid
"MULTILINESTRING ((41.8425867 9.5900178, 41.8425331 9.5901157, 41.8424767 9.5901434, 41.8424137 9.5901408, 41.8423372 9.5901315, 41.8422675 9.5901183, 41.8418967 9.5900304, 41.8416627 9.5899795, 41.8415178 9.5899914, 41.8414045 9.5900152, 41.8412966 9.5900548, 41.8411329 9.5901375, 41.8410712 9.5901699, 41.840974 9.5902307, 41.8409103 9.5902929, 41.8408708 9.590357, 41.8408459 9.5904363, 41.8408319 9.5905289, 41.8408272 9.5906492, 41.8408508 9.5909074, 41.840854 9.5909421, 41.8409003 9.5914374))",,residential,,0,no risk,994
"MULTILINESTRING ((41.8489074 9.5888605, 41.84926 9.5888528, 41.8494143 9.5888607, 41.8495417 9.5888753, 41.8499547 9.5889903))",,residential,,0,no risk,995
"MULTILINESTRING ((41.8476422 9.6199375, 41.8476588 9.6197274, 41.8476722 9.6196321, 41.8477002 9.619559, 41.8477178 9.6195131, 41.8478358 9.6193069))",,residential,,0,no risk,996
"MULTILINESTRING ((41.8470885 9.6198803, 41.8471034 9.619596, 41.8471044 9.6195647, 41.84711 9.6195444, 41.8471146 9.6195343))",,residential,,0,no risk,997
"MULTILINESTRING ((41.8490483 9.6190151, 41.8490502 9.6190059, 41.8489774 9.6187242, 41.8489606 9.6186552, 41.8489408 9.6185311))",,residential,,0,no risk,998
"MULTILINESTRING ((41.8424985 9.6167555, 41.8437876 9.6165915, 41.8443601 9.6165266, 41.8448853 9.6164732, 41.8454507 9.6164157, 41.8456078 9.6163997, 41.8460032 9.6163578))",,residential,,0,no risk,999
"MULTILINESTRING ((41.8480077 9.6104379, 41.8479181 9.6103435, 41.8478527 9.6102911, 41.8477976 9.6102404, 41.8477715 9.6102128, 41.8477593 9.6101714, 41.8477481 9.6100867))",,residential,,0,no risk,1000
"MULTILINESTRING ((41.8660632 9.5844774, 41.8666402 9.5843796, 41.866727 9.5843695, 41.8668284 9.584371, 41.8670822 9.5845091, 41.867165 9.584549, 41.8672412 9.5845702, 41.8673068 9.5845781, 41.867533 9.5845767))",,residential,,0,no risk,1001
"MULTILINESTRING ((41.8692043 9.5804596, 41.8691872 9.5805253, 41.8691593 9.5805839, 41.8690427 9.580777, 41.8689528 9.580904, 41.8687613 9.5811041, 41.8685692 9.5812415, 41.8683158 9.5814052, 41.8681991 9.5814845, 41.8679912 9.5816921, 41.8679376 9.5817853, 41.8679114 9.5818462, 41.8678942 9.5818928))",,residential,,0,no risk,1002
"MULTILINESTRING ((41.867665 9.5842235, 41.8678349 9.5844069, 41.8679013 9.584453, 41.8679407 9.5844825, 41.8679553 9.5844875, 41.8680486 9.5845048, 41.8680807 9.5845112, 41.8681033 9.5845292, 41.8681573 9.5845932))",,residential,,0,no risk,1003
"MULTILINESTRING ((41.8642241 9.6082712, 41.8643005 9.607458, 41.8643166 9.6073952, 41.8643334 9.6073588))",,service,,0,no risk,1004
"MULTILINESTRING ((41.8667407 9.6084424, 41.866793 9.6085793))",,residential,,0,no risk,1005
"MULTILINESTRING ((41.8638332 9.6082016, 41.8642241 9.6082712, 41.8644547 9.6083003))",,service,,0,no risk,1006
"MULTILINESTRING ((41.8609491 9.599417, 41.8610376 9.5995321, 41.8611462 9.5996141, 41.8614091 9.5997635, 41.8616484 9.5998386))",,residential,,0,no risk,1007
"MULTILINESTRING ((41.8419262 9.5959069, 41.8422579 9.5960964, 41.8424395 9.5962001, 41.8428348 9.5964286, 41.8432318 9.5966626, 41.8434383 9.5967948))",,residential,,0,no risk,1008
"MULTILINESTRING ((41.8608188 9.5900017, 41.860927 9.5900971, 41.8611536 9.5902109, 41.8613903 9.5903266, 41.8614701 9.590357, 41.8615841 9.5904072, 41.8619113 9.5905785, 41.8619985 9.5906519, 41.8621018 9.5907537))",,residential,,0,no risk,1009
"MULTILINESTRING ((41.863726 9.5903016, 41.8638445 9.5902922, 41.8639706 9.5903028, 41.8640564 9.59031, 41.8641047 9.5903352, 41.8643468 9.590526))",,residential,,0,no risk,1010
"MULTILINESTRING ((41.8474388 9.5954871, 41.8477131 9.5951122, 41.847738 9.5950758, 41.8477573 9.5950475, 41.8478271 9.5949561, 41.8479873 9.5948113, 41.8481214 9.5947082, 41.8482327 9.5946222, 41.8482609 9.5945746, 41.8482944 9.5945131, 41.8483005 9.5944695, 41.8483011 9.5944199, 41.8482891 9.5943862, 41.8482488 9.594332, 41.8482073 9.5942718, 41.8481308 9.5941657))",,residential,,0,no risk,1011
"MULTILINESTRING ((41.8418598 9.5945852, 41.8419982 9.5942633, 41.8420932 9.5940424, 41.8423076 9.5935903))",,residential,,0,no risk,1012
"MULTILINESTRING ((41.8446802 9.5991059, 41.8444771 9.5985207))",,residential,,0,no risk,1013
"MULTILINESTRING ((41.843325 9.5975248, 41.8429369 9.597682, 41.8427315 9.597739, 41.842631 9.5977575))",,residential,,0,no risk,1014
"MULTILINESTRING ((41.8501599 9.591524, 41.8498676 9.5911947, 41.849722 9.5910383, 41.8496101 9.5909646, 41.849096 9.5907551))",,residential,,0,no risk,1015
"MULTILINESTRING ((41.8441311 9.5992913, 41.8445977 9.599138, 41.8446802 9.5991059, 41.8450728 9.5989807, 41.8452253 9.5989542, 41.8454667 9.5989122, 41.8456155 9.5989146, 41.8457209 9.5989529, 41.8458255 9.5990177, 41.8460933 9.5992481))",,residential,,0,no risk,1016
"MULTILINESTRING ((41.8563189 9.596178, 41.8564176 9.5962892, 41.8564738 9.5963281, 41.8565677 9.5963955, 41.856667 9.5964471, 41.8568326 9.5964839))",,residential,,0,no risk,1017
"MULTILINESTRING ((41.856792 9.5947945, 41.8567072 9.5951935, 41.8566837 9.5952609, 41.8566502 9.5953826))",,residential,,0,no risk,1018
"MULTILINESTRING ((41.8592973 9.6011406, 41.8596906 9.6016436, 41.8601372 9.6022255))",,residential,,0,no risk,1019
"MULTILINESTRING ((41.8524104 9.6074889, 41.8525176 9.6074236, 41.8525478 9.6074025, 41.8526557 9.6073271, 41.8527348 9.607257, 41.8528086 9.6071883, 41.8528408 9.6071638, 41.85294 9.6071168, 41.8531251 9.607064, 41.8531935 9.6070719, 41.8532458 9.6070983))",,residential,,0,no risk,1020
"MULTILINESTRING ((41.8584465 9.6034591, 41.8581824 9.6030084))",,residential,,0,no risk,1021
"MULTILINESTRING ((41.8521736 9.6068116, 41.8523405 9.6068484, 41.8524586 9.6068683, 41.8525028 9.6068841, 41.8525417 9.6069264, 41.8525712 9.6069926, 41.8525873 9.60706, 41.8525478 9.6074025))",,residential,,0,no risk,1022
"MULTILINESTRING ((41.8515138 9.6084206, 41.8515379 9.6084385, 41.8516834 9.6085952))",,residential,,0,no risk,1023
"MULTILINESTRING ((41.8548849 9.6064967, 41.8551998 9.6065099))",,service,,0,no risk,1024
"MULTILINESTRING ((41.8544568 9.6054732, 41.8544226 9.6057668, 41.8544126 9.6063288, 41.8544246 9.6065337, 41.854438 9.6065721, 41.8544649 9.6065945, 41.8545333 9.6066183, 41.8548112 9.606671, 41.8548819 9.6066845, 41.8552507 9.606699))",,service,,0,no risk,1025
"MULTILINESTRING ((41.850743 9.6056276, 41.8508372 9.6057033, 41.8508546 9.6057212, 41.8508704 9.6057443, 41.8510263 9.6061463, 41.8511215 9.6065859, 41.8515701 9.6077681))",,residential,,0,no risk,1026
"MULTILINESTRING ((41.8508553 9.6030865, 41.8507708 9.6031499, 41.850746 9.6031803, 41.8507285 9.603224, 41.8507138 9.6033734, 41.8507037 9.6034012, 41.850687 9.603425, 41.8506622 9.6034468, 41.8505502 9.6034884))",,residential,,0,no risk,1027
"MULTILINESTRING ((41.8121611 9.6057734, 41.8124172 9.6059188, 41.8126023 9.6060279, 41.8127672 9.6062005, 41.8128008 9.6062203))",,residential,,0,no risk,1028
"MULTILINESTRING ((41.8399818 9.6067397, 41.8394622 9.6069062, 41.8383459 9.6073116, 41.836758 9.6078882))",,residential,,0,no risk,1029
"MULTILINESTRING ((41.8334959 9.607838, 41.8334699 9.6077526, 41.8334417 9.6077185, 41.8333827 9.6076749, 41.8332969 9.6076405, 41.8332851 9.6076276, 41.8332767 9.6076074, 41.8330297 9.6068788))",,residential,,0,no risk,1030
"MULTILINESTRING ((41.8344253 9.6069654, 41.8349913 9.606717, 41.8351811 9.6066507, 41.8352173 9.6066342))",,residential,,0,no risk,1031
"MULTILINESTRING ((41.8323427 9.6084167, 41.832298 9.6083595, 41.8322543 9.6082862, 41.8322213 9.608229, 41.8321584 9.6081276, 41.8321073 9.6080319, 41.8320765 9.6079433, 41.8320644 9.6077899, 41.8320558 9.6077349))",,residential,,0,no risk,1032
"MULTILINESTRING ((41.8395106 9.6078648, 41.8391591 9.6080021))",,service,,0,no risk,1033
"MULTILINESTRING ((41.8340229 9.6074036, 41.8338762 9.6075268, 41.8337327 9.6076193, 41.8335591 9.6077065, 41.8334699 9.6077526))",,residential,,0,no risk,1034
"MULTILINESTRING ((41.8339858 9.6053993, 41.834192 9.6059316, 41.8343959 9.6064174))",,residential,,0,no risk,1035
"MULTILINESTRING ((41.8470254 9.6031933, 41.8470392 9.6027294, 41.8470526 9.6026673, 41.8470667 9.6026508))",,residential,,0,no risk,1036
"MULTILINESTRING ((41.8469976 9.609054, 41.847003 9.6090249, 41.8469922 9.6089681, 41.8469802 9.608894, 41.8469855 9.6087605, 41.847011 9.6086269, 41.8470526 9.6085264, 41.8470579 9.6084735, 41.8470418 9.6083982, 41.847003 9.6082567, 41.8469989 9.6082157, 41.847014 9.6081912, 41.8470603 9.6081509, 41.8472209 9.6080957, 41.8474925 9.6080008))",,residential,,0,no risk,1037
"MULTILINESTRING ((41.8464719 9.6047777, 41.8454111 9.6051651, 41.8448813 9.6053291, 41.844639 9.6054053, 41.8442993 9.6055122, 41.8439627 9.6056299, 41.843671 9.6057155, 41.8436046 9.6057212, 41.843441 9.6057628, 41.8433142 9.6058045, 41.843093 9.6059043, 41.8419639 9.6062237))",,residential,,0,no risk,1038
"MULTILINESTRING ((41.8419623 9.6078666, 41.8418539 9.6082225, 41.8417787 9.6084332, 41.8417579 9.6084907, 41.8417633 9.6085753, 41.8417773 9.6086249, 41.8418669 9.6088375))",,residential,,0,no risk,1039
"MULTILINESTRING ((41.8454875 9.6016359, 41.8463614 9.6012859, 41.8468349 9.6010984, 41.8473521 9.6008904, 41.8482703 9.6004941))",,residential,,0,no risk,1040
"MULTILINESTRING ((41.8420803 9.6087552, 41.8420241 9.6083704, 41.8420161 9.6082553))",,residential,,0,no risk,1041
"MULTILINESTRING ((41.8434689 9.6055348, 41.8435402 9.6053926, 41.8435463 9.6053615, 41.8435449 9.6053139, 41.8435143 9.6050923))",,residential,,0,no risk,1042
"MULTILINESTRING ((41.8451228 9.6082422, 41.8451033 9.6081707))",,residential,,0,no risk,1043
"MULTILINESTRING ((41.8454332 9.6095128, 41.8458114 9.6094322, 41.8461741 9.6093436, 41.8465302 9.6092358, 41.8469788 9.6090699, 41.8469976 9.609054))",,residential,,0,no risk,1044
"MULTILINESTRING ((41.8724116 9.5785573, 41.8721004 9.5783094, 41.8720534 9.5782473, 41.8720266 9.5781904, 41.8720253 9.5781507))",,residential,,0,no risk,1045
"MULTILINESTRING ((41.8704669 9.5797396, 41.8708802 9.5795219, 41.8712272 9.5793249, 41.871593 9.5791214, 41.8718013 9.5790248, 41.8720499 9.5788609))",,residential,,0,no risk,1046
"MULTILINESTRING ((41.8704787 9.5785469, 41.8705967 9.5782606, 41.8707162 9.5782309, 41.8708276 9.5782565))",,residential,,0,no risk,1047
"MULTILINESTRING ((41.8345367 9.5964586, 41.8346752 9.5960013))",,residential,,0,no risk,1048
"MULTILINESTRING ((41.8327918 9.5959331, 41.8323283 9.595819, 41.8319366 9.5956996, 41.8314716 9.5955624, 41.8313937 9.5955255, 41.8313456 9.5954659, 41.8312861 9.5952668))",,residential,,0,no risk,1049
"MULTILINESTRING ((41.725525 9.5521016, 41.7259005 9.5521757, 41.7263296 9.5524719, 41.7273274 9.5526095, 41.7274883 9.552747, 41.7277887 9.552747, 41.7284539 9.5527047, 41.7289045 9.5525142, 41.7293766 9.5527682, 41.7297833 9.5529869, 41.7298487 9.5530221, 41.730192 9.5529269, 41.730595 9.5528283, 41.730825 9.5530327, 41.7311898 9.5534347, 41.731576 9.5538262, 41.7315867 9.554006, 41.731061 9.5544081, 41.7307606 9.5546091, 41.7300311 9.5546514, 41.7299131 9.5546197))",,unclassified,,0,no risk,1050
"MULTILINESTRING ((41.7297833 9.5529869, 41.7299345 9.5538685, 41.7299131 9.5546197, 41.730707 9.5552651, 41.7313936 9.5556671, 41.7317048 9.5569896, 41.731576 9.5578571, 41.7305568 9.5590738, 41.7303529 9.559296, 41.7299667 9.5594441, 41.7294624 9.560026, 41.728808 9.5604069, 41.7276922 9.5610099, 41.7271236 9.5617082))",,unclassified,,0,no risk,1051
"MULTILINESTRING ((41.7148175 9.5859125, 41.7150885 9.5867211, 41.7155284 9.5870596, 41.716376 9.5881387, 41.7177063 9.5906882, 41.7181355 9.5916508, 41.7183823 9.5920846, 41.7184252 9.5923702, 41.7188651 9.5932165, 41.7190796 9.5934175, 41.7192727 9.593682))",,unclassified,,0,no risk,1052
"MULTILINESTRING ((42.140424 9.6309135, 42.1417323 9.6321389, 42.1424355 9.6320421, 42.143711 9.6326709, 42.1452319 9.6311393, 42.1461313 9.6294625, 42.1475541 9.6276889, 42.148568 9.6268022, 42.1494674 9.624819, 42.1504159 9.622465, 42.1511191 9.6208204, 42.1519041 9.6200143, 42.1517079 9.6193855, 42.152133 9.6188373, 42.1517896 9.6179505, 42.1514626 9.617499, 42.1511846 9.616322, 42.1517733 9.6155319, 42.1520186 9.6148547, 42.1518223 9.6141775, 42.151528 9.6138389, 42.1515934 9.6135326, 42.1523129 9.6132585, 42.1526073 9.6127586, 42.1530325 9.6129199, 42.1535558 9.612549, 42.1539483 9.612549, 42.1542753 9.6117106, 42.1539156 9.611243, 42.1544552 9.6112108, 42.1549458 9.6108238, 42.1548314 9.6103562, 42.1555019 9.6093243, 42.1558289 9.6087438, 42.1557144 9.6082762, 42.1561069 9.6070024, 42.1558453 9.6065993, 42.1566793 9.6055996, 42.1568428 9.6049063, 42.1574643 9.6035841, 42.1587071 9.6021974, 42.1578077 9.6010848, 42.1570227 9.6005527, 42.156156 9.6008268, 42.155371 9.6006817, 42.1546678 9.6006011, 42.1543571 9.6003108, 42.1541282 9.5998916, 42.1541609 9.5995046, 42.1536539 9.5988758, 42.1533105 9.5984727, 42.1530979 9.5975858, 42.152869 9.5966345, 42.1542426 9.596183, 42.1551257 9.5961024, 42.1556981 9.5958282, 42.1567447 9.5957315, 42.157824 9.5952961, 42.1583964 9.5954574, 42.1590832 9.5950381, 42.1600481 9.5943448, 42.1606859 9.5937159, 42.1609312 9.5932483, 42.1614054 9.5928774, 42.1617652 9.5920067, 42.1622395 9.5915391, 42.1625338 9.5912166, 42.1628118 9.590362, 42.1630081 9.5896686, 42.1630735 9.5888785, 42.1627955 9.587653, 42.1624848 9.5861211, 42.1624357 9.5858308, 42.1631716 9.5851697, 42.1634823 9.584428, 42.1642182 9.5835572, 42.164533 9.5830853, 42.1639402 9.5815254, 42.1635477 9.580961, 42.1635804 9.5806385, 42.1642346 9.5800419, 42.1646107 9.5792195, 42.1649214 9.5781391, 42.1653303 9.577607, 42.1654284 9.5771877, 42.1658045 9.5760105, 42.1658536 9.5756396, 42.1666385 9.5750591, 42.1668511 9.574269, 42.1665731 9.5736562, 42.1667366 9.5725758, 42.1669819 9.5715598, 42.1672109 9.5708181, 42.1671618 9.5701408, 42.168143 9.5690281, 42.1684047 9.568125, 42.1687481 9.5677864, 42.1687808 9.5671575, 42.1692387 9.5663673, 42.1696476 9.5660287, 42.1698274 9.5657545, 42.1698601 9.5650127, 42.1699583 9.5646096, 42.1704162 9.5640613, 42.1707432 9.563255, 42.1712771 9.5618955, 42.1715123 9.5613738, 42.1715695 9.5612468, 42.1718801 9.5607424, 42.1720628 9.5601478, 42.1721541 9.5596433, 42.1721998 9.5590488, 42.172547 9.5586614, 42.1727114 9.5579767))",,unclassified,,0,no risk,1053
"MULTILINESTRING ((42.1014098 9.5054726, 42.0995754 9.5065413, 42.0987922 9.5070598, 42.0976334 9.5079169, 42.0971936 9.5082979, 42.0969039 9.5090809, 42.0960027 9.5097052, 42.0955413 9.5098851, 42.0953053 9.5102978, 42.0947474 9.5105094, 42.0944684 9.5106046, 42.0944363 9.5108903, 42.0944041 9.5112607))",,unclassified,,0,no risk,1054
"MULTILINESTRING ((41.8778725 9.6050956, 41.8780588 9.6055325, 41.8782162 9.6058973, 41.8783862 9.6062745, 41.8785593 9.6066156, 41.8787647 9.6069101, 41.8790624 9.6073254, 41.8793252 9.6076682))",,residential,,0,no risk,1055
"MULTILINESTRING ((41.8783862 9.6062745, 41.8794134 9.6058619, 41.8801034 9.605617))",,residential,,0,no risk,1056
"MULTILINESTRING ((41.7382543 9.5510991, 41.7383458 9.5518576, 41.7387383 9.5552204, 41.7387814 9.5563609, 41.7390396 9.5581643, 41.739244 9.5596865, 41.7394914 9.5608959, 41.7396098 9.5616331, 41.7396313 9.5625878, 41.7397173 9.5635638, 41.7399809 9.5653035, 41.740067 9.566359, 41.7401692 9.5671121, 41.7405403 9.568995, 41.7405726 9.5693398, 41.7406048 9.5702627, 41.740863 9.5711272, 41.7409114 9.5722039, 41.740906 9.5740496, 41.7404542 9.5765637, 41.7404004 9.5777305, 41.7396851 9.5809764, 41.7394538 9.5818462, 41.7393086 9.5831562, 41.7391848 9.5841374, 41.7389374 9.585161))",,unclassified,,0,no risk,1057
"MULTILINESTRING ((41.840364 9.5935482, 41.8404302 9.5934473, 41.84063 9.5931425))",,residential,,0,no risk,1058
"MULTILINESTRING ((41.8782162 9.6058973, 41.87928 9.6054894, 41.8799552 9.6052167))",,residential,,0,no risk,1059
"MULTILINESTRING ((41.8362438 9.6122428, 41.8358631 9.6124042, 41.8355055 9.6125408, 41.8351986 9.612648, 41.8350756 9.6123157, 41.8349422 9.6119224))",,residential,,0,no risk,1060
"MULTILINESTRING ((41.8727595 9.5978441, 41.8728262 9.5975874, 41.8729106 9.597365, 41.8733264 9.59669))",,residential,,0,no risk,1061
"MULTILINESTRING ((41.8789801 9.5959484, 41.8786316 9.5969615, 41.8783699 9.5977144, 41.8781275 9.5984603, 41.8778648 9.5992234, 41.8775997 9.5999614, 41.877352 9.6007134, 41.8771508 9.6013915))",,residential,,0,no risk,1062
"MULTILINESTRING ((41.8793115 9.6027308, 41.8793195 9.6026091, 41.8798667 9.6016597, 41.8799686 9.6015248, 41.8800759 9.6015195, 41.8805775 9.6017813, 41.8806553 9.6017946, 41.8810581 9.6017828))",,service,,0,no risk,1063
"MULTILINESTRING ((41.8658543 9.6092648, 41.8661392 9.6092967, 41.866301 9.6093031, 41.8663993 9.6092801, 41.8664476 9.6095261, 41.8664664 9.6095578, 41.8664921 9.6095947, 41.8665619 9.609774, 41.8666402 9.6097709, 41.866754 9.6097555, 41.8668242 9.6096753))",,residential,,0,no risk,1064
"MULTILINESTRING ((41.8666863 9.6102837, 41.866689 9.6102269, 41.8666622 9.6101356, 41.8666515 9.6100973, 41.8666542 9.6100748, 41.8666783 9.6100616, 41.8668754 9.6100127))",,residential,,0,no risk,1065
"MULTILINESTRING ((41.8544633 9.5851122, 41.8543383 9.5852616, 41.8542513 9.5853676, 41.8540037 9.585709, 41.8536266 9.5862947, 41.8532807 9.5868441, 41.8528746 9.5874027))",,residential,,0,no risk,1066
"MULTILINESTRING ((41.841732 9.6030918, 41.8420163 9.6038569))",,residential,,0,no risk,1067
"MULTILINESTRING ((41.8744824 9.5945006, 41.8742555 9.5943935))",,residential,,0,no risk,1068
"MULTILINESTRING ((41.854591 9.5837276, 41.8554743 9.583714))",,residential,,0,no risk,1069
"MULTILINESTRING ((41.8543382 9.5867527, 41.8547664 9.5862387))",,residential,,0,no risk,1070
"MULTILINESTRING ((41.8641568 9.6165237, 41.8643287 9.6165751, 41.8647592 9.6167192, 41.8648329 9.616788, 41.8648691 9.6168739, 41.8648893 9.6170075, 41.8649697 9.617178, 41.8650515 9.6172653, 41.8651441 9.617338, 41.8652889 9.6174028))",,service,,0,no risk,1071
"MULTILINESTRING ((41.8640712 9.6189459, 41.8639787 9.6195224, 41.8639344 9.6196612, 41.8638821 9.6197776, 41.8638052 9.6199779, 41.8637694 9.6200711, 41.8635321 9.6206423, 41.8632437 9.6213735, 41.8631069 9.621794, 41.8628535 9.6225199, 41.8627356 9.6229068, 41.8624688 9.6235412, 41.8624558 9.6235764, 41.8622962 9.624048))",,residential,,0,no risk,1072
"MULTILINESTRING ((41.8547773 9.6301848, 41.8547586 9.6302086, 41.8538714 9.6320194, 41.8532072 9.6332967, 41.8529132 9.6338619))",,residential,,0,no risk,1073
"MULTILINESTRING ((41.8605106 9.6192474, 41.8605186 9.6192857, 41.8607412 9.619611, 41.8608592 9.6197154, 41.8609196 9.6197459, 41.8610619 9.6197766, 41.8610725 9.6197789, 41.8612455 9.6197816, 41.861385 9.6197538))",,service,,0,no risk,1074
"MULTILINESTRING ((41.829024 9.6038879, 41.8299825 9.6035175))",,residential,,0,no risk,1075
"MULTILINESTRING ((41.8271055 9.5704995, 41.8275881 9.5707689, 41.8297203 9.5712166, 41.8312207 9.5713724, 41.8334319 9.5715671, 41.8338563 9.5715476, 41.8339057 9.5716936, 41.8347447 9.5711874, 41.8349915 9.571168, 41.8357417 9.5713529, 41.8360083 9.5713724, 41.8363735 9.5721608, 41.8376666 9.5720051, 41.8385353 9.571752, 41.8391572 9.5710512, 41.8393842 9.5705645, 41.8397001 9.5708954, 41.8395793 9.5719205, 41.8392418 9.5736041, 41.8391028 9.5756205, 41.8383285 9.5767559, 41.8370976 9.5788114, 41.8365219 9.5791442, 41.8357278 9.5806124, 41.8346954 9.5817087, 41.834477 9.5825896, 41.8344373 9.5828833, 41.8356358 9.5829709))",,track,,0,no risk,1076
"MULTILINESTRING ((41.9285762 9.6530008, 41.9281808 9.6539892, 41.9281515 9.6542665, 41.9281867 9.6545379, 41.9283273 9.6547747, 41.9285558 9.654948, 41.9296631 9.6554909, 41.9309637 9.6561551, 41.9318662 9.6566132))",,track,,0,no risk,1077
"MULTILINESTRING ((41.9318662 9.6566132, 41.9322546 9.6568114))",,track,,0,no risk,1078
"MULTILINESTRING ((41.9322546 9.6568114, 41.9331639 9.6572574, 41.9333786 9.6573159, 41.9334551 9.6572786))",,track,,0,no risk,1079
"MULTILINESTRING ((41.8802867 9.5904113, 41.8804233 9.5904534, 41.8805092 9.5904582, 41.8806316 9.5904787, 41.8806859 9.5904835, 41.880715 9.590487, 41.8807801 9.5904913, 41.8808927 9.5904991, 41.8809593 9.5905074))",,residential,,0,no risk,1080
"MULTILINESTRING ((41.8727838 9.5893815, 41.8732431 9.5892793, 41.873912 9.5892321, 41.8746022 9.5892288, 41.8749542 9.5892243, 41.8753138 9.5892255, 41.8756618 9.5892421, 41.875997 9.5892807, 41.8760451 9.5892801, 41.8763702 9.5892764, 41.8767074 9.5892983, 41.8770473 9.5893479, 41.8774003 9.5894256, 41.8776993 9.5895421, 41.8780028 9.5896385, 41.8783354 9.5897363, 41.8786943 9.5898637, 41.8790217 9.5899745, 41.8793158 9.5900632, 41.879652 9.5901673, 41.8799502 9.5902753, 41.8800293 9.5902896, 41.8800857 9.5902922, 41.8802188 9.5902796, 41.8803462 9.5902591))",,residential,,0,no risk,1081
"MULTILINESTRING ((41.8837507 9.5952424, 41.883868 9.5951174))",,residential,,0,no risk,1082
"MULTILINESTRING ((41.8823699 9.5955413, 41.8825523 9.5957251, 41.8826247 9.5957819, 41.8827876 9.5959003, 41.882861 9.5959493))",,residential,,0,no risk,1083
"MULTILINESTRING ((41.880535 9.5941032, 41.8800102 9.5939161, 41.8794993 9.5937455, 41.8791465 9.5936292, 41.8786249 9.5934625, 41.8780911 9.593292, 41.8775533 9.5931068, 41.8770137 9.5929277, 41.8765085 9.59276, 41.8759454 9.5925852))",,residential,,0,no risk,1084
"MULTILINESTRING ((41.8273774 9.595056, 41.8279456 9.5950514))",,residential,,0,no risk,1085
"MULTILINESTRING ((41.822777 9.6435792, 41.8232533 9.6443034, 41.8242506 9.645817, 41.8249556 9.6468742, 41.8258829 9.6482848, 41.8261821 9.6487462))",Outer Bypass,primary,,0,no risk,1086
"MULTILINESTRING ((41.8083161 9.5849241, 41.8083644 9.5845483, 41.808284 9.5842415, 41.8082625 9.5840404, 41.8081874 9.5839027))",,unclassified,,0,no risk,1087
"MULTILINESTRING ((41.835387 9.607668, 41.83556 9.6081614, 41.8357397 9.6086725, 41.8359221 9.6091914, 41.8361005 9.6096989, 41.836283 9.6102181, 41.8364672 9.6107213, 41.8366442 9.6112454))",,residential,,0,no risk,1088
"MULTILINESTRING ((41.8256529 9.610726, 41.825231 9.6097028))",,residential,,0,no risk,1089
"MULTILINESTRING ((41.8357397 9.6086725, 41.8369108 9.6082803))",,residential,,0,no risk,1090
"MULTILINESTRING ((41.8260929 9.6105478, 41.8256489 9.6095363))",,residential,,0,no risk,1091
"MULTILINESTRING ((41.8269383 9.6102214, 41.8265011 9.6091906))",,residential,,0,no risk,1092
"MULTILINESTRING ((41.8278257 9.6098748, 41.8273902 9.6088353))",,residential,,0,no risk,1093
"MULTILINESTRING ((41.8327953 9.6167761, 41.8328878 9.6166412, 41.8329844 9.6164892, 41.833097 9.6163239, 41.8332888 9.6161507, 41.833486 9.6160118, 41.8336134 9.615955, 41.8337086 9.6159285, 41.8338029 9.6159229, 41.8339395 9.6159148, 41.834583 9.6160383, 41.8349046 9.6159335, 41.8353468 9.6158211, 41.8357703 9.615716, 41.8361725 9.6156162, 41.8366226 9.6155046, 41.8370426 9.6154234, 41.8374328 9.6153249))",,residential,,0,no risk,1094
"MULTILINESTRING ((41.8363996 9.6163658, 41.8361826 9.6167439, 41.8359712 9.6171121))",,residential,,0,no risk,1095
"MULTILINESTRING ((41.8336315 9.6183053, 41.8342209 9.6182742))",,residential,,0,no risk,1096
"MULTILINESTRING ((41.8359712 9.6171121, 41.8357536 9.6174912))",,path,,0,no risk,1097
"MULTILINESTRING ((41.8378491 9.6055814, 41.8376133 9.6049555, 41.837327 9.6041752, 41.8371253 9.6036782))",,service,,0,no risk,1098
"MULTILINESTRING ((41.8370784 9.6203196, 41.837166 9.6207653))",,residential,,0,no risk,1099
"MULTILINESTRING ((41.8342437 9.6172455, 41.8347713 9.6174498, 41.8359273 9.6180997, 41.8365262 9.6184263))",,residential,,0,no risk,1100
"MULTILINESTRING ((41.8343389 9.6166994, 41.834993 9.6170577, 41.8357536 9.6174912, 41.8361388 9.6177113, 41.836722 9.6180309))",,residential,,0,no risk,1101
"MULTILINESTRING ((41.8255954 9.6022355, 41.8263419 9.6019982))",,residential,,0,no risk,1102
"MULTILINESTRING ((41.827184 9.6041736, 41.827988 9.6038712))",,residential,,0,no risk,1103
"MULTILINESTRING ((41.8363927 9.597216, 41.8364873 9.5968699))",,residential,,0,no risk,1104
"MULTILINESTRING ((41.8226772 9.600125, 41.8233124 9.5999007))",,residential,,0,no risk,1105
"MULTILINESTRING ((41.8252795 9.6013571, 41.8250711 9.6007382))",,residential,,0,no risk,1106
"MULTILINESTRING ((41.8248632 9.6015086, 41.8252795 9.6013571, 41.8260205 9.6011015))",,residential,,0,no risk,1107
"MULTILINESTRING ((41.8262343 9.6003265, 41.8266048 9.6013932, 41.8270481 9.6026464))",,residential,,0,no risk,1108
"MULTILINESTRING ((41.8270629 9.6038337, 41.827876 9.6035486, 41.8287514 9.6032223))",,residential,,0,no risk,1109
