wkt,name,highway,waterways,depth,vulnerability,fid
"MULTILINESTRING ((41.8602857 9.5821324, 41.8603065 9.58215, 41.8610019 9.5822941, 41.8615116 9.5824, 41.8620386 9.5825079))",,residential,,0,no risk,18
"MULTILINESTRING ((41.8403845 9.6061994, 41.8405852 9.6066991, 41.8407544 9.607133, 41.8409176 9.6076297, 41.8410224 9.6079705, 41.8410771 9.608167, 41.841377 9.6090378, 41.8415654 9.6095604))",,residential,,0,no risk,19
"MULTILINESTRING ((41.8326953 9.6091479, 41.8338827 9.6087376, 41.8344168 9.6085559, 41.8347215 9.6084469, 41.835008 9.6083494, 41.8352802 9.6082567, 41.83556 9.6081614, 41.8366932 9.607758))",,residential,,0,no risk,20
"MULTILINESTRING ((41.8451043 9.6109161, 41.8450941 9.6103412))",,residential,,0,no risk,21
"MULTILINESTRING ((41.8434568 9.6181292, 41.8435299 9.6186954))",,residential,,0,no risk,22
"MULTILINESTRING ((41.8714514 9.5785547, 41.8714894 9.5788598, 41.871593 9.5791214))",,residential,,0,no risk,23
"MULTILINESTRING ((41.8702979 9.5793858, 41.8704669 9.5797396, 41.8706195 9.579967, 41.8708294 9.5803996))",,residential,,0,no risk,24
"MULTILINESTRING ((41.8355503 9.5976216, 41.8357017 9.5968383))",,residential,,0,no risk,25
"MULTILINESTRING ((41.8225741 9.6028042, 41.8230561 9.604035))",,residential,,0,no risk,26
"MULTILINESTRING ((41.8389881 9.5967081, 41.8388843 9.5970667))",,residential,,0,no risk,27
"MULTILINESTRING ((41.8450728 9.5989807, 41.845274 9.5995582, 41.8454318 9.6000286))",,residential,,0,no risk,28
"MULTILINESTRING ((41.8238004 9.6032539, 41.824412 9.6030391, 41.8248683 9.60289))",,residential,,0,no risk,29
"MULTILINESTRING ((41.7480616 9.5452192, 41.7484917 9.5456593, 41.7488337 9.5457813, 41.7492413 9.5460396, 41.7495542 9.5462477, 41.7500782 9.5465061, 41.7502674 9.5465348, 41.750573 9.5466855, 41.751439 9.5465635, 41.752225 9.5464056, 41.7525816 9.5463985, 41.7530983 9.5464487, 41.7552014 9.5469367, 41.7557254 9.5469152, 41.7559583 9.5468434, 41.756686 9.5470085, 41.7573555 9.5470515, 41.758469 9.5470659, 41.7589784 9.5470802, 41.7599754 9.5467716, 41.7605576 9.5466712, 41.7610015 9.5466281, 41.7615692 9.546585, 41.7625662 9.5467286, 41.7632866 9.5467429, 41.7634977 9.5467501, 41.7640435 9.5464128, 41.7646329 9.5461616, 41.7665906 9.5458028))",,unclassified,,0,no risk,30
