"id";"name";"pcode";"adm1nam";"adm1pcd";"Date";"Certnty";"Impact";"PplAffc";"Deaths";"flood";"source"
"uga_impact_data.1";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"06/03/1994";"2";"L";"";NA;1;"NewVision"
"uga_impact_data.2";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"06/05/2002";"5";"L";"";2;1;"New Vision"
"uga_impact_data.3";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"07/05/2002";"3";"H";"";2;1;"https://www.newvision.co.ug/new_vision/news/1057373/tororo-floods-kill"
"uga_impact_data.4";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"12/11/2006";"2";"L";"";NA;1;"http://www.newvision.co.ug/news/454333-jinja-bugiri-highway-a-dusty-road-to-the-future.html"
"uga_impact_data.5";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"28/11/2006";"8";"L";"";NA;1;"Uganda Red Cross Society-Mbale Branch"
"uga_impact_data.6";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"01/12/2008";"2";"L";"";NA;1;"http://www.monitor.co.ug/Business/Technology/-/688612/725362/-/tcorju/-/index.html"
"uga_impact_data.7";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"05/04/2009";"2";"L";"";NA;1;"http://www.newvision.co.ug/news/570113-floods-destroy-tororo-mbale-bridge.html"
"uga_impact_data.8";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"01/05/2009";"2";"L";"";NA;1;"new vision"
"uga_impact_data.9";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"04/03/2010";"5";"L";"";NA;1;"Rapid assessment report from OPM dated 20/05/2010"
"uga_impact_data.10";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"29/03/2010";"2";"L";"";NA;1;"http://www.newvision.co.ug/news/622325-tororo-archdiocese-prays-for-bududa-residents.html"
"uga_impact_data.11";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"25/05/2010";"8";"L";"";NA;1;"URCS - Floods and landslides in Uganda"
"uga_impact_data.12";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"03/08/2010";"2";"L";"";NA;1;"http://www.monitor.co.ug/News/National/-/688334/875014/-/wj7cq9/-/index.html"
"uga_impact_data.13";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"04/08/2010";"2";"L";"";NA;1;"http://www.newvision.co.ug/news/621646-news-in-brief.html"
"uga_impact_data.14";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"08/08/2010";"2";"L";"";NA;1;"http://www.newvision.co.ug/news/613626-blocked-septic-tank-floods-tororo-market.html"
"uga_impact_data.15";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"21/09/2010";"2";"L";"";NA;1;"http://www.newvision.co.ug/news/610610-heavy-rains-destroy-15-tororo-bridges.html"
"uga_impact_data.16";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"05/11/2010";"2";"L";"";NA;1;"http://www.newvision.co.ug/news/619470-tororo-floods-displace-over-700.html"
"uga_impact_data.17";"Tororo";"21UGA003007";"Bukedi";"21UGA003";"03/12/2010";"2";"L";"";NA;1;"http://www.monitor.co.ug/News/National/-/688334/877760/-/wj8w04/-/index.html"
