district,nb_event,station,pod,far,pofd,csi,threshold,objective_function
amuru,1,F0037,0.0,1.0,0.967741935483871,0.0,Q50,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q55,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q60,1.0
amuru,1,F0037,0.0,1.0,0.9545454545454546,0.0,Q65,1.0
amuru,1,F0037,0.0,1.0,0.9411764705882353,0.0,Q70,1.0
amuru,1,F0037,0.0,1.0,0.9285714285714286,0.0,Q75,1.0
amuru,1,F0037,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,F0037,0.0,1.0,0.8571428571428571,0.0,Q85,1.0
amuru,1,F0037,0.0,1.0,0.8,0.0,Q90,1.0
amuru,1,G5163,0.0,1.0,0.9545454545454546,0.0,Q50,1.0
amuru,1,G5163,0.0,1.0,0.9523809523809523,0.0,Q55,1.0
amuru,1,G5163,0.0,1.0,0.9444444444444444,0.0,Q60,1.0
amuru,1,G5163,0.0,1.0,0.9375,0.0,Q65,1.0
amuru,1,G5163,0.0,1.0,0.9230769230769231,0.0,Q70,1.0
amuru,1,G5163,0.0,1.0,0.9090909090909091,0.0,Q75,1.0
amuru,1,G5163,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,G5163,0.0,1.0,0.875,0.0,Q85,1.0
amuru,1,G5163,0.0,1.0,0.8333333333333334,0.0,Q90,1.0
amuru,1,F0037,0.0,1.0,0.967741935483871,0.0,Q50,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q55,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q60,1.0
amuru,1,F0037,0.0,1.0,0.9545454545454546,0.0,Q65,1.0
amuru,1,F0037,0.0,1.0,0.9411764705882353,0.0,Q70,1.0
amuru,1,F0037,0.0,1.0,0.9285714285714286,0.0,Q75,1.0
amuru,1,F0037,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,F0037,0.0,1.0,0.8571428571428571,0.0,Q85,1.0
amuru,1,F0037,0.0,1.0,0.8,0.0,Q90,1.0
amuru,1,G5163,0.0,1.0,0.9545454545454546,0.0,Q50,1.0
amuru,1,G5163,0.0,1.0,0.9523809523809523,0.0,Q55,1.0
amuru,1,G5163,0.0,1.0,0.9444444444444444,0.0,Q60,1.0
amuru,1,G5163,0.0,1.0,0.9375,0.0,Q65,1.0
amuru,1,G5163,0.0,1.0,0.9230769230769231,0.0,Q70,1.0
amuru,1,G5163,0.0,1.0,0.9090909090909091,0.0,Q75,1.0
amuru,1,G5163,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,G5163,0.0,1.0,0.875,0.0,Q85,1.0
amuru,1,G5163,0.0,1.0,0.8333333333333334,0.0,Q90,1.0
amuru,1,F0037,0.0,1.0,0.967741935483871,0.0,Q50,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q55,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q60,1.0
amuru,1,F0037,0.0,1.0,0.9545454545454546,0.0,Q65,1.0
amuru,1,F0037,0.0,1.0,0.9411764705882353,0.0,Q70,1.0
amuru,1,F0037,0.0,1.0,0.9285714285714286,0.0,Q75,1.0
amuru,1,F0037,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,F0037,0.0,1.0,0.8571428571428571,0.0,Q85,1.0
amuru,1,F0037,0.0,1.0,0.8,0.0,Q90,1.0
amuru,1,G5163,0.0,1.0,0.9545454545454546,0.0,Q50,1.0
amuru,1,G5163,0.0,1.0,0.9523809523809523,0.0,Q55,1.0
amuru,1,G5163,0.0,1.0,0.9444444444444444,0.0,Q60,1.0
amuru,1,G5163,0.0,1.0,0.9375,0.0,Q65,1.0
amuru,1,G5163,0.0,1.0,0.9230769230769231,0.0,Q70,1.0
amuru,1,G5163,0.0,1.0,0.9090909090909091,0.0,Q75,1.0
amuru,1,G5163,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,G5163,0.0,1.0,0.875,0.0,Q85,1.0
amuru,1,G5163,0.0,1.0,0.8333333333333334,0.0,Q90,1.0
amuru,1,F0037,0.0,1.0,0.967741935483871,0.0,Q50,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q55,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q60,1.0
amuru,1,F0037,0.0,1.0,0.9545454545454546,0.0,Q65,1.0
amuru,1,F0037,0.0,1.0,0.9411764705882353,0.0,Q70,1.0
amuru,1,F0037,0.0,1.0,0.9285714285714286,0.0,Q75,1.0
amuru,1,F0037,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,F0037,0.0,1.0,0.8571428571428571,0.0,Q85,1.0
amuru,1,F0037,0.0,1.0,0.8,0.0,Q90,1.0
amuru,1,G5163,0.0,1.0,0.9545454545454546,0.0,Q50,1.0
amuru,1,G5163,0.0,1.0,0.9523809523809523,0.0,Q55,1.0
amuru,1,G5163,0.0,1.0,0.9444444444444444,0.0,Q60,1.0
amuru,1,G5163,0.0,1.0,0.9375,0.0,Q65,1.0
amuru,1,G5163,0.0,1.0,0.9230769230769231,0.0,Q70,1.0
amuru,1,G5163,0.0,1.0,0.9090909090909091,0.0,Q75,1.0
amuru,1,G5163,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,G5163,0.0,1.0,0.875,0.0,Q85,1.0
amuru,1,G5163,0.0,1.0,0.8333333333333334,0.0,Q90,1.0
amuru,1,F0037,0.0,1.0,0.967741935483871,0.0,Q50,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q55,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q60,1.0
amuru,1,F0037,0.0,1.0,0.9545454545454546,0.0,Q65,1.0
amuru,1,F0037,0.0,1.0,0.9411764705882353,0.0,Q70,1.0
amuru,1,F0037,0.0,1.0,0.9285714285714286,0.0,Q75,1.0
amuru,1,F0037,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,F0037,0.0,1.0,0.8571428571428571,0.0,Q85,1.0
amuru,1,F0037,0.0,1.0,0.8,0.0,Q90,1.0
amuru,1,G5163,0.0,1.0,0.9545454545454546,0.0,Q50,1.0
amuru,1,G5163,0.0,1.0,0.9523809523809523,0.0,Q55,1.0
amuru,1,G5163,0.0,1.0,0.9444444444444444,0.0,Q60,1.0
amuru,1,G5163,0.0,1.0,0.9375,0.0,Q65,1.0
amuru,1,G5163,0.0,1.0,0.9230769230769231,0.0,Q70,1.0
amuru,1,G5163,0.0,1.0,0.9090909090909091,0.0,Q75,1.0
amuru,1,G5163,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,G5163,0.0,1.0,0.875,0.0,Q85,1.0
amuru,1,G5163,0.0,1.0,0.8333333333333334,0.0,Q90,1.0
amuru,1,F0037,0.0,1.0,0.967741935483871,0.0,Q50,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q55,1.0
amuru,1,F0037,0.0,1.0,0.9629629629629629,0.0,Q60,1.0
amuru,1,F0037,0.0,1.0,0.9545454545454546,0.0,Q65,1.0
amuru,1,F0037,0.0,1.0,0.9411764705882353,0.0,Q70,1.0
amuru,1,F0037,0.0,1.0,0.9285714285714286,0.0,Q75,1.0
amuru,1,F0037,0.0,1.0,0.9,0.0,Q80,1.0
amuru,1,F0037,0.0,1.0,0.8571428571428571,0.0,Q85,1.0
amuru,1,F0037,0.0,1.0,0.8,0.0,Q90,1.0
amuru,1,G5163,0.0,1.0,0.9545454545454546,0.0,Q50,1.0
amuru,1,G5163,0.0,1.0,0.9523809523809523,0.0,Q55,1.0
