,Station,Region,Province,station_name
0,Chembeferry,Mansa,Luapula,chembeferry
1,Chembeferry,Milenge,Luapula,chembeferry
2,Chembeferry,Mwense,Luapula,chembeferry
3,ChungaRanch,Chama,Muchinga,chungaranch
4,ChungaRanch,Chinsali,Muchinga,chungaranch
5,ChungaRanch,Isoka,Muchinga,chungaranch
6,ChungaRanch,Mafinga,Muchinga,chungaranch
7,ChungaRanch,Nakonde,Muchinga,chungaranch
8,ChungaRanch,Mungwi,Northern,chungaranch
9,ItzehiTezhi,Mumbwa,Central,itezhitezhi
10,ItzehiTezhi,Itezhi-Tezhi,Southern,itezhitezhi
11,ItzehiTezhi,Mazabuka,Southern,itezhitezhi
12,ItzehiTezhi,Monze,Southern,itezhitezhi
13,ItzehiTezhi,Namwala,Southern,itezhitezhi
14,kabompoPontoon_st_districts,Kabompo,Northwestern,kabompopontoon
15,kabompoPontoon_st_districts,Zambezi,Northwestern,kabompopontoon
16,kabompoPontoon_st_districts,Kalabo,Western,kabompopontoon
17,kabompoPontoon_st_districts,Lukulu,Western,kabompopontoon
18,kabompoPontoon_st_districts,Mongu,Western,kabompopontoon
19,kabompoPontoon_st_districts,Senanga,Western,kabompopontoon
20,kabompoPontoon_st_districts,Shang'ombo,Western,kabompopontoon
21,Kafironda,Kapiri Mposhi,Central,kafironda
22,Kafironda,Mpongwe,Copperbelt,kafironda
23,KafueHookBridge,Chibombo,Central,kafuehookbridge
24,KafueHookBridge,Mumbwa,Central,kafuehookbridge
25,KafueHookBridge,Itezhi-Tezhi,Southern,kafuehookbridge
26,kalabo_st_districts,Kalabo,Western,kalabo
27,kalabo_st_districts,Mongu,Western,kalabo
28,kalabo_st_districts,Senanga,Western,kalabo
29,kalabo_st_districts,Sesheke,Western,kalabo
30,kalabo_st_districts,Shang'ombo,Western,kalabo
31,kasaka_st_districts,Kafue,Lusaka,kasaka
32,kasaka_st_districts,Mazabuka,Southern,kasaka
33,kasaka_st_districts,Siavonga,Southern,kasaka
34,katimaMulilo_st_districts,Kalomo,Southern,katimamulilo
35,katimaMulilo_st_districts,Kazungula,Southern,katimamulilo
36,katimaMulilo_st_districts,Livingstone,Southern,katimamulilo
37,katimaMulilo_st_districts,Sinazongwe,Southern,katimamulilo
38,katimaMulilo_st_districts,Sesheke,Western,katimamulilo
39,kelongwaSchool_st_districts,Chibombo,Central,kelongwaschool
40,kelongwaSchool_st_districts,Mumbwa,Central,kelongwaschool
41,kelongwaSchool_st_districts,Kasempa,Northwestern,kelongwaschool
42,LuangwaRoadBridge_st_districts,Nyimba,Eastern,luangwaroadbridge
43,LuangwaRoadBridge_st_districts,Petauke,Eastern,luangwaroadbridge
44,LuangwaRoadBridge_st_districts,Chongwe,Lusaka,luangwaroadbridge
45,LuangwaRoadBridge_st_districts,Luangwa,Lusaka,luangwaroadbridge
46,lubungu_st_districts,Chibombo,Central,lubungu
47,lubungu_st_districts,Mumbwa,Central,lubungu
48,lubungu_st_districts,Itezhi-Tezhi,Southern,lubungu
49,lukulu_st_districts,Kalabo,Western,lukulu
50,lukulu_st_districts,Lukulu,Western,lukulu
51,lukulu_st_districts,Mongu,Western,lukulu
52,lukulu_st_districts,Senanga,Western,lukulu
53,lukulu_st_districts,Shang'ombo,Western,lukulu
54,MachiyaFerry_st_districts,Kapiri Mposhi,Central,machiyaferry
55,MachiyaFerry_st_districts,Mpongwe,Copperbel,machiyaferry
56,MBesumaPontoon_st_districts,Chama,Muchinga,mbesumapontoon
57,MBesumaPontoon_st_districts,Chinsali,Muchinga,mbesumapontoon
58,MBesumaPontoon_st_districts,Isoka,Muchinga,mbesumapontoon
59,MBesumaPontoon_st_districts,Mafinga,Muchinga,mbesumapontoon
60,MBesumaPontoon_st_districts,Nakonde,Muchinga,mbesumapontoon
61,MBesumaPontoon_st_districts,Mungwi,Northern,mbesumapontoon
62,Mpatamato_st_districts,Kapiri Mposhi,Central,mpatamato
63,Mpatamato_st_districts,Luanshya,Copperbelt,mpatamato
64,Mpatamato_st_districts,Lufwanyama,Copperbelt,mpatamato
65,Mpatamato_st_districts,Masaiti,Copperbelt,mpatamato
66,Mpatamato_st_districts,Mpongwe,Copperbelt,mpatamato
67,Ndubeni,Kapiri Mposhi,Central,ndubeni
68,Ndubeni,Lufwanyama,Copperbelt,ndubeni
69,Ndubeni,Mpongwe,Copperbelt,ndubeni
70,NearChibote_st_districts,Chienge (Chiengi),Luapula,nearchibote
71,NearChibote_st_districts,Kawambwa,Luapula,nearchibote
72,NearChibote_st_districts,Nchelenge,Luapula,nearchibote
73,NearChibote_st_districts,Kaputa,Northern,nearchibote
74,NearChibote_st_districts,Mporokoso,Northern,nearchibote
75,NgwerereConfluence_st_districts,Chongwe,Lusaka,ngwerereconfluence
76,NgwerereConfluence_st_districts,Kafue,Lusaka,ngwerereconfluence
