station;County
G5170;Turkana
KEGVS7;Turkana
KEGVS4;Turkana
KEGVS8;Turkana
KEGVS5;Turkana
KEGVS6;Turkana
G5173;Marsabit
KEGVS3;Marsabit
KEGVS2;Marsabit
G5299;Embu
KEGVS21;Isiolo
KEGVS3;Isiolo
G5208;Isiolo
KEGVS2;Isiolo
KEGVS3;Samburu
G5305;Tana River
G5326;Tana River
G5210;Tana River
KEGVS12;Tana River
KEGVS11,Kilifi
KEGVS10,Kilifi
G5152;Mandera
G5118;Mandera
KEGVS16;Mandera
KEGVS1;Mandera
G5332;Taita Tave
G5118;Taita Tave
KEGVS15;Wajir
KEGVS2;Wajir
KEGVS13;Garissa
KEGVS14;Garissa
G5208;Garissa
KEGVS13;Lamu
G5118;Kitui
KEGVS23;Kitui
KEGVS9;Kitui
G5142;Machakos
KEGVS23;Makueni
G5142,Kiambu
G5450;Murang'a
G5218;Murang'a
G5218,Nyeri
G5015,Laikipia
G5036,Laikipia
G5041,Laikipia
G5224,Tharaka-Ni
G5147,Narok
KEGVS17,Narok
G5159,Narok
G5216;Migori
KEGVS18;Migori
G5198;Homa Bay
G5161;Homa Bay
G5125;Bomet
KEGVS19;Kericho
G5179;Siaya
G5195;Busia
G5230;Busia
G5194;Kakamega
KEGVS20;Kakamega
G5194;Bungoma
KEGVS20;Bungoma
G5171;Trans Nzoi
G5197;Elgeyo-Mar
G5092;Baringo
KEGVS4;Baringo
KEGVS5;West Pokot
KEGVS6;West Pokot


