ID,dam_name,Country,full_supply_capacity,lat,lon
1,Kariba,ZWE,64800.00,-16.5225,28.7789
2,Tugwi Mukosi,ZWE,1802.6,-20.434,30.5411
3,Mutirikwi,ZWE,1378.08,-20.2667,31.0281
4,Manyame,ZWE,480.23,-17.4817,30.3656
5,Osborne,ZWE,401.64,-18.4559,32.2908
6,Mazvikadei,ZWE,343.815,-17.2206,30.3867
7,Manyuchi,ZWE,309.06,-21.0733,30.3850
8,Manjirenji,ZWE,274.17,-20.6272,31.6092
9,Sebakwe,ZWE,265.733,-19.0186,30.2217
10,Chivero,ZWE,247.18,-17.8842,30.7708
11,Insiza,ZWE,173.49,-20.3317,29.2549
12,Zhovhe,ZWE,130.46,-21.8435,29.7138
13,Siya,ZWE,105.45,-20.1639,31.3444
14,Inyankuni,ZWE,74.52,-20.3675,29.1214
15,Arcadia,ZWE,55.29,-17.0063,31.0129
16,Mtshabezi,ZWE,51.99,-20.5718,28.8415
17,Upper Ncema,ZWE,43.57,-20.3036,28.9867
18,Mzingwane,ZWE,42.17,-20.3933,28.9742
19,Mazowe,ZWE,39.357,-17.5219,30.9886
20,Bubi-Lupane,ZWE,39.09,-18.9920,28.4180
21,Mwenje,ZWE,36.11,-17.2600,31.0336
22,Masembura,ZWE,25.77,-17.1088,31.0213
23,Silalabuhwa,ZWE,23.22,-20.7781,29.3631
24,Lower Ncema,ZWE,14.87,-20.3636,29.0158
25,Harava,ZWE,9.026,-17.9905,31.1066
26,Upper Insiza,ZWE,7.81,-20.0015,29.19698
27,Seke,ZWE,3.38,-17.59,31.04
