source,Area,year,month,Date,people_affected,people_dead,houses_affected,flood
Desinventar 26/8/2019,Bamako,2012,8,19/08/2012,12,4,1,1
Desinventar 26/8/2019,Bamako,2010,8,27/08/2010,11,1,1,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,9,0,13,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,8,0,25,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,7,0,21,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,7,0,0,1
Desinventar 26/8/2019,Bamako,2007,4,04/04/2007,6,0,0,1
Desinventar 26/8/2019,Bamako,2010,9,18/09/2010,6,0,4,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,5,0,27,1
Desinventar 26/8/2019,Bamako,2002,8,08/08/2002,5,1,0,1
Desinventar 26/8/2019,Bamako,2013,9,15/09/2013,4,1,1,1
Desinventar 26/8/2019,Bamako,2010,9,26/09/2010,4,0,0,1
Desinventar 26/8/2019,Bamako,2010,11,18/11/2010,4,0,0,1
Desinventar 26/8/2019,Bamako,2007,2,26/02/2007,4,0,0,1
Desinventar 26/8/2019,Bamako,2007,2,26/02/2007,4,0,0,1
Desinventar 26/8/2019,Bamako,2007,1,22/01/2007,4,0,0,1
Desinventar 26/8/2019,Bamako,2007,3,31/03/2007,3,0,0,1
Desinventar 26/8/2019,Bamako,2010,8,27/08/2010,3,0,1,1
Desinventar 26/8/2019,Bamako,1999,8,21/08/1999,3,2,5,1
Desinventar 26/8/2019,Bamako,1954,8,25/08/1954,2,0,11,1
Desinventar 26/8/2019,Bamako,2010,11,09/11/2010,2,0,0,1
Desinventar 26/8/2019,Bamako,2007,1,19/01/2007,2,0,0,1
Desinventar 26/8/2019,Bamako,2010,9,03/09/2010,2,0,372,1
Desinventar 26/8/2019,Bamako,2010,8,04/08/2010,1,1,1,1
Desinventar 26/8/2019,Bamako,1999,8,10/08/1999,0,1,10,1
Desinventar 26/8/2019,Bamako,1999,8,11/08/1999,0,0,0,1
Desinventar 26/8/2019,Bamako,2014,8,06/08/2014,0,0,42,1
Desinventar 26/8/2019,Bamako,2014,8,06/08/2014,0,0,14,1
Desinventar 26/8/2019,Bamako,2014,6,02/06/2014,0,0,27,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,2,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2013,9,13/09/2013,0,0,0,1
Desinventar 26/8/2019,Bamako,2003,8,07/08/2003,0,1,0,1
Desinventar 26/8/2019,Bamako,2003,7,17/07/2003,0,0,95,1
Desinventar 26/8/2019,Bamako,1997,5,05/05/1997,0,0,0,1
Desinventar 26/8/2019,Bamako,1998,9,22/09/1998,0,0,0,1
Desinventar 26/8/2019,Bamako,2010,9,19/09/2010,0,0,31,1
Desinventar 26/8/2019,Bamako,1999,8,21/08/1999,0,0,5,1
Desinventar 26/8/2019,Bamako,1999,8,21/08/1999,0,0,1,1
Desinventar 26/8/2019,GAO,2010,8,01/08/2010,1931,0,259,1
Desinventar 26/8/2019,MENAKA,2012,8,07/08/2012,700,0,150,1
Desinventar 26/8/2019,ANSONGO,2006,7,29/07/2006,415,0,22,1
Desinventar 26/8/2019,MENAKA,2012,8,07/08/2012,350,0,30,1
Desinventar 26/8/2019,ANSONGO,2010,8,28/08/2010,175,0,0,1
Desinventar 26/8/2019,GAO,2009,9,02/09/2009,158,2,12,1
Desinventar 26/8/2019,GAO,2008,8,18/08/2008,153,0,6,1
Desinventar 26/8/2019,ANSONGO,2010,8,28/08/2010,80,0,0,1
Desinventar 26/8/2019,ANSONGO,2009,6,04/06/2009,58,3,3,1
