lon,lat,branchName
40.816648,-2.193886108,KRCS HINDI BRANCH
40.69717422,-2.386691796,KRCS MPEKETONI BRANCH
34.48012199,-1.073264734,KRCS Migori
34.47297354,-1.069503756,KRCS Migori Tree Nursery
36.68948206,-1.280113105,KRCS Nairobi KLB Field Office
36.82701577,-1.260668739,KRCS Nairobi Parklands Field Office( City Park)
36.83047533,-1.28730371,KRCS Nairobi East Field Office
36.81843161,-1.287150865,KRCS Nairobi Branch (Nyayo Hse)
35.72080151,-0.239111728,KRCS Molo
36.06465724,-0.294365827,KRCS Nakuru
36.43695329,-0.723249252,KRCS Naivasha
35.26498301,0.46182542,Kenya Red Cross Uasin Gishu Branch & NorthRift Region Office
34.28972159,0.059673103,KRCS Siaya County Branch
35.013925,1.017536661,KRCS Trans-Nzoia Branch
35.21415385,0.981111884,KRCS CHERANGANY
34.74991056,0.282061098,KRCS Kakamega County Branch Offices
34.75270318,0.278909942,KRCS Kakamega Operation Office at Kakamega Fire station
40.0268591,-1.503049466,Kenya Red Cross Society Tana River Hola
40.02675618,-1.502627517,Kenya Red Cross Society Hola Warehouses
40.01613762,-1.500298009,Krcs Branch Warehouses
40.11252173,-2.269997847,Kenya Red Cross Society Tana Delta
40.09910826,-2.295104803,Krcs Emergency Operation Centre Garsen
36.9608277,-0.44202198,Boma hotel Nyeri
35.74539512,0.492060776,KRCS Kabarnet
35.98119572,0.473373806,KRCS Marigat
34.55240509,0.5947861,KRCS Bungoma
35.51132111,0.667893814,KRCS Elgeiyo Marakwet
40.11439121,-3.198434069,KRCS_kilifi_Branch
34.78090313,-0.681783518,KRCS kisii
34.7726574,-0.090877085,KRCS Kisumu
39.54717931,-4.318024538,KRCS Kwale
37.64943554,0.045244558,KRCS Meru
35.11481543,0.202166106,KRCS Nandi
35.58788826,3.119136841,Turkana branch
35.34462698,-0.781827218,KRCS Bomet
37.26158094,-1.516903832,KRCS Machakos
36.37515569,-0.272900813,KRCS Nyandarua
38.55797611,-3.390611425,Taita taveta Branch
37.07877189,-1.036410389,KRCS Kiambu
37.99246943,2.330424136,KRCS Marsabit
35.8676981,-1.087621798,KRCS Narok
34.72422817,0.079743996,KRCS Vihiga
35.11838584,1.241204238,KRCS West Pokot (Current Branch Office)
37.28036265,-0.498625706,krcs kirinyaga branch
39.65597688,-0.440305034,KRCS Garissa
37.57290075,0.329832975,KRCS Isiolo
37.62256589,-1.788218009,KRCS Makueni
34.11189639,0.445108803,KRCS Branch Busia County
39.66546172,-4.061073582,KRCS Mombasa
37.06884411,0.015673375,KRCS Laikipia
41.86312781,3.944108216,KRCS Mandera
40.05026507,1.7377162,KRCS Wajir
37.45317425,-0.533309873,KRCS Embu office
34.47189213,-0.578448125,KRCS Homabay
38.0163906,-1.363297306,KRCS Kitui Office
37.16901504,-0.721226004,KRCS Muranga Office
36.69290394,1.094316528,KRCS Samburu
37.64522145,-0.33260399,KRCS Tharaka Nithi
36.78125195,-1.851704824,KRCS Kajiado
35.28499991,-0.368545193,KRCS kericho
34.93349642,-0.559249562,Nyamira office
