lon,lat,fid,name,description,type,Administrative region,Date of installation
33.5466218,-11.4740651,18357,Hlavani Nyirenda borehole ,18 metres from Melayina tree ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",11/7/2007
33.4422726,-12.0773976,6162,Mijere borehole,1km form etchiyeni primary,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",8/30/1999
33.4295296,-12.0837352,24937,Chambazi nyirongo borehole,1km from etchiyeni  primary ,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",2/18/1996
33.8979736,-11.4591219,7524,Mr. Alick Lungu borehole ,1km north west of Chipapa Primary school ,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",10/17/2007
33.7148233,-10.9680437,32789,Kajiwunde borehole ,2 kilometres from mwachilimba community ground ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",3/4/2000
33.4516664,-11.4260232,29083,Mzambazi Community Hospital  borehole ,2 metres from Mahule  road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/13/2008
33.4158858,-11.4480295,26181,Chamunya phiri borehole,2 mitres from the road to euthini secondary school,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",8/12/2017
33.4376808,-11.3404169,18783,Chinombo Jere borehole ,2.8 kilometres from Kavisopo School ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",4/10/1996
33.5008735,-11.4019591,2559,Chimango Primary school borehole,20 meters from Chimango Primary school ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/17/1994
33.5032104,-11.4612465,29297,Mambongo Nyirenda borehole ,20 meters from mango tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",10/16/1998
33.5744969,-11.5201554,4144,Kamugowo Ngwira borehole ,20 meters from mpapa tree ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",3/3/2017
33.49987,-11.4484889,3378,Zowe primary school borehole ,20 meters from mpapadende tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",5/14/1993
33.4062754,-11.657724,35138,Chibula Nkhoma Village Borehole,20 metres a way from Road to Kamchocho Trading,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/7/1994
33.4486768,-11.6786586,31923,Bulala Health Centre Borehole,20 metres away from Bulala Health Centre,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",3/1/1993
33.4798038,-11.5616907,16188,Chaboli FP School Borehole 2,20 metres away from Chaboli FP School,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",3/30/2001
33.486979,-11.6135739,16181,Kabowozga FP School Borehole,20 metres away from Kabowozga FP School,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/23/1999
33.4033425,-11.6465084,18980,Thale FP School Borehole 2,20 metres away from road to Euthin,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/13/1998
33.4187156,-11.6659291,11549,Kamchocho Village Borehole 1,20 metres away on road to Bulala,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/14/1988
33.4735397,-11.5972422,16185,Kachigoga Jere Village Borehole,20 metres away on road to Kamwala,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",5/26/2006
33.4432402,-11.6795853,11553,Chidyake Gama Village Borehole,20 metres from Bulala Agriculture Offices,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",1/5/1999
33.3851032,-11.7251863,20510,Chiseng'ezi FP School Borehole,20 metres from Chiseng'ezi road,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/18/2001
33.4112811,-11.6605842,35157,Kamchocho Admarc Borehole,20 metres from Kamchocho Admarc,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/15/1993
33.4196163,-11.67094,32059,Kamchocho Village Borehole 2,20 metres from Road to Khonje Village,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",2/12/2001
33.5366019,-11.8757939,11598,Mphongo primary school borehole ,200 m away to the east of Mphongo primary school ,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",1/30/2000
33.9428985,-11.5353929,16966,zimbabwe borehole ,200 meters from Nkhata bay to Mzimba  tarmark road ,Borehole or tubewell,"SC Kampingo Sibande, Mzimba, Malawi",4/8/1997
33.8264538,-11.1956536,199,Chigezelo Chibaka borehole ,200m behind roman Catholic Church ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",8/1/2019
33.3746174,-11.5689597,23765,Luji phiri borehole,200m from St benard school,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/13/2007
33.5990374,-11.9399686,31869,Zafaniyah Mgemezulu,200m from zafaniya Mgemezulu house towards Kazomba behind an anthill to the left,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",1/1/1998
33.9513562,-10.9327702,17459,Kabaza borehole ,20m away from the road to mhuju ,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",3/22/2015
33.5362885,-11.467655,34991,Chitandika Jumbo borehole,25 metres from mango tree ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/5/2007
33.5331344,-11.4662313,12463,Mchingasanya Primary school borehole,25 metres from Melayina tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",10/23/1998
33.5505296,-11.4966618,19921,Mtende Health Centre borehole ,25 metres from mpotolo tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",7/21/2003
33.4914943,-11.4331108,450,Kamunthambani Mtonga borehole ,25 metres from muchemani tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/15/2007
33.5527737,-11.5039909,15483,Gawuti Njorwa borehole ,25 metres from muwula tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/10/2006
33.4481194,-11.4219749,961,Mzambazi Community Day Secondary School borehole ,25 metres from Mzuzu road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/22/2007
33.468511,-11.4552492,1583,Kavalo Nyirental borehole,25 metres from Orange tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",11/3/2007
33.4494462,-11.4261307,21071,Mzambazi primary school borehole ,25 metres from sender erase tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",11/4/2019
33.5000361,-11.4496766,22100,United  Methodist Church  borehole ,25 metres from Sungwi tree ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",7/23/2007
33.4747424,-11.4580754,1833,Katawazika Munthali borehole,28 metres from Melayina tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",10/22/1999
33.9211449,-10.9848015,31753,Khwalala,2km away from bera,Borehole or tubewell,"STA Chisovya, Rumphi, Malawi",6/2/2017
33.7832013,-10.9408505,13861,Mzongano borehole ,3 kilometres away from lupalamizi primary school borehole ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",7/21/2004
33.7742294,-10.9305942,3274,Vwalawuheni borehole ,3 kilometres away from mjuma but near lupalamizi primary school ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",7/26/1994
