lon,lat,fid,name,description,type,Administrative region,Date of installation
33.544008,-11.4066067,29971,Kayidoke borehole 2,6 metres from  Kafukule road,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",4/26/1993
33.5477352,-11.4782285,5194,Kawuluka chimalilo borehole,6 metres from mango tree ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/12/2007
33.5477882,-11.4936648,4879,Mtende primary school borehole ,6 metres from Melayina tree ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/12/2002
33.5621891,-11.5470701,35351,Azindembera Banda borehole ,6 metres from Mtende road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",8/20/1998
33.5364273,-11.8943578,33470,Tcheza Shaba borehole ,600m from Chotha football ground to Ngoli school ,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",11/25/2007
33.4837163,-11.5910777,7714,M'bama Chirwa Village Borehole,65 metres away from Mwitho River,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",2/11/1998
33.4711463,-11.3309364,18790,Chibinthula Chawinga borehole ,680 fromantic Kapando trading,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/18/1994
33.9271709,-11.3979006,25947,Moffat Kumwenda village borehole ,700m West of Msiki New Apostolic church on M1 road ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",12/9/2012
34.073083,-11.0054899,18472,Mphompha health centre borehole ,70m from mphompha health centre ,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",7/15/2010
33.5636576,-11.4112813,17617,Gankha Chirwa borehole ,8 metres from  melayina tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",5/30/2007
33.4461222,-11.4250185,26858,Mzambazi trading borehole ,8 metres from Chikuyu tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",12/22/2017
33.5343524,-11.4525897,2980,Lambalamba Chinula borehole ,8 metres from Kachere tree ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",7/16/2007
33.4820372,-11.4335113,21189,Mseza LEA Primary school borehole ,8 metres from Kamphoni tree ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",9/28/2010
33.4866551,-11.4339017,22102,Thembawukali Mtika borehole ,8 metres from mango tree ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/13/2007
33.5309354,-11.4133504,19870,Chidulika Chirambo borehole ,8 metres from Mkwangwali road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/3/2007
33.4474768,-11.4277313,26861,Chitowo Kumwenda borehole ,8 metres from msangusangu tree,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",6/4/2018
33.721145,-11.0509386,4229,Munkhowo borehole ,800 meters before Betele full primary school ,Borehole or tubewell,"TA Chikulamayembe, Rumphi, Malawi",1/1/2001
33.4603205,-11.3289358,14928, Yakobe Ndezu  Nyirenda borehole,9 metres from Kapando road ,Borehole or tubewell,"TA Chindi, Mzimba, Malawi",5/27/2007
33.6240499,-12.1146281,23714,Mapanjira FP School water point,A few metres from Rukulu river,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",6/21/2007
33.816531,-11.3229287,200,Chaleka FP School borehole ,A water point at Chaleka School ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",5/4/2014
33.8832074,-11.3265377,4649,Andrea Shonga village borehole ,A water point in Andrea Shonga village ,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",2/16/2014
33.4087457,-12.1458302,13179,Batulumeyo Tembo village borehole ,A water point in Batulumeyo Tembo village ,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",2/18/2013
33.9241211,-11.3094852,21286,Chabwandawuka Mbano village borehole,A water point in Chabwandawuka village,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",11/27/2012
33.9389506,-11.3170149,1731,Chikhazika Village Borehole,A water point in Chikhazika Ngwira village,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",12/12/2012
33.5430218,-12.113022,22292,Bola Thole village borehole ,A water point in GVH Bola Thole village ,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",11/11/2011
33.9139193,-11.3372714,13220,Kachipumpha Mhone village borehole ,A water point in Kachipumpha Mhone done in 2007,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",8/31/2007
33.3851835,-12.1693229,13174,Kamzingeni Banda borehole ,A water point in Kamzingeni village,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",2/17/2013
33.42168903,-12.12236191,12564,Kasiyagoli Nkhoma Village Borehole,A water point in Kasiyagoli village ,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",12/15/2011
33.5235765,-12.2019382,34843,Mandiza Mkhalipi ,A water point in Mandiza Mkhalipi village,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",12/19/2012
33.8161421,-11.4422986,5185,Msolomoka Moyo Village Borehole,A water point in Msolomoka Village,Borehole or tubewell,"TA Mtwalo, Mzimba, Malawi",12/9/2014
33.564116,-12.0784378,13189,Pitara Phiri village borehole ,A water point in Pitara Phiri village ,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",2/15/2013
33.3967579,-12.0986566,8036,Samuel Ndolo Village borehole,A water point in Samuel Ndolo Village ,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",12/30/2010
33.50530795,-12.09017026,20958,William Muyaba Village Borehole,A water point in William Muyaba village ,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",12/12/2012
33.50083023,-12.09748085,20954,Yvanena Lipunga Village Borehole,A water point in Yvanena,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",2/14/2013
33.4371682,-12.1395311,20962,Zongonongo Nyirongo Village Borehole,A water point in Zongonongo Nyirongo Village,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",12/8/2009
34.1076206,-10.8254117,19226,Waluchero borehole,About 100 meters from chief's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",2/7/2012
34.0123741,-10.9112925,30230,Senyera borehole,About 100 meters from the chief's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",6/4/2008
33.4317677,-12.2051514,8182,Malepa Manda borehole ,About 100 metres from kamphoni CCAP church,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",10/12/1989
33.4929779,-12.2414549,30758,Maliba soko village water point,About 100 metres north of maliba village residence ,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",10/23/2010
33.4854281,-12.2587787,31851,Mphiripiri water point,About 10metres from jenda-Edingeni road,Borehole or tubewell,"TA Mzukuzuku, Mzimba, Malawi",3/14/2015
33.9949569,-10.9080175,7272,Mundango borehole,About 200 meters from the chief's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",1/1/2013
34.0046466,-10.9068612,31461,Thandala borehole,About 200 meters from the chief's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",4/22/2019
34.0318151,-10.9235842,33307,Sopela borehole,About 200 meters from the chief's compound ,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",6/26/2001
33.5060743,-12.2186133,30873,Chitembeya Nkhata water point ,About 200metres from chitembeya residence ,Borehole or tubewell,"TA Mzikubola, Mzimba, Malawi",7/10/1998
33.5560912,-11.9167585,31881,Peter Ndawandawa,About 250m from Peter Ndawandawa turn off to Prison road,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",1/1/1993
34.0300574,-10.912942,181,Vitanda borehole,About 300 meters from the chief's compound,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",1/6/2002
33.9865985,-10.9404588,2454,Fungaphembe borehole,About 300 meters from the main road,Borehole or tubewell,"SC Mwankhunikira, Rumphi, Malawi",1/1/1997
33.5616467,-11.9140724,6022,Peter Ndawandawa 1,About 350m from Peter Ndawandawa grain bank to Prison road  you find a carvat turn to your left,Borehole or tubewell,"TA M'Mbelwa, Mzimba, Malawi",1/1/1998
