,dis
1997-01-02,5.0065994
1997-01-05,4.517524
1997-01-09,4.9600844
1997-01-12,7.2718735
1997-01-16,4.760709
1997-01-19,6.2205453
1997-01-23,5.266261
1997-01-26,3.8826408
1997-01-30,3.3443186
1997-02-02,2.9792845
1997-02-06,2.6810665
1997-02-09,2.5439568
1997-02-13,2.4194202
1997-02-16,2.349779
1997-02-20,2.2760606
1997-02-23,2.2350454
1997-02-27,2.1838853
1997-03-02,2.401881
1997-03-06,2.6464171
1997-03-09,2.4106045
1997-03-13,2.3506396
1997-03-16,2.2952442
1997-03-20,2.4579456
1997-03-23,2.3974795
1997-03-27,3.7428093
1997-03-30,12.755166
1997-04-03,18.068188
1997-04-06,24.010765
1997-04-10,19.469368
1997-04-13,25.022234
1997-04-17,12.0566225
1997-04-20,11.83059
1997-04-24,43.670666
1997-04-27,30.158228
1997-05-01,31.060572
1997-05-04,15.400408
1997-05-08,13.687515
1997-05-11,14.221086
1997-05-15,25.786283
1997-05-18,35.340065
1997-05-22,13.972625
1997-05-25,10.942888
1997-05-29,8.9476385
1997-06-01,8.012227
1997-06-05,6.959736
1997-06-08,6.341626
1997-06-12,5.5004086
1997-06-15,4.824029
1997-06-19,10.390661
1997-06-22,8.066007
1997-06-26,3.9878695
1997-06-29,2.981753
1997-07-03,11.643931
1997-07-06,7.8378353
1997-07-10,4.0904703
1997-07-13,3.252508
1997-07-17,2.7471573
1997-07-20,2.5454102
1997-07-24,2.4296591
1997-07-27,2.9730637
1997-07-31,2.6468756
1997-08-03,2.4613729
1997-08-07,3.12763
1997-08-10,3.1559935
1997-08-14,2.7045097
1997-08-17,2.363643
1997-08-21,2.1912198
1997-08-24,2.1408541
1997-08-28,2.0951896
1997-08-31,2.312037
1997-09-04,2.2903287
1997-09-07,2.1484485
1997-09-11,2.1032608
1997-09-14,2.0937867
1997-09-18,2.0119433
1997-09-21,2.097399
1997-09-25,2.0715873
1997-09-28,2.04179
1997-10-02,2.1127973
1997-10-05,2.2720413
1997-10-09,2.9373481
1997-10-12,5.181775
1997-10-16,5.9922724
1997-10-19,11.061792
1997-10-23,11.616656
1997-10-26,7.3615947
1997-10-30,6.1323256
1997-11-02,9.234561
1997-11-06,7.1303153
1997-11-09,13.776523
1997-11-13,28.85333
1997-11-16,22.988455
1997-11-20,20.306807
1997-11-23,19.573221
1997-11-27,8.519559
1997-11-30,20.425703
1997-12-04,16.785145
1997-12-07,26.35852
1997-12-11,23.733824
1997-12-14,39.789253
1997-12-18,33.521534
1997-12-21,30.0806
1997-12-25,33.516964
1997-12-28,29.253244
1998-01-02,18.590105
1998-01-05,25.809183
1998-01-09,20.998158
1998-01-12,25.775137
1998-01-16,16.079834
1998-01-19,11.39702
1998-01-23,16.17087
1998-01-26,11.211266
1998-01-30,12.051649
1998-02-02,9.298619
1998-02-06,10.402398
1998-02-09,41.84085
1998-02-13,29.10207
1998-02-16,15.872199
1998-02-20,7.942194
1998-02-23,6.642801
1998-02-27,4.98716
1998-03-02,4.09454
1998-03-06,3.5606775
1998-03-09,4.79967
1998-03-13,4.9439754
1998-03-16,3.9169395
1998-03-20,4.368347
1998-03-23,4.239338
1998-03-27,28.636194
1998-03-30,9.579583
1998-04-03,6.8208647
1998-04-06,6.70292
1998-04-10,18.199593
1998-04-13,21.834923
1998-04-17,11.52383
1998-04-20,7.3940763
1998-04-24,10.0810995
1998-04-27,16.024462
1998-05-01,6.2101364
1998-05-04,13.668325
1998-05-08,21.014332
1998-05-11,63.557724
1998-05-15,78.71703
1998-05-18,29.541475
1998-05-22,13.745066
1998-05-25,12.697891
1998-05-29,13.861362
1998-06-01,13.47237
1998-06-05,8.944173
1998-06-08,8.246373
1998-06-12,19.10353
1998-06-15,9.13518
1998-06-19,5.8611383
1998-06-22,5.138326
1998-06-26,3.8228714
1998-06-29,3.340326
1998-07-03,2.6030958
1998-07-06,2.4231787
1998-07-10,2.3244686
1998-07-13,2.2778118
1998-07-17,2.2289383
1998-07-20,2.2005951
1998-07-24,5.159893
1998-07-27,3.5811572
1998-07-31,2.5150557
1998-08-03,2.286458
1998-08-07,2.1521955
1998-08-10,2.0944715
1998-08-14,2.032199
1998-08-17,3.3348174
1998-08-21,6.131834
1998-08-24,3.6930451
1998-08-28,5.0216026
1998-08-31,3.7438855
1998-09-04,4.0188875
1998-09-07,3.2504041
1998-09-11,2.762233
1998-09-14,3.2156765
1998-09-18,2.8979788
1998-09-21,2.790311
1998-09-25,3.298392
1998-09-28,5.572002
1998-10-02,3.5911756
1998-10-05,3.5957065
1998-10-09,4.7538
1998-10-12,4.036474
1998-10-16,11.191112
1998-10-19,8.543466
1998-10-23,4.867488
1998-10-26,8.583654
1998-10-30,9.831611
1998-11-02,8.9676895
1998-11-06,5.4204836
1998-11-09,17.077703
1998-11-13,14.322758
1998-11-16,10.445623
1998-11-20,7.4811935
1998-11-23,7.720065
1998-11-27,3.8270915
1998-11-30,2.889052
1998-12-04,2.326351
1998-12-07,2.138287
1998-12-11,2.0988653
1998-12-14,1.9589978
1998-12-18,2.4395697
1998-12-21,8.146681
1998-12-25,3.9165738
1998-12-28,3.0658298
1999-01-02,1.9168025
1999-01-05,2.6800318
1999-01-09,3.4501853
1999-01-12,3.4874039
1999-01-16,25.461899
1999-01-19,29.525158
1999-01-23,13.756893
1999-01-26,7.1325684
1999-01-30,3.69921
1999-02-02,2.7491329
1999-02-06,2.1348286
1999-02-09,1.8644168
1999-02-13,1.6582174
1999-02-16,1.8305069
1999-02-20,1.751596
1999-02-23,1.596308
1999-02-27,1.6071658
1999-03-02,1.905091
1999-03-06,2.8983836
1999-03-09,6.9580994
1999-03-13,10.973457
1999-03-16,11.086829
1999-03-20,8.029861
1999-03-23,6.200429
1999-03-27,4.953068
1999-03-30,13.836128
1999-04-03,14.128971
1999-04-06,7.159213
1999-04-10,12.257886
1999-04-13,10.8042345
1999-04-17,4.1825714
1999-04-20,5.7917523
1999-04-24,4.9424405
1999-04-27,7.705426
1999-05-01,10.602577
1999-05-04,6.7981925
1999-05-08,11.388186
1999-05-11,4.9818697
1999-05-15,5.9347806
1999-05-18,8.638357
1999-05-22,3.4399061
1999-05-25,2.357258
1999-05-29,1.7279575
1999-06-01,1.5503355
1999-06-05,1.4085485
1999-06-08,1.3617263
1999-06-12,1.2923381
1999-06-15,1.2358176
1999-06-19,1.1865183
1999-06-22,1.1906881
1999-06-26,1.2112982
1999-06-29,1.1520312
1999-07-03,1.091341
1999-07-06,1.0621785
1999-07-10,1.0328652
1999-07-13,1.0152925
1999-07-17,0.9973359
1999-07-20,0.9871571
1999-07-24,0.9682217
1999-07-27,0.9506299
1999-07-31,0.9304971
1999-08-03,0.93137634
1999-08-07,7.6481037
1999-08-10,4.9369626
1999-08-14,4.0248895
1999-08-17,4.5708294
1999-08-21,2.3638644
1999-08-24,1.705766
1999-08-28,2.3888583
1999-08-31,9.987707
1999-09-04,18.363943
1999-09-07,6.3914075
1999-09-11,3.786381
1999-09-14,2.7962058
1999-09-18,3.146449
1999-09-21,2.2610667
1999-09-25,5.070696
1999-09-28,4.3074656
1999-10-02,11.800974
1999-10-05,7.77527
1999-10-09,12.724894
1999-10-12,26.936039
1999-10-16,15.057225
1999-10-19,8.047951
1999-10-23,5.47224
1999-10-26,4.4075327
1999-10-30,6.985928
1999-11-02,4.394778
1999-11-06,2.949781
1999-11-09,7.7144637
1999-11-13,13.119275
1999-11-16,18.644009
1999-11-20,29.647287
1999-11-23,15.191164
1999-11-27,17.190163
1999-11-30,14.071662
1999-12-04,11.830829
1999-12-07,11.738041
1999-12-11,14.506615
1999-12-14,13.3133955
1999-12-18,8.848681
1999-12-21,11.875469
1999-12-25,16.0039
1999-12-28,12.581863
2000-01-02,14.538287
2000-01-05,8.296381
2000-01-09,5.6925464
2000-01-12,4.406061
2000-01-16,3.4837096
2000-01-19,2.884216
2000-01-23,2.3685539
2000-01-26,2.317487
2000-01-30,1.9765933
2000-02-02,1.7266017
2000-02-06,1.5677761
2000-02-09,1.6332036
2000-02-13,1.8693281
2000-02-16,1.6416527
2000-02-20,1.5805434
2000-02-23,1.534971
2000-02-27,1.4781264
2000-03-02,1.4761789
2000-03-06,1.3946528
2000-03-09,1.6753916
2000-03-13,1.7106928
2000-03-16,2.0631359
2000-03-20,2.6350958
2000-03-23,2.0310018
2000-03-27,6.0344243
2000-03-30,5.911585
2000-04-03,6.833004
2000-04-06,8.964847
2000-04-10,13.382128
2000-04-13,6.8325834
2000-04-17,9.990691
2000-04-20,4.581938
2000-04-24,4.198521
2000-04-27,4.524148
2000-05-01,7.2612042
2000-05-04,3.5587435
2000-05-08,2.7809405
2000-05-11,3.0410774
2000-05-15,7.658191
2000-05-18,4.644146
2000-05-22,2.3824205
2000-05-25,1.7341528
2000-05-29,2.2792695
2000-06-01,2.0384426
2000-06-05,1.4927672
2000-06-08,1.4604523
2000-06-12,1.3591069
2000-06-15,1.2308807
2000-06-19,1.13671
2000-06-22,1.127007
2000-06-26,1.7706428
2000-06-29,2.5204716
2000-07-03,1.5615641
2000-07-06,1.2520454
2000-07-10,1.0923066
2000-07-13,1.0371948
2000-07-17,0.9935643
2000-07-20,0.9716077
2000-07-24,1.1194446
2000-07-27,1.2008681
2000-07-31,1.0694844
2000-08-03,1.0006375
2000-08-07,0.9504889
2000-08-10,0.9259245
2000-08-14,1.0888224
2000-08-17,3.9847806
2000-08-21,3.1764607
2000-08-24,2.0154607
2000-08-28,1.325725
2000-08-31,1.1459928
2000-09-04,0.9831678
2000-09-07,0.9159186
2000-09-11,1.6809474
2000-09-14,1.5766183
2000-09-18,2.0512433
2000-09-21,1.5800902
2000-09-25,5.835044
2000-09-28,5.342231
2000-10-02,5.8785114
2000-10-05,4.358154
2000-10-09,6.3580914
2000-10-12,6.2636456
2000-10-16,3.1299646
2000-10-19,4.827468
2000-10-23,9.517165
2000-10-26,6.247072
2000-10-30,3.4130015
2000-11-02,6.446671
2000-11-06,15.326219
2000-11-09,14.238758
2000-11-13,6.79151
2000-11-16,5.2687736
2000-11-20,3.6042256
2000-11-23,5.901317
2000-11-27,7.6739454
2000-11-30,6.1017523
2000-12-04,7.7474375
2000-12-07,6.769044
2000-12-11,11.499533
2000-12-14,5.741731
2000-12-18,3.5470412
2000-12-21,4.677902
2000-12-25,5.0537615
2000-12-28,4.167626
2001-01-02,2.6941571
2001-01-05,4.70002
2001-01-09,1.3072823
2001-01-12,1.0903771
2001-01-16,0.84343207
2001-01-19,1.3154862
2001-01-23,3.0645328
2001-01-26,1.8893883
2001-01-30,1.4141797
2001-02-02,1.0588603
2001-02-06,1.0359169
2001-02-09,0.8073585
2001-02-13,1.5773683
2001-02-16,3.4462194
2001-02-20,2.7893736
2001-02-23,3.9440665
2001-02-27,3.2690868
2001-03-02,1.6183987
2001-03-06,1.3476545
2001-03-09,1.2143916
2001-03-13,4.165457
2001-03-16,4.9261165
2001-03-20,4.336732
2001-03-23,4.156527
2001-03-27,10.226788
2001-03-30,11.110174
2001-04-03,11.880927
2001-04-06,6.2683406
2001-04-10,24.113106
2001-04-13,12.156555
2001-04-17,5.4755845
2001-04-20,4.378506
2001-04-24,13.352281
2001-04-27,9.435854
2001-05-01,12.741654
2001-05-04,10.816673
2001-05-08,16.758284
2001-05-11,7.7564507
2001-05-15,5.4479914
2001-05-18,5.9410505
2001-05-22,4.610506
2001-05-25,3.6671915
2001-05-29,3.6391246
2001-06-01,2.441751
2001-06-05,3.5467036
2001-06-08,4.4053984
2001-06-12,4.049085
2001-06-15,2.5077097
2001-06-19,1.4395682
2001-06-22,1.194702
2001-06-26,1.1249969
2001-06-29,1.0708895
2001-07-03,1.0713714
2001-07-06,1.0068728
2001-07-10,0.9462099
2001-07-13,0.9220088
2001-07-17,0.9226849
2001-07-20,1.1930202
2001-07-24,7.382212
2001-07-27,6.901017
2001-07-31,2.544613
2001-08-03,1.6201868
2001-08-07,1.1525351
2001-08-10,1.0913136
2001-08-14,4.2878556
2001-08-17,7.0805683
2001-08-21,4.902461
2001-08-24,2.4105847
2001-08-28,1.4248215
2001-08-31,1.1661185
2001-09-04,1.2036815
2001-09-07,2.542467
2001-09-11,2.1609344
2001-09-14,1.5823588
2001-09-18,5.6894646
2001-09-21,3.9242609
2001-09-25,5.6032915
2001-09-28,8.262058
2001-10-02,5.678896
2001-10-05,11.974835
2001-10-09,19.105589
2001-10-12,10.59286
2001-10-16,5.252395
2001-10-19,4.1766424
2001-10-23,3.387206
2001-10-26,4.9061847
2001-10-30,16.969551
2001-11-02,19.63486
2001-11-06,13.171751
2001-11-09,13.916948
2001-11-13,15.621336
2001-11-16,48.869648
2001-11-20,45.513386
2001-11-23,25.635801
2001-11-27,11.141689
2001-11-30,11.416589
2001-12-04,24.3849
2001-12-07,11.828628
2001-12-11,13.811467
2001-12-14,7.624564
2001-12-18,5.878364
2001-12-21,3.9229214
2001-12-25,2.9378161
