,dis
1999-01-26,0.68957305
1999-01-30,0.6245055
1999-02-02,0.50618756
1999-02-06,0.2536556
1999-02-09,0.13738604
1999-02-13,0.10317049
1999-02-16,0.055989202
1999-02-20,0.012522544
1999-02-23,0.012247037
1999-02-27,0.011649333
1999-03-02,0.0053979186
1999-03-06,3.8801543e-05
1999-03-09,4.0504947e-05
1999-03-13,0.000118406315
1999-03-16,0.059631526
1999-03-20,1.6797245
1999-03-23,1.4483595
1999-03-27,0.38875952
1999-03-30,0.07024975
1999-04-03,0.014425679
1999-04-06,0.0106452
1999-04-10,0.0021512788
1999-04-13,0.0008195792
1999-04-17,0.00029236166
1999-04-20,0.00022003871
1999-04-24,0.00014922899
1999-04-27,0.00016946976
1999-05-01,1.353771
1999-05-04,6.52875
1999-05-08,2.6027946
1999-05-11,0.77209026
1999-05-15,0.098582335
1999-05-18,0.016824486
1999-05-22,0.030357722
1999-05-25,0.00594023
1999-05-29,0.0023140102
1999-06-01,0.00867514
1999-06-05,0.10580519
1999-06-08,0.13122228
1999-06-12,5.307654
1999-06-15,4.077585
1999-06-19,0.6765945
1999-06-22,0.08293202
1999-06-26,0.31609154
1999-06-29,0.6490245
1999-07-03,0.3338694
1999-07-06,0.08382712
1999-07-10,0.00966364
1999-07-13,0.061114475
1999-07-17,2.3091776
1999-07-20,7.603509
1999-07-24,7.5333805
1999-07-27,9.845159
1999-07-31,4.59756
1999-08-03,1.4127799
1999-08-07,0.04690685
1999-08-10,0.13930762
1999-08-14,1.2160463
1999-08-17,9.628612
1999-08-21,8.28015
1999-08-24,3.1316903
1999-08-28,0.13055661
1999-08-31,0.29659963
1999-09-04,30.173307
1999-09-07,21.794504
1999-09-11,8.493131
1999-09-14,4.7498713
1999-09-18,2.252281
1999-09-21,1.2943443
1999-09-25,0.6240815
1999-09-28,0.21392027
1999-10-02,0.14996257
1999-10-05,0.21175249
1999-10-09,4.149369
1999-10-12,23.18152
1999-10-16,19.688753
1999-10-19,14.973813
1999-10-23,7.0572653
1999-10-26,3.825698
1999-10-30,1.7143883
1999-11-02,1.3154128
1999-11-06,0.82614666
1999-11-09,0.39014044
1999-11-13,0.04124011
1999-11-16,0.029956741
1999-11-20,0.008741198
1999-11-23,0.002328086
1999-11-27,0.0033061837
1999-11-30,0.0041070846
1999-12-04,0.051299464
1999-12-07,0.16102569
1999-12-11,0.4051799
1999-12-14,0.50064164
1999-12-18,0.53002954
1999-12-21,0.49483684
1999-12-25,0.42200652
1999-12-28,0.40465504
2000-01-02,0.44286072
2000-01-05,0.4934353
2000-01-09,0.537539
2000-01-12,0.5888359
2000-01-16,0.5669581
2000-01-19,0.56427526
2000-01-23,0.55761015
2000-01-26,0.5017113
2000-01-30,0.47647595
2000-02-02,0.3913624
2000-02-06,0.26019326
2000-02-09,0.2034058
2000-02-13,0.09242797
2000-02-16,0.038291845
2000-02-20,0.010654191
2000-02-23,0.009891524
2000-02-27,0.009839612
2000-03-02,0.0010669751
2000-03-06,2.4663594e-05
2000-03-09,2.2570346e-05
2000-03-13,2.3022463e-05
2000-03-16,2.0678197e-05
2000-03-20,1.840364e-05
2000-03-23,1.4073707e-05
2000-03-27,1.42783265e-05
2000-03-30,1.3260651e-05
2000-04-03,3.7484797e-06
2000-04-06,3.7453035e-06
2000-04-10,1.1967098e-05
2000-04-13,3.3197954e-05
2000-04-17,8.8014116e-05
2000-04-20,0.00073497335
2000-04-24,0.00047952298
2000-04-27,0.00018006736
2000-05-01,8.43117e-05
2000-05-04,9.74584e-05
2000-05-08,0.04174663
2000-05-11,0.3635887
2000-05-15,16.994064
2000-05-18,13.992171
2000-05-22,2.6998436
2000-05-25,0.2565971
2000-05-29,0.019907199
2000-06-01,0.007706822
2000-06-05,0.0030240417
2000-06-08,0.0016820984
2000-06-12,0.00085087476
2000-06-15,0.00068738696
2000-06-19,0.00047988078
2000-06-22,0.00032219774
2000-06-26,0.00032525763
2000-06-29,0.010462118
2000-07-03,9.251981
2000-07-06,9.259024
2000-07-10,7.2973366
2000-07-13,5.7788773
2000-07-17,1.8208449
2000-07-20,0.31425792
2000-07-24,6.6207027
2000-07-27,11.237427
2000-07-31,8.5748825
2000-08-03,6.8160357
2000-08-07,15.9847765
2000-08-10,17.6447
2000-08-14,28.796036
2000-08-17,26.06974
2000-08-21,32.971493
2000-08-24,19.56643
2000-08-28,11.488053
2000-08-31,10.66944
2000-09-04,8.382473
2000-09-07,6.684802
2000-09-11,4.295826
2000-09-14,2.951708
2000-09-18,2.8231606
2000-09-21,2.2925172
2000-09-25,1.6445227
2000-09-28,0.98511934
2000-10-02,0.8179554
2000-10-05,0.91973174
2000-10-09,0.831909
2000-10-12,5.5578675
2000-10-16,9.364037
2000-10-19,5.6488442
2000-10-23,3.1900177
2000-10-26,2.7275574
2000-10-30,1.3020078
2000-11-02,0.8832595
2000-11-06,0.31956583
2000-11-09,0.049753483
2000-11-13,0.011346341
2000-11-16,0.007038125
2000-11-20,0.023856858
2000-11-23,0.056780607
2000-11-27,0.12996514
2000-11-30,0.39756897
2000-12-04,1.1097282
2000-12-07,1.2160573
2000-12-11,1.195311
2000-12-14,1.0869824
2000-12-18,1.0175631
2000-12-21,1.0289456
2000-12-25,0.99621016
2000-12-28,0.89935315
2001-01-02,0.773635
2001-01-05,0.80988866
2001-01-09,0.7884324
2001-01-12,0.7633746
2001-01-16,0.70093256
2001-01-19,0.67220235
2001-01-23,0.67160475
2001-01-26,0.66833514
2001-01-30,0.69526225
2001-02-02,0.68667686
2001-02-06,0.56093144
2001-02-09,0.47847536
2001-02-13,0.3507491
2001-02-16,0.23881908
2001-02-20,0.122937925
2001-02-23,0.09736297
2001-02-27,0.042649765
2001-03-02,0.0014244269
2001-03-06,2.7484099e-05
2001-03-09,3.3828594e-05
2001-03-13,3.1035528e-05
2001-03-16,2.8593378e-05
2001-03-20,2.4466031e-05
2001-03-23,2.2338716e-05
2001-03-27,2.7094968e-05
2001-03-30,3.279059e-05
2001-04-03,3.323981e-05
2001-04-06,5.078396e-05
2001-04-10,1.286128
2001-04-13,10.107858
2001-04-17,2.5358238
2001-04-20,0.07111466
2001-04-24,0.15248519
2001-04-27,2.0968819
2001-05-01,11.670819
2001-05-04,9.599703
2001-05-08,13.262756
2001-05-11,8.478992
2001-05-15,3.047085
2001-05-18,29.997152
2001-05-22,13.974052
2001-05-25,5.567924
2001-05-29,1.459352
2001-06-01,5.417941
2001-06-05,8.5393
2001-06-08,7.121422
2001-06-12,20.288095
2001-06-15,19.22938
2001-06-19,16.701218
2001-06-22,9.072544
2001-06-26,4.3583007
2001-06-29,2.9974492
2001-07-03,2.488914
2001-07-06,1.510465
2001-07-10,0.40202525
2001-07-13,0.42618507
2001-07-17,0.83480746
2001-07-20,3.1394682
2001-07-24,23.006517
2001-07-27,42.60743
2001-07-31,44.188404
2001-08-03,33.054276
2001-08-07,24.663042
2001-08-10,30.329096
2001-08-14,52.513977
2001-08-17,76.616554
2001-08-21,54.673847
2001-08-24,33.030613
2001-08-28,31.278938
2001-08-31,27.471474
2001-09-04,41.69227
2001-09-07,34.520824
2001-09-11,21.949064
2001-09-14,14.842854
2001-09-18,10.756447
2001-09-21,9.200043
2001-09-25,6.697979
2001-09-28,5.7528462
2001-10-02,4.882139
2001-10-05,5.712693
2001-10-09,6.4593067
2001-10-12,5.461349
2001-10-16,2.794025
2001-10-19,1.7424551
2001-10-23,0.6297404
2001-10-26,0.5237146
2001-10-30,3.2236094
2001-11-02,35.860195
2001-11-06,25.195925
2001-11-09,15.387721
2001-11-13,8.912316
2001-11-16,7.155094
2001-11-20,7.0434856
2001-11-23,6.0470657
2001-11-27,4.0204363
2001-11-30,2.6394105
2001-12-04,2.9213877
2001-12-07,2.9131808
2001-12-11,2.5083585
2001-12-14,2.2235808
2001-12-18,1.9071132
2001-12-21,1.7321981
2001-12-25,1.5770868
2001-12-28,1.5407984
2002-01-02,1.527535
2002-01-05,1.6805522
2002-01-09,1.7298774
2002-01-12,1.7889854
2002-01-16,1.7620093
2002-01-19,1.6817491
2002-01-23,1.6755093
2002-01-26,1.6570737
2002-01-30,1.5902231
2002-02-02,1.4227597
2002-02-06,1.0403085
2002-02-09,0.9191388
2002-02-13,0.94435084
2002-02-16,0.9559429
2002-02-20,0.91182595
2002-02-23,0.7445229
2002-02-27,0.6079153
2002-03-02,0.29329798
2002-03-06,0.020144418
2002-03-09,0.01019019
2002-03-13,0.05761581
2002-03-16,0.13886167
2002-03-20,0.20158085
2002-03-23,0.0939132
2002-03-27,0.082269825
2002-03-30,0.07632255
2002-04-03,0.009713419
2002-04-06,0.0045803357
2002-04-10,0.0016891814
2002-04-13,0.0013934951
2002-04-17,0.0034361552
2002-04-20,0.017626384
2002-04-24,1.3361592
2002-04-27,0.70539093
2002-05-01,0.14069943
2002-05-04,0.20800951
2002-05-08,10.652487
2002-05-11,19.976547
2002-05-15,16.905312
2002-05-18,11.558933
2002-05-22,2.570885
2002-05-25,0.19226366
2002-05-29,0.014830806
