,dis
1999-02-13,2939.6323
1999-02-16,2906.4717
1999-02-20,2839.1663
1999-02-23,2795.4255
1999-02-27,2748.629
1999-03-02,2711.387
1999-03-06,2654.521
1999-03-09,2620.3567
1999-03-13,2585.215
1999-03-16,2557.7053
1999-03-20,2536.662
1999-03-23,2537.015
1999-03-27,2633.1472
1999-03-30,2742.3508
1999-04-03,2843.251
1999-04-06,2884.8542
1999-04-10,2972.8003
1999-04-13,3046.0732
1999-04-17,3156.699
1999-04-20,3228.8477
1999-04-24,3276.139
1999-04-27,3304.519
1999-05-01,3395.6333
1999-05-04,3500.2075
1999-05-08,3655.2532
1999-05-11,3781.9424
1999-05-15,3915.6394
1999-05-18,3971.224
1999-05-22,3982.019
1999-05-25,3969.5452
1999-05-29,3955.1584
1999-06-01,3934.9348
1999-06-05,3853.252
1999-06-08,3801.3572
1999-06-12,3755.3147
1999-06-15,3724.239
1999-06-19,3673.984
1999-06-22,3623.7747
1999-06-26,3536.3337
1999-06-29,3460.5676
1999-07-03,3361.7285
1999-07-06,3303.4062
1999-07-10,3283.2485
1999-07-13,3289.3562
1999-07-17,3275.826
1999-07-20,3241.3408
1999-07-24,3174.1726
1999-07-27,3113.7063
1999-07-31,3037.069
1999-08-03,2974.991
1999-08-07,2902.7349
1999-08-10,2866.2456
1999-08-14,2838.0364
1999-08-17,2815.5232
1999-08-21,2784.2861
1999-08-24,2764.2798
1999-08-28,2736.2383
1999-08-31,2722.0671
1999-09-04,2702.6033
1999-09-07,2704.402
1999-09-11,2699.1677
1999-09-14,2690.0168
1999-09-18,2680.0151
1999-09-21,2666.752
1999-09-25,2646.8396
1999-09-28,2633.1155
1999-10-02,2624.0723
1999-10-05,2622.2236
1999-10-09,2671.377
1999-10-12,2761.9468
1999-10-16,2896.0413
1999-10-19,2998.2415
1999-10-23,3105.9016
1999-10-26,3142.7517
1999-10-30,3153.505
1999-11-02,3126.0042
1999-11-06,3051.0842
1999-11-09,2985.8647
1999-11-13,2899.1921
