ID,Country,station,location,lat,lon,rl2,rl5,rl10,rl20,Q10,Q20,Q30,Q50,Q80,Q90
G1045,Ethiopia,G1045,Tendaho,11.75,40.95000076293945,1369.3642578125,1774.294189453125,2124.471435546875,2299.56005859375,879.8240295410155,972.3131103515625,998.9215942382813,1112.4496459960938,1428.109765625,1489.6035766601562
G1053,Ethiopia,G1053,Adaitu,11.350000381469727,40.95000076293945,1412.9696044921875,1802.7431640625,2139.8133138020835,2308.348388671875,918.8176208496093,1008.6599365234375,1029.6765441894531,1290.1158447265625,1512.277099609375,1586.422705078125
G1067,Ethiopia,G1067,Melka Sedi,9.149999618530273,40.150001525878906,1330.382568359375,1565.81884765625,1769.4205729166667,1871.221435546875,807.8538024902344,928.946875,1035.4461669921875,1083.3900756835938,1242.532470703125,1321.42158203125
G1074,Ethiopia,G1074,Metahara,8.850000381469727,39.95000076293945,656.7110595703125,803.1309814453125,929.7527262369791,993.0635986328125,423.6728240966797,488.40260620117186,529.2938903808594,565.3302307128906,645.6604858398438,698.4995178222657
G1603,Ethiopia,G1603,Gambella,8.25,34.95000076293945,2129.934326171875,2718.602783203125,3227.6739095052085,3482.20947265625,1244.6339843750002,1332.83447265625,1453.05849609375,1935.7216186523438,2258.44248046875,2322.8523681640627
G1901,Ethiopia,G1901,Omo River Delta,4.849999904632568,36.04999923706055,5359.5166015625,5960.0615234375,6479.403971354167,6739.0751953125,4474.76787109375,4566.08583984375,4825.969091796875,5190.12646484375,5848.13837890625,6276.463330078126
G1902,Ethiopia,G1902,Na,4.75,42.04999923706055,430.7146301269531,567.6884155273438,686.1412150065104,745.3676147460938,296.58299865722654,320.7220153808594,329.4505279541016,368.04383850097656,543.3186584472656,621.4318054199218
G1904,Ethiopia,G1904,Na,5.050000190734863,44.849998474121094,2989.608154296875,3504.77294921875,3950.2794596354165,4173.03271484375,2062.8334472656247,2236.347998046875,2341.7218017578125,2508.2054443359375,3058.1005859375,3218.709643554688
G1905,Ethiopia,G1905,Na,5.449999809265137,44.45000076293945,3006.280029296875,3526.245361328125,3975.9034016927085,4200.732421875,2070.1518310546876,2248.5712890625,2357.631103515625,2547.594482421875,3072.8172851562504,3179.680590820313
G1906,Ethiopia,G1906,Na,5.550000190734863,44.150001525878906,3027.5126953125,3547.862060546875,3997.851806640625,4222.8466796875,2078.3615966796874,2271.91328125,2345.2767089843746,2580.19873046875,3006.3059570312503,3151.610400390625
G1907,Ethiopia,G1907,Na,6.050000190734863,43.04999923706055,3102.725341796875,3601.234130859375,4032.3368326822915,4247.88818359375,2049.3573364257813,2293.505908203125,2451.8828857421877,2677.425537109375,3024.697412109375,3136.3976074218754
G4951,Ethiopia,G4951,Na,11.149999618530273,41.650001525878906,1265.7608642578125,1659.5050048828125,2000.008829752604,2170.2607421875,800.5114135742188,824.2743530273438,918.5589599609375,1046.8287048339844,1318.0177734375,1451.089392089844
G4953,Ethiopia,G4953,Bahir Dar,11.550000190734863,37.349998474121094,715.8826293945312,835.10986328125,938.2157796223959,989.7687377929688,614.7933044433594,633.068359375,665.0770751953125,705.9090270996094,827.9856811523438,873.5648498535156
G4954,Ethiopia,G4954,Na,11.050000190734863,41.650001525878906,273.4700927734375,507.6593322753906,710.1825866699219,811.4442138671875,65.91967391967773,93.30384063720703,107.70467834472657,153.6766357421875,219.50570373535157,371.85401000976583
G4957,Ethiopia,G4957,Nr. BAHIR DAR,11.75,37.650001525878906,301.9430847167969,346.1527404785156,384.3845926920573,403.5005187988281,253.86475677490233,259.38584594726564,283.61472473144534,301.17529296875,336.36818237304686,376.49618530273443
G4960,Ethiopia,G4960,Na,10.850000381469727,35.150001525878906,14122.14453125,15207.314453125,16145.751953125,16614.970703125,12847.32958984375,13245.651171875,13358.6130859375,13855.13916015625,14798.778125,15375.608203125
G4965,Ethiopia,G4965,Nr. ADDIS ZEMEN,12.050000190734863,37.75,315.2519226074219,364.19781494140625,406.52545166015625,427.68927001953125,252.23491058349612,259.47449951171876,278.89552307128906,300.4171142578125,341.104833984375,357.03125305175786
G4969,Ethiopia,G4969,Na,10.449999809265137,35.25,13586.7705078125,14644.447265625,15559.108723958334,16016.439453125,12390.231738281249,12813.75859375,12852.0693359375,13308.9296875,14209.076562499999,14942.639062500002
G4977,Ethiopia,G4977,Nr. MARAWI,11.350000381469727,37.04999923706055,472.41912841796875,649.8909301757812,803.3657836914062,880.1032104492188,201.0245574951172,215.43103637695313,244.09404907226562,375.3291931152344,548.0194091796875,648.4490844726565
G4979,Ethiopia,G4979,Na,10.050000190734863,35.75,10664.375,11567.81640625,12349.098958333334,12739.740234375,9485.3291015625,9920.983203125,10448.4947265625,10789.9921875,11338.385546875,12246.2240234375
G4980,Ethiopia,G4980,Nr. Kessie,10.050000190734863,38.150001525878906,6225.779296875,7028.28515625,7722.279296875,8069.2763671875,5182.91748046875,5609.957324218751,5860.256738281249,6311.598876953125,7254.10634765625,7449.436669921875
G4983,Ethiopia,G4983,Na,9.850000381469727,35.75,3170.0673828125,3699.1015625,4156.602213541667,4385.3525390625,2380.8345214843753,2512.048193359375,2771.6794189453126,3025.9281005859375,3365.136328125,3502.0140625
G5015,Kenya,G5015,EWASO NGIRO (5BC04),-0.05000000074505806,36.849998474121094,309.3550109863281,437.723388671875,548.7343343098959,604.2398071289062,110.12748260498047,126.06535339355469,155.02351837158204,213.98536682128906,323.92021484375005,375.36886901855473
G5036,Kenya,G5036,EWASO NAROK (5AC08),0.44999998807907104,36.849998474121094,647.91748046875,938.6395263671875,1190.0514729817708,1315.7574462890625,389.1947479248047,407.49330444335936,440.815234375,495.48997497558594,949.4330932617188,1219.7069824218752
G5041,Kenya,G5041,EWASO NAROK (5AC10),0.44999998807907104,36.75,197.42819213867188,372.3023986816406,523.5309346516926,599.1452026367188,47.45561981201172,51.22134552001953,79.83095245361328,103.94951629638672,374.500146484375,504.77023315429716
G5056,Ethiopia,G5056,Na,8.050000190734863,33.150001525878906,421.50372314453125,522.0715942382812,609.0411173502604,652.52587890625,276.90264282226565,299.4650573730469,311.5830474853516,402.5601043701172,491.3393127441406,504.22222290039065
G5068,Ethiopia,G5068,Na,7.650000095367432,42.04999923706055,418.28399658203125,744.8453369140625,1027.250528971354,1168.453125,128.29186096191407,144.3399627685547,165.85719299316406,183.39740753173828,312.8124145507813,551.4621765136723
G5075,Uganda,G5075,Mpologoma at Budumba (82217),0.75,33.75,717.4564208984375,931.2064819335938,1116.0542602539062,1208.4781494140625,396.7083190917969,406.4914855957031,446.13474426269534,536.1316833496094,678.6777221679688,853.4788269042972
G5076,Ethiopia,G5076,Na,7.550000190734863,41.95000076293945,3101.79931640625,3501.6748046875,3847.4807942708335,4020.3837890625,1864.8206542968749,2453.908203125,2577.8982421875,2754.6036376953125,3022.2021484375,3125.1451416015625
G5081,Ethiopia,G5081,Na,7.349999904632568,42.150001525878906,3221.691650390625,3683.07421875,4082.0706380208335,4281.56884765625,1930.4576416015625,2463.79091796875,2546.4522705078125,2770.3018798828125,3068.492822265625,3162.1644287109375
G5082,Ethiopia,G5082,Na,7.349999904632568,42.25,77.19597625732422,145.2753143310547,204.14927673339844,233.5862579345703,14.144593048095704,22.945640563964844,34.75774803161621,55.92314910888672,130.8200256347656,192.7705764770509
G5092,Kenya,G5092,PERKERRA (2EE07A),0.44999998807907104,36.04999923706055,384.5867614746094,585.5407104492188,759.322530110677,846.2134399414062,146.7364486694336,171.8534118652344,202.00274810791015,285.5084686279297,393.9297729492187,429.37785644531255
G5114,Uganda,G5114,Kapiri (82227),1.649999976158142,33.75,400.658447265625,512.2468872070312,608.7468058268229,656.9967651367188,253.58826599121093,270.4793395996094,368.23655090332034,409.46734619140625,505.317529296875,534.87978515625
G5115,Ethiopia,G5115,Na,5.75,40.849998474121094,1540.7713623046875,1806.054931640625,2035.468017578125,2150.174560546875,1234.1207031249999,1436.4440185546875,1489.894201660156,1540.0821533203125,1724.559619140625,1785.0838134765625
G5118,Kenya,G5118,ATHI KIBWEZI (3F05),-2.549999952316284,38.349998474121094,211.04476928710938,372.2154235839844,511.5932922363281,581.2822265625,57.731597900390625,68.99883575439453,92.34164962768554,160.1592254638672,311.01115417480474,374.0718811035157
G5125,Kenya,G5125,NYANGORES (1LA03),-0.8500000238418579,35.25,100.49543762207031,188.73423767089844,265.0417836507161,303.195556640625,,,,,,
G5141,Ethiopia,G5141,Na,4.349999904632568,41.95000076293945,2257.04150390625,2595.60009765625,2888.3802083333335,3034.770263671875,2028.1720825195312,2097.25654296875,2140.1003662109374,2249.0135498046875,2683.4332031249996,2755.481713867188
G5142,Kenya,G5142,ATHI MUNYU (3DA02),-1.149999976158142,37.150001525878906,88.30430603027344,139.3603057861328,183.51275126139322,205.58897399902344,17.19469165802002,36.98116226196289,46.7863353729248,66.66366195678711,103.61150207519532,186.18667602539074
G5145,Uganda,G5145,Rwizi at Mbarara water works (81224),-0.6499999761581421,30.649999618530273,86.80548858642578,116.76431274414062,142.67223103841147,155.62619018554688,40.23538360595703,49.50000991821289,55.21274337768555,69.51611328125,83.08047332763672,89.962410736084
G5147,Kenya,G5147,MARA NAROK (1LA04),-1.25,35.04999923706055,407.27081298828125,527.4512329101562,631.3814493815104,683.3465576171875,227.05790100097656,310.3184387207031,321.45400085449216,364.5486755371094,476.28044433593755,601.0349792480472
G5159,Kenya,G5159,AMALA (1LB02),-0.75,35.54999923706055,427.3656005859375,550.9013671875,657.7331949869791,711.1491088867188,,,,,,
G5160,Uganda,G5160,Mayanja (83218),0.6499999761581421,32.150001525878906,86.3653335571289,115.61201477050781,140.90408833821616,153.5501251220703,44.348541259765625,50.22371978759766,55.78011093139648,63.97589874267578,80.3163818359375,84.30837783813476
G5161,Kenya,G5161,MIRIU SONDU (1JG04),-0.3499999940395355,34.75,677.2489013671875,909.0155029296875,1109.4437255859375,1209.6578369140625,399.03228149414065,461.66315307617185,473.00998840332034,591.73681640625,835.3356079101562,876.7602172851563
G5163,Uganda,G5163,Pager at Kitgum,3.25,33.849998474121094,37.69429016113281,63.412269592285156,85.6527837117513,96.77304077148438,,,,,,
G5164,Uganda,G5164,Aswa (ii) (86202),2.950000047683716,32.54999923706055,188.34580993652344,326.7757263183594,446.4877624511719,506.3437805175781,65.08486328125,83.04228515624999,93.56204605102539,140.12010192871094,247.73993835449218,293.1194274902344
G5170,Kenya,G5170,Na,3.1500000953674316,36.04999923706055,2607.006591796875,2992.773193359375,3326.3783365885415,3493.180908203125,2273.0537597656253,2342.22392578125,2466.8197998046876,2583.963623046875,2939.8583984375,3100.45185546875
G5171,Kenya,G5171,SUAM (2B05),1.149999976158142,34.650001525878906,204.9988250732422,284.70611572265625,353.6357421875,388.1005554199219,,,,,,
G5173,Kenya,G5173,Na,2.8499999046325684,37.45000076293945,275.5379333496094,468.58734130859375,635.533467610677,719.0065307617188,117.72978897094727,192.72923278808594,211.95289916992186,220.03496551513672,390.75401611328124,557.1381835937503
G5179,Kenya,G5179,YALA (1FG02),0.05000000074505806,34.150001525878906,415.9732971191406,541.9798583984375,650.9484049479166,705.4326782226562,235.3844009399414,274.2229736328125,300.47889709472656,395.7534637451172,509.11834106445315,550.3412902832032
G5189,Uganda,G5189,Muzizi (85211),0.8500000238418579,30.75,27.51901626586914,37.00973892211914,45.217169443766274,49.320884704589844,14.343889808654787,15.75701484680176,18.67354965209961,22.057032585144043,24.289130401611327,26.33218059539795
G5194,Kenya,G5194,LARGE NZOIA (1BD02),0.75,35.04999923706055,1472.9970703125,1833.7894287109375,2145.7969970703125,2301.80078125,919.5668762207032,1025.3345703125,1092.4099731445312,1323.86962890625,1628.4739013671876,1695.3754150390625
G5195,Kenya,G5195,NZOIA AT RUAMBWA FERRY (1EF01),0.15000000596046448,34.04999923706055,1612.5682373046875,1951.601318359375,2244.7919108072915,2391.38720703125,1158.980712890625,1172.3302001953125,1235.0752685546877,1466.1400146484375,1965.0723388671875,1995.494091796875
G5196,Uganda,G5196,Akokorio at Uganda Gauge,1.75,33.849998474121094,66.7905044555664,125.19747924804688,175.70692952473956,200.96165466308594,1.577775251865387,14.864450836181643,39.06384201049804,75.32596969604492,105.47533416748048,122.04156646728516
G5197,Kenya,G5197,NDO (2C07),0.44999998807907104,35.650001525878906,350.9134216308594,437.1864013671875,511.7939046223958,549.09765625,,,,,,
G5198,Kenya,G5198,AWACH KABUON (1HD04),-0.44999998807907104,34.650001525878906,63.66960906982422,99.53189086914062,130.54503377278647,146.05160522460938,,,,,,
G5200,Uganda,G5200,Magoro Ngariam,1.649999976158142,33.95000076293945,504.3544006347656,644.5651245117188,765.8171590169271,826.4431762695312,326.2313568115235,422.8601989746094,448.700473022461,532.02685546875,628.121826171875,707.5321411132813
G5208,Kenya,G5208,Na,1.149999976158142,39.25,177.12974548339844,309.31005859375,423.6175333658854,480.7712707519531,64.40064315795898,97.99785766601562,107.87417907714843,145.1674041748047,180.38153686523435,247.932894897461
G5210,Kenya,G5210,TANA GARISSA (4G01),-0.15000000596046448,39.349998474121094,1087.1053466796875,1646.088134765625,2129.4878743489585,2371.187744140625,515.4353759765625,553.3207275390625,703.1030822753906,953.2221984863281,1715.3871826171876,1845.9937622070313
G5216,Kenya,G5216,GUCHA MIGORI (1KB05),-0.949999988079071,34.25,497.85516357421875,667.4187622070312,814.0547485351562,887.3727416992188,299.3500335693359,356.9911804199219,378.3981567382812,446.7150421142578,502.47698364257815,634.0062744140625
G5218,Kenya,G5218,TANA SAGANA (4BC02),-0.6499999761581421,37.150001525878906,308.31463623046875,404.1282653808594,486.98639933268225,528.4154663085938,183.20306091308592,196.95186462402344,216.07614440917968,252.99386596679688,324.4234619140625,341.87495727539067
G5220,Uganda,G5220,Manafwa at Butaleja (82212),0.949999988079071,34.04999923706055,405.022216796875,500.7790222167969,583.5880025227865,624.9924926757812,,,,,,
G5223,Uganda,G5223,Kyoga Nile at Masindi port (83203),1.649999976158142,32.04999923706055,4956.3291015625,6367.109375,7587.130859375,8197.1416015625,3083.748120117187,3281.6021484375,3666.050927734375,4402.2041015625,4914.976367187501,5258.75458984375
G5224,Kenya,G5224,Mutonga (4EA07),-0.3499999940395355,37.849998474121094,565.2338256835938,762.23876953125,932.6055908203125,1017.7890014648438,266.28737182617186,302.7413696289063,329.63624572753906,496.71531677246094,632.2110717773437,688.1095458984377
G5227,Uganda,G5227,Nkusi (85212),1.0499999523162842,30.75,74.8651123046875,90.7808837890625,104.54459126790364,111.42644500732422,48.41314163208008,53.70599517822266,55.86283264160156,62.605276107788086,72.15450286865234,77.71714706420899
G5230,Kenya,G5230,SIO RIVER (1AH01),0.3499999940395355,34.04999923706055,60.34677505493164,108.94751739501953,150.976687113444,171.99127197265625,18.332545280456543,25.19580535888672,26.880761528015135,33.69672203063965,57.22619400024414,80.52743453979497
G5242,Uganda,G5242,Semliki (85205),0.75,29.850000381469727,3432.365966796875,3769.92578125,4061.8421223958335,4207.80029296875,2795.43720703125,2940.420361328125,3021.8626953125,3175.3836669921875,3407.48876953125,3572.3705810546876
G5299,Kenya,G5299,Thiba (4DD02),-0.75,37.45000076293945,325.8656921386719,440.896728515625,540.373779296875,590.1123046875,150.06696166992188,235.94480285644534,254.0951889038086,288.29722595214844,354.22819824218755,433.31663818359374
G5305,Kenya,G5305,TANA HOLA (4G04),-1.4500000476837158,40.04999923706055,999.4302368164062,1538.55810546875,2004.78759765625,2237.90234375,428.97280578613277,503.38206787109374,634.1841613769532,945.9539794921875,1445.7711425781251,1764.446899414063
G5317,Uganda,G5317,Mitano (84267),-0.8500000238418579,29.850000381469727,666.4066772460938,1066.567138671875,1412.6197916666665,1585.6461181640625,146.02190856933595,160.65098876953124,161.74784240722656,191.88477325439453,352.06513671875007,457.8552764892579
G5326,Kenya,G5326,TANA GARSEN (4G02),-2.25,40.150001525878906,1050.395751953125,1640.2490234375,2150.3450520833335,2405.39306640625,453.1601348876953,573.1238403320312,663.1655700683593,906.1392822265625,1558.0019287109376,1766.3428955078125
G5332,Kenya,G5332,TSAVO (3G02),-3.049999952316284,38.349998474121094,695.2262573242188,904.6158447265625,1085.6926676432292,1176.2310791015625,375.5354919433594,489.03840332031245,511.7197540283203,553.8495788574219,746.7223144531251,823.298486328125
G5450,Kenya,G5450,TANA MURANGA (4BE02),-0.75,37.25,353.9014892578125,471.0420837402344,572.3434549967448,622.994140625,205.5765640258789,246.14964904785154,255.87274169921875,281.5560760498047,356.46314697265626,424.60703735351575
G6106,Uganda,G6106,Kapelebyong,2.450000047683716,34.04999923706055,92.42439270019531,160.97320556640625,220.2531534830729,249.89312744140625,36.58324203491211,45.90833358764649,54.040017700195314,91.14331817626953,110.67212371826172,114.61241989135742
G6107,Ethiopia,G6107,Abetlti,8.25,37.54999923706055,1717.04638671875,1919.2203369140625,2094.057332356771,2181.475830078125,1477.8915405273438,1546.3740478515624,1603.2411865234376,1701.9007568359375,1811.63359375,1970.1397460937503
G6108,Ethiopia,G6108,Woltkite,8.25,37.75,1804.4476318359375,2035.65380859375,2235.5973307291665,2335.569091796875,1049.1275268554687,1231.9600830078125,1338.1709350585936,1560.9996337890625,1748.1652832031252,1900.7513793945313
G6109,Ethiopia,G6109,Asetndabo,7.75,37.25,419.8782958984375,454.1875305175781,483.8576151529948,498.6926574707031,373.0831359863281,400.053662109375,408.22736206054685,411.5015869140625,456.74926147460934,487.20093383789066
G6110,Ethiopia,G6110,Woltkite,8.350000381469727,37.54999923706055,113.32168579101562,138.2306365966797,159.7715098063151,170.5419464111328,82.82852478027344,95.0161148071289,100.61919860839845,106.70154190063477,124.0925537109375,136.7281204223633
G6111,Ethiopia,G6111,Shetbe,7.449999809265137,36.349998474121094,314.43121337890625,449.8202209472656,566.9025166829427,625.4436645507812,157.6758316040039,160.9328857421875,178.34234619140625,216.5414810180664,324.5330505371094,483.72604064941424
G6112,Ethiopia,G6112,Sekta,7.650000095367432,36.75,75.15406799316406,84.14749908447266,91.92487335205078,95.81356048583984,,,,,,
F0030,Uganda,F0030,R.ManafaatButaleja,0.949999988079071,34.04999923706055,405.022216796875,500.7790222167969,583.5880025227865,624.9924926757812,,,,,,
F0032,Uganda,F0032,R.MpologomaatBudumba,0.75,33.75,717.4564208984375,931.2064819335938,1116.0542602539062,1208.4781494140625,396.7083190917969,406.4914855957031,446.13474426269534,536.1316833496094,678.6777221679688,853.4788269042972
F0033,Uganda,F0033,R.KyogaNileatMasindiport,1.649999976158142,32.04999923706055,4956.3291015625,6367.109375,7587.130859375,8197.1416015625,3083.748120117187,3281.6021484375,3666.050927734375,4402.2041015625,4914.976367187501,5258.75458984375
F0033,Uganda,F0033,R.KyogaNileatMasindiport,1.649999976158142,32.04999923706055,4956.3291015625,6367.109375,7587.130859375,8197.1416015625,3083.748120117187,3281.6021484375,3666.050927734375,4402.2041015625,4914.976367187501,5258.75458984375
F0034,Uganda,F0034,R.Kapiri,1.5499999523162842,33.650001525878906,401.169189453125,513.0970458984375,609.8905029296875,658.2872314453125,253.48441467285156,271.25001831054686,368.44144897460933,412.9236602783203,498.1895935058594,539.9882141113281
F0035,Uganda,F0035,R.RwiziatMbararawaterworks,-0.6499999761581421,30.649999618530273,86.80548858642578,116.76431274414062,142.67223103841147,155.62619018554688,40.23538360595703,49.50000991821289,55.21274337768555,69.51611328125,83.08047332763672,89.962410736084
