,dis
1997-01-02,3574.6218
1997-01-05,3534.7227
1997-01-09,3480.3423
1997-01-12,3434.9902
1997-01-16,3376.0352
1997-01-19,3342.32
1997-01-23,3313.9167
1997-01-26,3285.4763
1997-01-30,3286.4167
1997-02-02,3315.5461
1997-02-06,3315.6116
1997-02-09,3290.8
1997-02-13,3235.8538
1997-02-16,3183.1768
1997-02-20,3109.119
1997-02-23,3055.7468
1997-02-27,2990.062
1997-03-02,2940.6038
1997-03-06,2864.3467
1997-03-09,2809.395
1997-03-13,2744.7217
1997-03-16,2693.606
1997-03-20,2639.011
1997-03-23,2594.0596
1997-03-27,2547.2656
1997-03-30,2522.8804
1997-04-03,2489.699
1997-04-06,2465.1228
1997-04-10,2477.4192
1997-04-13,2545.011
1997-04-17,2691.3323
1997-04-20,2779.1829
1997-04-24,2876.5942
1997-04-27,2960.034
1997-05-01,3162.114
1997-05-04,3327.7659
1997-05-08,3484.3936
1997-05-11,3594.6711
1997-05-15,3752.1409
1997-05-18,3842.3755
1997-05-22,3923.034
1997-05-25,3989.501
1997-05-29,4046.1423
1997-06-01,4041.206
1997-06-05,4003.4563
1997-06-08,3964.5942
1997-06-12,3916.2844
1997-06-15,3895.711
1997-06-19,3883.886
1997-06-22,3857.5889
1997-06-26,3807.1296
1997-06-29,3772.4954
1997-07-03,3741.9658
1997-07-06,3715.819
1997-07-10,3664.9453
1997-07-13,3632.8867
1997-07-17,3619.2524
1997-07-20,3615.2068
1997-07-24,3639.0046
1997-07-27,3693.517
1997-07-31,3708.2725
1997-08-03,3661.769
1997-08-07,3570.1836
1997-08-10,3480.9258
1997-08-14,3384.2559
1997-08-17,3321.7153
1997-08-21,3251.22
1997-08-24,3210.8767
1997-08-28,3170.2957
1997-08-31,3139.5896
1997-09-04,3093.7673
1997-09-07,3056.3264
1997-09-11,2999.1187
1997-09-14,2952.0137
1997-09-18,2879.492
1997-09-21,2815.4648
1997-09-25,2743.754
1997-09-28,2697.2441
1997-10-02,2646.2837
1997-10-05,2606.4155
1997-10-09,2560.5437
1997-10-12,2531.0913
1997-10-16,2498.9478
1997-10-19,2498.54
1997-10-23,2547.9639
1997-10-26,2844.8645
1997-10-30,3096.9414
1997-11-02,3317.1658
1997-11-06,3581.0955
1997-11-09,3730.4146
1997-11-13,4021.8025
1997-11-16,4321.6978
1997-11-20,4592.456
1997-11-23,4756.708
1997-11-27,5045.1064
1997-11-30,5248.654
1997-12-04,5405.6816
1997-12-07,5455.1265
1997-12-11,5645.2437
1997-12-14,5847.99
1997-12-18,6177.751
1997-12-21,6422.5854
1997-12-25,6805.0215
1997-12-28,7037.009
1998-01-02,7199.8306
1998-01-05,7246.46
1998-01-09,7143.682
1998-01-12,7045.3633
1998-01-16,7107.504
1998-01-19,7360.733
1998-01-23,7475.58
1998-01-26,7386.4507
1998-01-30,7254.862
1998-02-02,7133.659
1998-02-06,6984.7314
1998-02-09,6939.6484
1998-02-13,6799.8936
1998-02-16,6657.3647
1998-02-20,6564.31
1998-02-23,6561.629
1998-02-27,6509.4604
1998-03-02,6455.8457
1998-03-06,6323.5083
