"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
31,255,"ZMB","Zambia",5,"Lusaka",31,"Chongwe","ZM.LS.LR",NA,"","District","District","",""
32,255,"ZMB","Zambia",5,"Lusaka",32,"Kafue","ZM.LS.KF",NA,"","District","District","",""
33,255,"ZMB","Zambia",5,"Lusaka",33,"Luangwa","ZM.LS.LG",NA,"","District","District","",""
34,255,"ZMB","Zambia",5,"Lusaka",34,"Lusaka","ZM.LS.LU",NA,"","District","District","",""
35,255,"ZMB","Zambia",6,"Muchinga",35,"Chama","ZM.EA.CM",NA,"","District","District","",""
36,255,"ZMB","Zambia",6,"Muchinga",36,"Chinsali","ZM.NO.CS",NA,"","District","District","",""
37,255,"ZMB","Zambia",6,"Muchinga",37,"Isoka","ZM.NO.IS",NA,"","District","District","",""
38,255,"ZMB","Zambia",6,"Muchinga",38,"Mpika","ZM.NO.MK",NA,"","District","District","",""
39,255,"ZMB","Zambia",6,"Muchinga",39,"Nakonde","ZM.NO.NK",NA,"","District","District","",""
40,255,"ZMB","Zambia",7,"North-Western",40,"Chavuma","ZM.NW.CV",NA,"","District","District","",""
41,255,"ZMB","Zambia",7,"North-Western",41,"Kabompo","ZM.NW.KO",NA,"","District","District","",""
42,255,"ZMB","Zambia",7,"North-Western",42,"Kasempa","ZM.NW.KE",NA,"","District","District","",""
43,255,"ZMB","Zambia",7,"North-Western",43,"Mufumbwe","ZM.NW.MU",NA,"","District","District","",""
44,255,"ZMB","Zambia",7,"North-Western",44,"Mwinilunga","ZM.NW.MW",NA,"","District","District","",""
45,255,"ZMB","Zambia",7,"North-Western",45,"Solwezi","ZM.NW.SO",NA,"","District","District","",""
46,255,"ZMB","Zambia",7,"North-Western",46,"Zambezi","ZM.NW.ZA",NA,"","District","District","",""
47,255,"ZMB","Zambia",8,"Northern",47,"Chilubi","ZM.NO.CI",NA,"","District","District","",""
48,255,"ZMB","Zambia",8,"Northern",48,"Kaputa","ZM.NO.KP",NA,"","District","District","",""
49,255,"ZMB","Zambia",8,"Northern",49,"Kasama","ZM.NO.KS",NA,"","District","District","",""
50,255,"ZMB","Zambia",8,"Northern",50,"Luwingu","ZM.NO.LW",NA,"","District","District","",""
51,255,"ZMB","Zambia",8,"Northern",51,"Mbala","ZM.NO.MB",NA,"","District","District","",""
52,255,"ZMB","Zambia",8,"Northern",52,"Mporokoso","ZM.NO.MR",NA,"","District","District","",""
53,255,"ZMB","Zambia",8,"Northern",53,"Mpulungu","ZM.NO.ML",NA,"","District","District","",""
54,255,"ZMB","Zambia",8,"Northern",54,"Mungwi","ZM.NO.MU",NA,"","District","District","",""
55,255,"ZMB","Zambia",9,"Southern",55,"Choma","ZM.SO.CO",NA,"","District","District","",""
56,255,"ZMB","Zambia",9,"Southern",56,"Gwembe","ZM.SO.GW",NA,"","District","District","",""
57,255,"ZMB","Zambia",9,"Southern",57,"Itezhi-Tezhi","ZM.SO.IT",NA,"","District","District","",""
58,255,"ZMB","Zambia",9,"Southern",58,"Kalomo","ZM.SO.KL",NA,"","District","District","",""
59,255,"ZMB","Zambia",9,"Southern",59,"Kazungula","ZM.SO.KZ",NA,"","District","District","",""
60,255,"ZMB","Zambia",9,"Southern",60,"Livingstone","ZM.SO.LI",NA,"","District","District","",""
61,255,"ZMB","Zambia",9,"Southern",61,"Mazabuka","ZM.SO.MA",NA,"","District","District","",""
62,255,"ZMB","Zambia",9,"Southern",62,"Monze","ZM.SO.MO",NA,"","District","District","",""
63,255,"ZMB","Zambia",9,"Southern",63,"Namwala","ZM.SO.NW",NA,"","District","District","",""
64,255,"ZMB","Zambia",9,"Southern",64,"Siavonga","ZM.SO.SV",NA,"","District","District","",""
65,255,"ZMB","Zambia",9,"Southern",65,"Sinazongwe","ZM.SO.SZ",NA,"","District","District","",""
66,255,"ZMB","Zambia",10,"Western",66,"Kalabo","ZM.WE.KB",NA,"","District","District","",""
67,255,"ZMB","Zambia",10,"Western",67,"Kaoma","ZM.WE.KM",NA,"","District","District","",""
68,255,"ZMB","Zambia",10,"Western",68,"Lukulu","ZM.WE.LK",NA,"","District","District","",""
69,255,"ZMB","Zambia",10,"Western",69,"Mongu","ZM.WE.MO",NA,"","District","District","",""
70,255,"ZMB","Zambia",10,"Western",70,"Senanga","ZM.WE.SN",NA,"","District","District","",""
71,255,"ZMB","Zambia",10,"Western",71,"Sesheke","ZM.WE.SS",NA,"","District","District","",""
72,255,"ZMB","Zambia",10,"Western",72,"Shangombo","ZM.WE.SH",NA,"","District","District","",""
