"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,255,"ZMB","Zambia",1,"Central","ZM.CE",NA,"","Province","Province","","Broken Hill"
2,255,"ZMB","Zambia",2,"Copperbelt","ZM.CO",NA,"","Province","Province","","Western"
3,255,"ZMB","Zambia",3,"Eastern","ZM.EA",NA,"","Province","Province","","Fort Jameson"
4,255,"ZMB","Zambia",4,"Luapula","ZM.LP",NA,"","Province","Province","","Fort Rosebery"
5,255,"ZMB","Zambia",5,"Lusaka","ZM.LS",NA,"","Province","Province","",""
6,255,"ZMB","Zambia",6,"Muchinga","ZM.MU",NA,"","Province","Province","",""
7,255,"ZMB","Zambia",7,"North-Western","ZM.NW",NA,"","Province","Province","",""
8,255,"ZMB","Zambia",8,"Northern","ZM.NO",NA,"","Province","Province","",""
9,255,"ZMB","Zambia",9,"Southern","ZM.SO",NA,"","Province","Province","",""
10,255,"ZMB","Zambia",10,"Western","ZM.WE",NA,"","Province","Province","","Barotseland"
