County,sub_county,ward,Location,Sub_Location,other,scene,deaths,missing,injured,hh.destroyed,hh.damaged,hh.affected,hh.displaced,hh.evacuated,p.affected,p.displaced,p.evacuted,services.disrupted,roads,lost.livestock,bridge,schools,latrine,wall,hospitals,drainage,inst.church.mosque,health_center,acreage.crops.destroyed,cholera_outbreak,cholera.cases,situation,data_source,dref no,glidenumber,Date,flood
Baringo,Tiaty,,,,,Tiaty,2,0,0,,,,,,,,,,,30,,,,,,,,,,,,"at 1642hrs, e.o.c via social media captured a flood incident at churo area in tiaty baringo county. kacheptuya, kanapus and chepelow water pans have since broken their barriers inviting a displacement of populations in several villages among them 2 trading centers and a primary school. in addition, 30 goats have reportedly been swept away and property of unknown value marooned. baringo krcs has since been activated to facilitate assessment and assist displace populations. two women were also swept away while crossing  a river.",eoc,,,28/05/2018,1
Baringo,,,,,,,6,,3,,,,1305,,,,,,,na,,2,,,,,,,800,,,,dref,june_11th_2018_mdrke043,,11/06/2018,1
Baringo,,,,,Baringo,Baringo,0,0,0,,,,,,,,,schools closed,,,,3,,,,,,,,,,"e.o.c through social media at 1015hrs captured reports of flooding incident at baringo county following heavy rainfall reported over the last 2 days. three schools namely; sintan primary, leswa primary and ngambo secondary have since been closed indefinitely till water levels subside. baringo krcs has since been activated to conduct assessment.",eoc,,,02/09/2018,1
Baringo,,,,,River Perkera,River Perkera,1,0,0,,,,430,,,,,,,,,,,,,,,,,,,eoc received reports of flash floods reports at 0830hrs.the roads were destroyed following a heavy down pour that caused river perkera to divert its route and into the settlements. an elderly man was found dead as a result of drowning. approximately 430 families have been displaced.,eoc,,,08/09/2018,1
Bomet,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,heavy rainfall that swept away one body.,disinventer,,,29/04/2013,1
Bomet,,,,,Kiramwok,Kiramwok,0,1,0,,,,,,,,,,,,,,,,,,,,,,,"at 1010hrs benson (krcs busia) reported an incident, following the consistent rains in south rift; an eight year old boy was yesterday swept away by floods at kiramwok village while swimming in chepkositonik river with his other friends. the body has not been retrieved; search and recovery operations are still ongoing. (brief; 1 missing)",eoc,,,27/11/2015,1
Bomet,,Maralal,,,,Maralal,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"e.o.c received information of flash floods in maralal via mass media at 1100hrs, rcat team members reported that due to the heavy downpour experienced in maralal and poor drainage in the area caused the floods. no casualties or damaged property was reported from the incident.",eoc,,,20/09/2016,1
Bungoma,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,disinventer,,,14/05/2002,1
Bungoma,,,,,"Nanigi, Magogo, Waldena And Chwele Locations","Nanigi, Magogo, Waldena And Chwele Locations",,,,,,3019,165,,,,,,,,,,,,,,,,,,,,dref,14_may_2010mdrke012,,03/04/2010,1
Bungoma,,,,,"Kakichuma Location In Malakisi Division, Bungoma District.","Kakichuma Location In Malakisi Division, Bungoma District.",2,,,,,,5,,,,,,,,,,,,,,,,,,,,dref,14_may_2010mdrke012,,21/04/2010,1
Bungoma,,,,,Myanga,Myanga,3,0,1,,,,,,,,,,,,,,,,,,,,,,,"in bungoma myanga village, houses collapsed due to heavy rainfall the previous night and also the nearby river broke its banks. three people lost their lives and one person was injured during the incident.",eoc,,,16/05/2012,1
Bungoma,,,,,Bungoma,Bungoma,,,,,,,142,,,,,,,,,,,,,,,,,,,,dref,june_11th_2012_mdrke023,,11/06/2012,1
