,lat,lon,threshold_99perc,2yr_threshold,5yr_threshold,10yr_threshold,20yr_threshold,50yr_threshold,100yr_threshold,forecast_time
0,22,24,0.01,0.251757026,0.659260978,1.127810379,1.82456868,3.309182633,5.109154133,3
1,22,24,0.007597656,0.364048314,0.600828827,0.728026799,0.831780888,0.943814496,1.013912655,5
2,22,24,0.104882813,0.446454013,0.841541878,1.16104918,1.519664213,2.073867402,2.567864198,7
3,22,24,0.046875,0.401060627,0.702856448,0.937644781,1.193234602,1.574782636,1.90361704,10
4,22,25,0.0234375,0.320882269,0.718949752,1.114945908,1.639035776,2.616043001,3.659367693,3
5,22,25,0.01171875,0.290759693,0.69264385,1.096897353,1.636693367,2.65326193,3.749423754,5
6,22,25,0.140625,0.4842714,0.866446144,1.149578798,1.446157908,1.870052063,2.22019454,7
7,22,25,0.046875,0.374067502,0.742691715,1.066404742,1.454259823,2.099768071,2.717961718,10
8,22,26,0.00390625,0.328470464,0.734554378,1.110005969,1.578668913,2.395913621,3.214538373,3
9,22,26,0.0078125,0.297481705,0.740371429,1.215719602,1.884387181,3.221067257,4.746644797,5
10,22,26,0.100000001,0.339287855,0.633205527,0.87315104,1.144483476,1.567361946,1.947409145,7
11,22,26,0.03125,0.216134477,0.53487275,0.928727477,1.549615811,2.964597881,4.792299953,10
12,22,27,0,0.230967274,0.645157469,1.153480083,1.950393067,3.754958417,6.071926659,3
13,22,27,0,0.202888006,0.437330109,0.655440842,0.929055393,1.408885383,1.892145034,5
14,22,27,0.100000001,0.269357516,0.571036781,0.861299321,1.235334931,1.911669702,2.613147068,7
15,22,27,0.0234375,0.21590627,0.487874566,0.793163671,1.238420636,2.166217779,3.267620246,10
16,22,28,0,0.155141538,0.501474591,1.004596413,1.909800588,4.313824359,7.895519888,3
17,22,28,0,0.16030435,0.39210511,0.640795428,0.990514,1.689352661,2.48667285,5
18,22,28,0.100000001,0.237714454,0.549057471,0.871370021,1.311793238,2.163404036,3.105097774,7
19,22,28,0.01953125,0.184881539,0.417719172,0.667240613,1.017809869,1.717620186,2.515260677,10
20,22,29,0,0.088175111,0.281132997,0.555674957,1.041266142,2.305584305,4.154947118,3
21,22,29,0,0.11330255,0.323196456,0.597592834,1.050466699,2.138716715,3.615931441,5
22,22,29,0.100000001,0.22233238,0.468983277,0.70631725,1.012166343,1.565242414,2.138915547,7
23,22,29,0.02,0.152432939,0.339601765,0.55664677,0.881631726,1.579592307,2.432156407,10
24,22,30,0.00390625,0.239543626,0.520852198,0.786885198,1.125006054,1.726859192,2.34174545,3
25,22,30,0,0.24613089,0.516589481,0.773361374,1.100729706,1.68551767,2.285008903,5
26,22,30,0.118565624,0.294504783,0.628839651,0.951223534,1.367375103,2.12136172,2.904868157,7
27,22,30,0.029999999,0.216931007,0.466173276,0.729798647,1.096300355,1.819127914,2.633597561,10
28,22,31,0,0.163741189,0.455146087,0.832147714,1.449094735,2.917099313,4.891555985,3
29,22,31,0,0.177680679,0.390203346,0.597518939,0.867626407,1.362217855,1.881409155,5
30,22,31,0.090000004,0.246449419,0.462088423,0.628266925,0.807822086,1.073609795,1.300798586,7
31,22,31,0.029999999,0.195256064,0.439997463,0.700594852,1.064836166,1.787638138,2.606854585,10
32,22,32,0.01171875,0.244580066,0.547484188,0.847916787,1.244584406,1.98203941,2.767504012,3
33,22,32,0.01,0.252495128,0.600782483,0.977791785,1.511775703,2.587649086,3.824765456,5
34,22,32,0.119999997,0.271595575,0.5844771,0.890117199,1.288772853,2.019675633,2.787865012,7
35,22,32,0.046875,0.271670312,0.558678111,0.8258287,1.161098593,1.749323862,2.342016896,10
36,22,33,0.03125,0.344220418,0.872972348,1.497321759,2.445966242,4.517992464,7.089563346,3
37,22,33,0.02,0.307573055,0.629238604,0.933623536,1.320677938,2.01001699,2.714660694,5
38,22,33,0.15625,0.436596171,0.645732558,0.754505258,0.841048778,0.931945932,0.987259037,7
39,22,33,0.049781251,0.272253993,0.473990169,0.624881642,0.784131996,1.013685317,1.204879831,10
40,22,34,0.0078125,0.293554702,0.73742503,1.257744973,2.043679149,3.748701845,5.851292298,3
41,22,34,0.0078125,0.208150347,0.525166916,0.904829221,1.488339765,2.779773167,4.402604924,5
42,22,34,0.100000001,0.338894219,0.526868515,0.632096623,0.720703066,0.819830858,0.884094424,7
43,22,34,0.05859375,0.276179949,0.455467273,0.584042105,0.715328174,0.897645793,1.044054303,10
44,22,35,0.15625,1.087361441,1.699916035,2.076142357,2.416532879,2.829169512,3.118950723,3
45,22,35,0.144101562,0.876910353,1.543866219,2.069414658,2.647323294,3.519932781,4.280387981,5
46,22,35,0.3125,0.787822319,1.371587222,1.788514961,2.212865422,2.800027652,3.269867021,7
47,22,35,0.171875,0.667445203,1.10140147,1.395086853,1.681661891,2.059810883,2.348608412,10
48,22,36,0.300000012,1.999228801,2.585443704,2.805036014,2.941109324,3.049556181,3.099379313,3
49,22,36,0.300000012,1.425561126,2.187684383,2.672749969,3.123940666,3.688139858,4.096741871,5
50,22,36,0.529999971,1.478721473,2.106266612,2.402703054,2.621777063,2.833778748,2.95255112,7
51,22,36,0.267441406,0.815255686,1.391296834,1.821487255,2.27495526,2.927712326,3.470660844,10
52,22,37,0.27734375,1.582171937,3.036547289,4.619468456,6.871338266,11.43134525,16.69990573,3
53,22,37,0.276914062,1.609338278,2.587888904,3.23965774,3.867773155,4.685076046,5.300704591,5
54,22,37,0.557539062,1.392802469,2.046495478,2.472111081,2.875074476,3.389075584,3.768708779,7
55,22,37,0.4453125,1.277373431,1.691465195,1.877943585,2.010817709,2.134315338,2.200726625,10
56,23,24,0.01,0.286087563,0.438424683,0.515453763,0.575427845,0.636921191,0.673445661,3
57,23,24,0.01,0.287024455,0.426670781,0.492518362,0.541114923,0.588071536,0.614338325,5
58,23,24,0.09375,0.256709205,0.456616958,0.629018493,0.832631256,1.166010544,1.480282848,7
59,23,24,0.029999999,0.17933399,0.489797871,1.130236607,2.671986419,8.429166099,20.14178223,10
60,23,25,0.01,0.214265737,0.469798098,0.718659035,1.042467874,1.63449912,2.255081569,3
61,23,25,0.0078125,0.259123463,0.502754341,0.709686947,0.95114714,1.341106471,1.703870053,5
62,23,25,0.09375,0.26867322,0.482812423,0.652262719,0.839216107,1.122569981,1.37041155,7
63,23,25,0.029999999,0.311744265,0.556091259,0.745806996,0.952006174,1.259275726,1.523634809,10
64,23,26,0,0.177979784,0.424475221,0.682873468,1.039534052,1.737179295,2.517136506,3
65,23,26,0,0.18838077,0.514600579,0.935851793,1.624157415,3.259062931,5.454364277,5
66,23,26,0.064257813,0.202195352,0.404114286,0.590413133,0.822577402,1.226654989,1.630679172,7
67,23,26,0.02,0.171350813,0.402475041,0.662577051,1.042709944,1.836678338,2.781318541,10
68,23,27,0,0.163118639,0.431132506,0.741207792,1.204618936,2.197728813,3.408352743,3
69,23,27,0,0.144701997,0.364835325,0.609137389,0.962182706,1.690099706,2.545617281,5
70,23,27,0.059999999,0.165637319,0.377057092,0.604592902,0.925370859,1.56823413,2.303707474,7
71,23,27,0.01171875,0.111118459,0.286150686,0.506231554,0.858121545,1.673276019,2.742459355,10
72,23,28,0,0.228186954,0.578028563,0.962496735,1.513728605,2.64001197,3.952404176,3
73,23,28,0,0.150695054,0.269807762,0.359389257,0.45434157,0.591879461,0.706980619,5
74,23,28,0.050000001,0.183096794,0.321047742,0.426322429,0.539198179,0.704834196,0.845217874,7
75,23,28,0.0078125,0.103202201,0.283763341,0.513655871,0.884996739,1.75538834,2.909678404,10
76,23,29,0,0.151575599,0.425886351,0.776230343,1.343569288,2.677261185,4.450822338,3
77,23,29,0,0.19623503,0.268352827,0.289996059,0.301353278,0.308902222,0.311774118,5
78,23,29,0.039999999,0.154065735,0.351804546,0.559189925,0.845547642,1.405921277,2.032670662,7
79,23,29,0.01,0.114229072,0.287743077,0.489510329,0.792295747,1.444254024,2.242561499,10
80,23,30,0,0.15059858,0.364416062,0.592516412,0.91182085,1.546554701,2.267147405,3
81,23,30,0,0.123254975,0.315658484,0.528867532,0.836608748,1.470239234,2.213966842,5
82,23,30,0.039999999,0.169464104,0.382577671,0.607808029,0.920728895,1.537424588,2.231816538,7
83,23,30,0.01171875,0.145189617,0.298383526,0.447060987,0.639978502,0.991580148,1.359021495,10
84,23,31,0,0.164107545,0.369074602,0.572613753,0.841609693,1.342257577,1.87605951,3
85,23,31,0,0.135531626,0.326602356,0.54931874,0.884191298,1.606852549,2.49360142,5
86,23,31,0.039999999,0.164975828,0.300961711,0.405237957,0.517468205,0.682864831,0.823633432,7
87,23,31,0.015488281,0.164534133,0.296785644,0.412187324,0.549757746,0.777403894,0.994210616,10
88,23,32,0,0.119438378,0.44457696,1.005579029,2.168973071,5.815234181,12.14248758,3
89,23,32,0,0.14562057,0.327887945,0.509663219,0.750722601,1.201140612,1.68319106,5
90,23,32,0.061660156,0.188878284,0.386563127,0.560558189,0.769406373,1.117707637,1.451932332,7
91,23,32,0.02,0.216741777,0.404967533,0.565369549,0.753026071,1.0569947,1.340579163,10
92,23,33,0.02,0.28880964,0.721349583,1.268908732,2.149243402,4.20155562,6.909535093,3
93,23,33,0.02,0.316885071,0.666617232,0.995997478,1.413255458,2.153189343,2.906428625,5
94,23,33,0.109999999,0.292471726,0.534988878,0.722056098,0.924331004,1.224000312,1.480359256,7
95,23,33,0.025253906,0.209956681,0.370374558,0.49693175,0.636228935,0.846784187,1.030467807,10
96,23,34,0.054257812,0.42129486,1.131594431,2.056908551,3.579698243,7.226799566,12.16209633,3
97,23,34,0.0390625,0.464071072,0.918999588,1.325700713,1.819955355,2.655937457,3.46911123,5
98,23,34,0.150000006,0.471860149,0.705066171,0.831065967,0.934298904,1.046320833,1.116759203,7
99,23,34,0.046875,0.229877117,0.36353802,0.451448759,0.535340009,0.643299906,0.723738239,10
100,23,35,0.100000001,0.713078581,1.617121459,2.561205475,3.860306529,6.39248889,9.21397316,3
101,23,35,0.09375,0.530632854,1.021582106,1.444467557,1.943432106,2.759506267,3.52799823,5
102,23,35,0.25,0.580723009,1.074204749,1.468251916,1.906119446,2.575159838,3.164974043,7
103,23,35,0.14453125,0.565848095,0.909717973,1.129480028,1.334549467,1.591903258,1.778945658,10
104,23,36,0.125,0.8077923,1.388760334,1.8382972,2.325578458,3.049497519,3.670475102,3
105,23,36,0.125,0.74218747,1.112729263,1.33754548,1.539024335,1.780681994,1.948606876,5
106,23,36,0.265039062,0.697029943,1.172828547,1.55445927,1.980030798,2.632891079,3.210684886,7
107,23,36,0.230000004,0.703624759,1.110418823,1.386658529,1.656926819,2.014624521,2.288607629,10
108,23,37,0.577265625,3.630543072,6.359128474,8.816572487,11.82068488,16.93600429,21.94398694,3
109,23,37,0.549921875,2.592523154,4.589751934,6.461633005,8.823743892,12.99404033,17.22133569,5
110,23,37,0.765625,2.216849306,3.009218771,3.411846683,3.726509971,4.050494704,4.243739678,7
111,23,37,0.389999986,0.993602602,1.702074745,2.286455291,2.952700014,4.000724068,4.95110367,10
112,24,24,0.01,0.197066835,0.361468095,0.522620326,0.733398063,1.121064511,1.529740632,3
113,24,24,0.01,0.256667873,0.415972398,0.532448925,0.653201636,0.823788138,0.963094509,5
114,24,24,0.090000004,0.230522652,0.452622156,0.703974435,1.072988305,1.847757941,2.774108444,7
115,24,24,0.02734375,0.223408128,0.44154732,0.672191321,0.992747882,1.624750114,2.336653711,10
116,24,25,0.01,0.340435572,0.529773217,0.64301965,0.743391878,0.862296887,0.943910207,3
117,24,25,0.015625,0.252878426,0.380478155,0.463022258,0.540780384,0.639405646,0.711842661,5
118,24,25,0.100000001,0.296543214,0.504632004,0.67275186,0.86130654,1.152448389,1.41174522,7
119,24,25,0.029999999,0.245147578,0.48436578,0.746220492,1.120456532,1.882298228,2.766944063,10
120,24,26,0.023059375,0.404098731,0.682750388,0.872369622,1.058193784,1.304583517,1.49365129,3
121,24,26,0.0234375,0.31229972,0.540099101,0.734817579,0.963172808,1.33408274,1.68103956,5
122,24,26,0.100000001,0.286577246,0.444617049,0.548818348,0.648446478,0.77693506,0.872872921,7
123,24,26,0.039999999,0.245711121,0.509487241,0.808597083,1.248427506,2.173580968,3.281662272,10
124,24,27,0.0078125,0.228755057,0.421034574,0.562697328,0.710443442,0.920579026,1.093321738,3
125,24,27,0.01,0.253590713,0.507092464,0.736351528,1.017536023,1.498130188,1.97034391,5
126,24,27,0.09765625,0.26570232,0.416623446,0.528203637,0.644894673,0.811375429,0.948646264,7
127,24,27,0.029999999,0.232339604,0.489983001,0.800014819,1.278355578,2.341755576,3.683655515,10
128,24,28,0,0.120549755,0.377144982,0.766001945,1.490370932,3.493489633,6.591628029,3
129,24,28,0,0.208007749,0.397027174,0.553604067,0.732717668,1.015547407,1.272977709,5
130,24,28,0.0625,0.220396884,0.41431425,0.615157462,0.889701913,1.420793886,2.008304213,7
131,24,28,0.01,0.146573317,0.296308677,0.447555268,0.650188732,1.033257173,1.447826319,10
132,24,29,0,0.247617773,0.500346556,0.71320669,0.959931184,1.355384652,1.720571147,3
133,24,29,0,0.164331844,0.313686875,0.447734613,0.611150117,0.888536647,1.159282105,5
134,24,29,0.0625,0.224639495,0.366481265,0.471917001,0.582651442,0.741393245,0.872898176,7
135,24,29,0.015625,0.16578872,0.328950415,0.483759937,0.681035569,1.033237498,1.394100739,10
136,24,30,0,0.260121074,0.635606234,1.045306221,1.629327316,2.814711415,4.187304868,3
137,24,30,0,0.253697347,0.368625494,0.426250372,0.470826842,0.516204981,0.542962965,5
138,24,30,0.07,0.234970027,0.427808516,0.602694086,0.81766807,1.18602947,1.54885193,7
139,24,30,0.01,0.14525719,0.238657009,0.302516491,0.365330255,0.448964798,0.513405927,10
140,24,31,0,0.243007359,0.415682789,0.510662628,0.589561831,0.676504609,0.732022046,3
141,24,31,0,0.147496782,0.300764109,0.437165642,0.602336606,0.880566545,1.15014083,5
142,24,31,0.039690624,0.209529773,0.375895804,0.515576798,0.677076652,0.935199222,1.172913313,7
143,24,31,0.01,0.145035192,0.27202744,0.384116524,0.518959624,0.744413683,0.961287709,10
144,24,32,0.01,0.325351814,0.741252742,1.186039188,1.809915878,3.052944206,4.467190324,3
145,24,32,0.015625,0.276219496,0.486501621,0.63521473,0.785411694,0.991435659,1.15489225,5
146,24,32,0.100000001,0.308669301,0.514804435,0.647214086,0.771261701,0.927629759,1.04177747,7
147,24,32,0.0234375,0.255905424,0.416349797,0.529264549,0.642870449,0.798032588,0.920616216,10
148,24,33,0.00390625,0.240280193,0.73872829,1.564871791,3.221939177,8.216921544,16.58063354,3
149,24,33,0.00390625,0.291523392,0.482365942,0.604853074,0.719532302,0.863988594,0.969366847,5
