"Date";"station";"year";"dis";"dis_3day";"dis_7day";"name";"Deaths";"Affected";"flood"
1997-01-02;"G5200";"1997";44.569424;39.276066;33.263927;"Bulambuli";NA;NA;NA
1997-01-03;"G5200";NA;44.569424;39.276066;33.263927;"Bulambuli";NA;NA;NA
1997-01-04;"G5200";NA;44.569424;39.276066;33.263927;"Bulambuli";NA;NA;NA
1997-01-05;"G5200";"1997";40.48455;36.17134;33.73223;"Bulambuli";NA;NA;NA
1997-01-06;"G5200";NA;40.48455;36.17134;33.73223;"Bulambuli";NA;NA;NA
1997-01-07;"G5200";NA;40.48455;36.17134;33.73223;"Bulambuli";NA;NA;NA
1997-01-08;"G5200";NA;40.48455;36.17134;33.73223;"Bulambuli";NA;NA;NA
1997-01-09;"G5200";"1997";36.490532;32.13991;24.30891;"Bulambuli";NA;NA;NA
1997-01-10;"G5200";NA;36.490532;32.13991;24.30891;"Bulambuli";NA;NA;NA
1997-01-11;"G5200";NA;36.490532;32.13991;24.30891;"Bulambuli";NA;NA;NA
1997-01-12;"G5200";"1997";35.26143;31.27671;22.330656;"Bulambuli";NA;NA;NA
1997-01-13;"G5200";NA;35.26143;31.27671;22.330656;"Bulambuli";NA;NA;NA
1997-01-14;"G5200";NA;35.26143;31.27671;22.330656;"Bulambuli";NA;NA;NA
1997-01-15;"G5200";NA;35.26143;31.27671;22.330656;"Bulambuli";NA;NA;NA
1997-01-16;"G5200";"1997";29.540272;23.367317;18.103954;"Bulambuli";NA;NA;NA
1997-01-17;"G5200";NA;29.540272;23.367317;18.103954;"Bulambuli";NA;NA;NA
1997-01-18;"G5200";NA;29.540272;23.367317;18.103954;"Bulambuli";NA;NA;NA
1997-01-19;"G5200";"1997";24.646976;28.743668;23.372606;"Bulambuli";NA;NA;NA
1997-01-20;"G5200";NA;24.646976;28.743668;23.372606;"Bulambuli";NA;NA;NA
1997-01-21;"G5200";NA;24.646976;28.743668;23.372606;"Bulambuli";NA;NA;NA
1997-01-22;"G5200";NA;24.646976;28.743668;23.372606;"Bulambuli";NA;NA;NA
1997-01-23;"G5200";"1997";48.2777;36.58429;20.524662;"Bulambuli";NA;NA;NA
1997-01-24;"G5200";NA;48.2777;36.58429;20.524662;"Bulambuli";NA;NA;NA
1997-01-25;"G5200";NA;48.2777;36.58429;20.524662;"Bulambuli";NA;NA;NA
1997-01-26;"G5200";"1997";37.980587;24.536966;15.677157;"Bulambuli";NA;NA;NA
1997-01-27;"G5200";NA;37.980587;24.536966;15.677157;"Bulambuli";NA;NA;NA
1997-01-28;"G5200";NA;37.980587;24.536966;15.677157;"Bulambuli";NA;NA;NA
1997-01-29;"G5200";NA;37.980587;24.536966;15.677157;"Bulambuli";NA;NA;NA
1997-01-30;"G5200";"1997";22.413849;16.287117;10.190045;"Bulambuli";NA;NA;NA
1997-01-31;"G5200";NA;22.413849;16.287117;10.190045;"Bulambuli";NA;NA;NA
1997-02-01;"G5200";NA;22.413849;16.287117;10.190045;"Bulambuli";NA;NA;NA
1997-02-02;"G5200";"1997";16.577192;11.643159;6.520634;"Bulambuli";NA;NA;NA
1997-02-03;"G5200";NA;16.577192;11.643159;6.520634;"Bulambuli";NA;NA;NA
1997-02-04;"G5200";NA;16.577192;11.643159;6.520634;"Bulambuli";NA;NA;NA
1997-02-05;"G5200";NA;16.577192;11.643159;6.520634;"Bulambuli";NA;NA;NA
1997-02-06;"G5200";"1997";10.845787;7.0816255;4.7353005;"Bulambuli";NA;NA;NA
1997-02-07;"G5200";NA;10.845787;7.0816255;4.7353005;"Bulambuli";NA;NA;NA
1997-02-08;"G5200";NA;10.845787;7.0816255;4.7353005;"Bulambuli";NA;NA;NA
1997-02-09;"G5200";"1997";8.126506;5.6463404;4.349255;"Bulambuli";NA;NA;NA
1997-02-10;"G5200";NA;8.126506;5.6463404;4.349255;"Bulambuli";NA;NA;NA
1997-02-11;"G5200";NA;8.126506;5.6463404;4.349255;"Bulambuli";NA;NA;NA
1997-02-12;"G5200";NA;8.126506;5.6463404;4.349255;"Bulambuli";NA;NA;NA
1997-02-13;"G5200";"1997";6.2565074;5.2427583;4.062873;"Bulambuli";NA;NA;NA
1997-02-14;"G5200";NA;6.2565074;5.2427583;4.062873;"Bulambuli";NA;NA;NA
1997-02-15;"G5200";NA;6.2565074;5.2427583;4.062873;"Bulambuli";NA;NA;NA
1997-02-16;"G5200";"1997";5.8029604;4.7768884;3.6412697;"Bulambuli";NA;NA;NA
1997-02-17;"G5200";NA;5.8029604;4.7768884;3.6412697;"Bulambuli";NA;NA;NA
1997-02-18;"G5200";NA;5.8029604;4.7768884;3.6412697;"Bulambuli";NA;NA;NA
1997-02-19;"G5200";NA;5.8029604;4.7768884;3.6412697;"Bulambuli";NA;NA;NA
1997-02-20;"G5200";"1997";5.11372;3.7829478;2.8716984;"Bulambuli";NA;NA;NA
1997-02-21;"G5200";NA;5.11372;3.7829478;2.8716984;"Bulambuli";NA;NA;NA
1997-02-22;"G5200";NA;5.11372;3.7829478;2.8716984;"Bulambuli";NA;NA;NA
1997-02-23;"G5200";"1997";4.3272467;3.282003;1.8248355;"Bulambuli";NA;NA;NA
1997-02-24;"G5200";NA;4.3272467;3.282003;1.8248355;"Bulambuli";NA;NA;NA
1997-02-25;"G5200";NA;4.3272467;3.282003;1.8248355;"Bulambuli";NA;NA;NA
1997-02-26;"G5200";NA;4.3272467;3.282003;1.8248355;"Bulambuli";NA;NA;NA
1997-02-27;"G5200";"1997";3.6375701;2.4988725;0.019290201;"Bulambuli";NA;NA;NA
1997-02-28;"G5200";NA;3.6375701;2.4988725;0.019290201;"Bulambuli";NA;NA;NA
1997-03-01;"G5200";NA;3.6375701;2.4988725;0.019290201;"Bulambuli";NA;NA;NA
1997-03-02;"G5200";"1997";2.8935695;0.014447346;0.011514874;"Bulambuli";NA;NA;NA
1997-03-03;"G5200";NA;2.8935695;0.014447346;0.011514874;"Bulambuli";NA;NA;NA
1997-03-04;"G5200";NA;2.8935695;0.014447346;0.011514874;"Bulambuli";NA;NA;NA
1997-03-05;"G5200";NA;2.8935695;0.014447346;0.011514874;"Bulambuli";NA;NA;NA
1997-03-06;"G5200";"1997";0.010509868;0.010199103;0.01120495;"Bulambuli";NA;NA;NA
