disaster_type,country,disaster_id,adm1_name,adm1_pcode,adm2_name,adm2_pcode,adm3_name,adm3_pcode,location,people_dead,people_injured,people_displaced,people_affected,house_destroyed,house_damaged,household_displaced,household_affected,livestock_lost,livestock_affected,lost_crops_ha,road,bridge,school,sewerage_latrine,aqueduct,wall,hospital_health_center,drainage,institution_church_mosque,industry,energy,communication,agriculture,date_event,start_date_event,end_date_event,date_recorded,data_source,data_source_other,data_source_url,comments,data_quality_score
FLOODS,Malawi,,Northern,MW1,Rumphi,MW104, Chikulamayembe,MW10401,Chikulamayembe,0,0,,,0,3000,,,,,,,,,,,,,,,,,,,1/2/2003,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Dedza,MW208, Kachindamoto,MW20807,,0,0,,,0,869,,,,,,,,,,,,,,,,,,,1/3/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Chikwawa,MW310, Kasisi,MW31006,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,7/2/2006,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Northern,MW1,Nkhata Bay,MW103, Malengamzoma,MW10303,,0,0,,,0,369,,,,,,,,,,,,,,,,,,,1/4/2002,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Chikwawa,MW310, Maseya,MW31004,,0,0,,,0,16661,,,,,,,,,,,,,,,,,,,1/12/2000,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Nsanje,MW311, Mbenje,MW31106,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,1/2/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Nkhotakota,MW202, Mphonde ,MW20204,Mphonde,0,0,,,0,97,,,,,,,,,,,,,,,,,,,1/2/2003,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Nkhotakota,MW202, Mwadzama,MW20205,,0,0,,,0,148,,,,,,,,,,,,,,,,,,,1/3/2000,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Salima,MW205, Pemba,MW20503,,0,0,,,0,250,,,,,,,,,,,,,,,,,,,17-03-06,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Northern,MW1,Karonga,MW102, Wasambo,MW10204,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,25-04-08,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Lilongwe,MW206,biwi,,biwi,0,6,,,0,360,,,,,,,,,,,,,,,,,,,16-12-17,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Lilongwe,MW206,biwi,,biwi,0,0,,,0,402,,,,,,,,,,,,,,,,,,,16-12-17,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Northern,MW1,Rumphi,MW104,Bwengu,,Bwengu,0,0,,,0,951,,,,,,,,,,,,,,,,,,,5/1/2008,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Northern,MW1,Mzimba,MW105,Bwengu,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,15-02-07,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Dowa,MW204,Chakhaza ,MW20402,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,3/1/2003,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Thyolo,MW307,Changata ,MW30704,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,1/2/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Ntcheu,MW209,Chankumbira ,,Chankumbira,0,0,,,0,29,,,,,,,,,,,,,,,,,,,13-01-05,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Chikwawa,MW310,Chapananga,MW31003,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,7/2/2006,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Chikwawa,MW310,Chapananga,MW31003,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,26-11-06,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Balaka,MW312,Chief Kalembo,,,0,0,,,0,1488,,,,,,,,,,,,,,,,,,,1/3/2002,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Blantyre,MW305,Chigaru,MW30503,,0,0,,,0,399,,,,,,,,,,,,,,,,,,,28-02-14,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Blantyre,MW305,Chigaru ,MW30503,,0,0,,,0,150,,,,,,,,,,,,,,,,,,,1/2/2002,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Blantyre,MW305,Chigaru ,MW30503,,0,0,,,0,2000,,,,,,,,,,,,,,,,,,,1/2/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Zomba,MW303,Chikowi ,MW30304,Chikowi,0,0,,,0,69,,,,,,,,,,,,,,,,,,,24-02-04,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLASH FLOODS,Malawi,,Northern,MW1,Rumphi,MW104,Chikulamayembe ,MW10401,Chikalamba,0,0,,,0,169,,,,,,,,,,,,,,,,,,,14-02-16,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLASH FLOODS,Malawi,,Northern,MW1,Rumphi,MW104,Chikulamayembe ,MW10401,Mlongoti,0,0,,,0,0,,,,,,,,,,,,,,,,,,,14-02-16,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Machinga,MW302,Chikweo,MW30207,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,1/2/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Machinga,MW302,Chikweo ,MW30207,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,7/3/2006,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Dedza,MW208,Chilikumwendo ,MW20802,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,1/3/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Thyolo,MW307,Chimaliro,MW30709,,0,0,,,0,316,,,,,,,,,,,,,,,,,,,11/11/2012,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Thyolo,MW307,Chimaliro,MW30709,,0,0,,,0,617,,,,,,,,,,,,,,,,,,,1/2/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Nsanje,MW311,Chimombo  ,MW31102,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,1/2/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chimwala,MW30102,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,9/2/2008,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chimwala,MW30102,,0,0,,,0,102,,,,,,,,,,,,,,,,,,,3/1/2006,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chimwala ,MW30102,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,8/3/2006,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chimwala ,MW30102,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,8/1/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Lilongwe,MW206,Chitukula ,MW20608,,0,0,,,0,120,,,,,,,,,,,,,,,,,,,3/1/2003,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mulanje,MW308,Chiwalo,,Chiwalo,0,0,,,0,0,,,,,,,,,,,,,,,,,,,16-02-04,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Phalombe,MW309,Chiwalo,MW30903,,0,0,,,0,129,,,,,,,,,,,,,,,,,,,1/3/2002,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Dowa,MW204,Chiwere ,MW20404,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,3/1/2003,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Northern,MW1,Karonga,MW102,Chobobola,,,0,0,,,0,3587,,,,,,,,,,,,,,,,,,,12/4/2016,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chowe,MW30106,,0,0,,,0,1007,,,,,,,,,,,,,,,,,,,18-02-14,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chowe,MW30106,,0,0,,,0,1525,,,,,,,,,,,,,,,,,,,10/1/2014,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chowe,MW30106,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,13-02-07,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chowe,MW30106,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,8/3/2006,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chowe,MW30106,,0,0,,,0,8447,,,,,,,,,,,,,,,,,,,8/1/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Southern,MW3,Mangochi,MW301,Chowe ,MW30106,Chowe,0,0,,,0,20,,,,,,,,,,,,,,,,,,,19-01-05,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Mchinji,MW207,Dambe ,MW20706,,0,0,,,0,2000,,,,,,,,,,,,,,,,,,,1/1/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Northern,MW1,Rumphi,MW104,Engucwini,,Engucwini,0,0,,,0,0,,,,,,,,,,,,,,,,,,,5/1/2008,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Northern,MW1,Nkhata Bay,MW103,Fukamapili ,MW10307,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,1/4/2002,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Ntcheu,MW209,Ganya,MW20908,Masese,0,0,,,0,176,,,,,,,,,,,,,,,,,,,9/2/2017,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Ntcheu,MW209,Ganya,MW20909,,0,0,,,0,40,,,,,,,,,,,,,,,,,,,23-11-11,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Ntcheu,MW209,Ganya,MW20910,,0,0,,,0,72,,,,,,,,,,,,,,,,,,,14-02-07,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Ntcheu,MW209,Ganya,MW20911,,0,0,,,0,1037,,,,,,,,,,,,,,,,,,,18-03-06,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Ntcheu,MW209,Ganya,MW20912,Ganya,0,0,,,0,0,,,,,,,,,,,,,,,,,,,4/1/2003,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Ntcheu,MW209,Ganya ,MW20913,,0,0,,,0,571,,,,,,,,,,,,,,,,,,,4/4/2008,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Ntcheu,MW209,Ganya ,MW20914,,0,0,,,0,1037,,,,,,,,,,,,,,,,,,,12/3/2006,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Central,MW2,Ntcheu,MW209,Ganya  ,MW20915,,0,0,,,0,737,,,,,,,,,,,,,,,,,,,1/1/2001,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Northern,MW1,Karonga,MW102,Gwereweta,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,12/4/2016,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLASH FLOODS,Malawi,,Northern,MW1,Mzimba,MW105,Jalavikuwa,MW10504,Robert Chava,1,0,,,0,322,,,,,,,,,,,,,,,,,,,6/2/2016,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
FLOODS,Malawi,,Northern,MW1,Rumphi,MW104,Jalavikuwa,MW10504,Jalavikuwa,0,0,,,0,0,,,,,,,,,,,,,,,,,,,1/2/2003,,,,UNDRR DesInventar,,https://www.desinventar.net/DesInventar,,
