serial,admin_level_0_code,admin_level_1_code,admin_level_2_code,admin_level_0_name,admin_level_1_name,admin_level_2_name,event,location,year,month,day,deaths,injured,missing,affected,houses_destroyed,houses_damaged,others,sources,losses $loc,losses $usd,date,health,education,agriculture,industry,aqueduct,sewerage,energy,communication,cause,damaged roads,magnitude,damaged hospitals,damaged education centers,damage in crops Ha.,lost cattle,evacuated,relocated,latitude,longitude,comments
7056,22.0,,,MACHAKOS,,,FLOOD,kiukoni area,2013,4,13,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,one person drowned in the dam
7057,22.0,,,MACHAKOS,,,FLOOD,muthetheni,2013,4,11,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,one person was swept away by while crossing the river.
7058,22.0,,,MACHAKOS,,,FLOOD,wamuyu location,2013,4,13,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,one boy sunk in the toilet.
7059,23.0,,,MAKUENI,,,FLOOD,Sultan hamud,2013,4,11,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,woman swept away by river muooni and body retrieved in masimba 35km away.
7060,45.0,,,VIHIGA,,,FLOOD,mulundu village,2013,4,13,1,0,0,0,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,one person drowned in river mugogo.
7061,22.0,,,MACHAKOS,,,FLOOD,Mavoloni,2013,4,14,3,0,0,8,0,0,,KP,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,Heavy rainfall causing destruction of houses
7062,29.0,,,MURANGA,,,FLOOD,kairo,2013,4,14,0,0,0,5,0,0,,kp,0,0,2016-05-18,-1,0,0,0,0,0,0,0,Rain,0,,0,0,0.0,0,0,0,0.0,0.0,heavy downpour causing flash floods that swept away houses.
7063,44.0,,,UASIN-GISHU,,,FLOOD,Timboroa,2013,4,15,0,0,0,36,0,0,,kp,0,0,2016-05-18,-1,0,0,0,0,0,0,-1,Rain,-1,,0,0,0.0,0,0,0,0.0,0.0,windy rain blows away roof houses were destroyed.
5440,30.0,,,NAIROBI,,,STRUCTURAL COLLAPSE,Nairobi area River side,2014,7,15,0,1,0,0,0,0,,,0,0,2016-03-16,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.27589494343854,36.8515055,One person was injured.
1019,43.0,,,TURKANA,,,EPIDEMIC,,2007,3,1,0,0,0,0,0,0,,GoK,0,0,,-1,0,0,0,0,0,0,0,Contamination,0,,0,0,0.0,0,0,0,0.0,0.0,
5441,30.0,,,NAIROBI,,,STRUCTURAL COLLAPSE,Makongeni,2014,12,17,0,0,0,0,0,0,,,0,0,2016-03-16,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.29374323811898,36.8281595527344,Several people were injured and 7 others died.
5442,30.0,,,NAIROBI,,,STRUCTURAL COLLAPSE,Huruma,2015,1,4,0,0,0,0,0,0,,KP,0,0,2016-03-16,-1,0,0,0,0,0,0,0,Other cause,0,,0,0,0.0,0,0,0,-1.3198289809206798,36.928409796875,3 people died and 42 injured.
5443,30.0,,,NAIROBI,,,STRUCTURAL COLLAPSE,Roysambu,2015,4,2,0,0,0,0,0,0,,KP,0,0,2016-03-16,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.23333312884861,36.8830911933594,1 person died and 1 injured.
5444,31.0,,,NAKURU,,,STRUCTURAL COLLAPSE,Elimu High School,2015,4,12,0,0,0,0,0,0,,KP,0,0,2016-03-16,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-0.309202031076404,36.1044351875,"1 person died and 1 injured,"
5446,17.0,,,KISUMU,,,STRUCTURAL COLLAPSE,Kondele,2015,6,3,0,0,0,0,0,0,,KP,0,0,2016-03-16,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-0.0784906167385633,34.7146646796875,"9 people were injured, no deaths."
5447,9.0,,,KAJIADO,,,STRUCTURAL COLLAPSE,Ongata Rongai,2015,9,6,0,0,0,0,0,0,,KP,0,0,2016-03-16,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-1.38847435098671,36.72516272656249,1 person died and 1 injured.
5448,17.0,,,KISUMU,,,STRUCTURAL COLLAPSE,Manyatta Estate,2015,6,3,0,0,0,0,0,0,,KP,0,0,2016-03-16,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-0.13342216133034,34.76410315625,"30 people were injured, no deaths."
7010,27.0,,,MIGORI,,,WINDSTORM,East Kano,2015,3,24,1,0,0,0,0,0,,KP,0,0,2016-03-29,-1,0,0,0,0,0,0,0,Unknown,0,,0,0,0.0,0,0,0,-0.99030656454061,34.45648596875,1 died and no injuries reported
1020,19.0,,,KWALE,,,EPIDEMIC,,2007,1,1,0,0,0,0,0,0,,GoK,0,0,,-1,0,0,0,0,0,0,0,Contamination,0,,0,0,0.0,0,0,0,0.0,0.0,
21973,30.0,,,NAIROBI,,,FIRE,kiangombe village Embakasi,2016,9,5,2,0,0,0,0,0,Twenty kiosks were burnt,KP,0,0,2016-09-08,-1,0,0,-1,0,0,0,0,H. Behaviour,0,,0,0,0.0,0,0,0,-1.3314988302260802,36.9043772041016,Property of known value  was  destroyed
1,31.0,,,NAKURU,,,WINDSTORM,Njoro Police Lines,2011,3,3,0,0,0,0,0,1,,KPR,100000,0,,0,0,0,0,0,0,0,0,Windstorm,0,,0,0,0.0,0,0,0,0.0,0.0,
2,31.0,,,NAKURU,,,FLOOD,Free area,2011,2,17,1,0,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,0,0.0,0.0,
3,28.0,,,MOMBASA,,,FLOOD,Makupa,2011,2,18,1,4,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,0,0.0,0.0,
4,42.0,,,TRANS-NZOIA,,,FLOOD,Nzoia Village,2011,2,19,0,0,0,0,0,0,house and household goods,KPR,2500000,0,,0,0,0,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,0,0.0,0.0,
5,10.0,,,KAKAMEGA,,,FLOOD,Shilamura area,2011,2,21,1,0,0,0,0,0,,KPR,0,0,,0,0,0,0,0,0,0,0,El Niño,0,,0,0,0.0,0,0,0,0.0,0.0,
