date,year,month,district,DMP
2012-02-01,2012,2,DOKOLO,4019
2012-02-01,2012,2,BUGIRI,6688
2012-02-01,2012,2,KABALE,6784
2012-02-01,2012,2,BULAMBULI,5074
2012-02-01,2012,2,MASINDI,18268
2012-02-01,2012,2,NAMAYINGO,3150
2012-02-01,2012,2,BUSIA,4577
2012-02-01,2012,2,AMUDAT,6495
2012-02-01,2012,2,JINJA,5660
2012-02-01,2012,2,MARACHA,1355
2012-02-01,2012,2,SHEEMA,8255
2012-02-01,2012,2,RUBANDA,8805
2012-02-01,2012,2,NTUNGAMO,22282
2012-02-01,2012,2,KAYUNGA,10258
2012-02-01,2012,2,ARUA,11704
2012-02-01,2012,2,NAKASONGOLA,18842
2012-02-01,2012,2,SOROTI,5618
2012-02-01,2012,2,MBARARA,16681
2012-02-01,2012,2,GOMBA,15894
2012-02-01,2012,2,KATAKWI,7245
2012-02-01,2012,2,BUKWO,6445
2012-02-01,2012,2,ABIM,7534
2012-02-01,2012,2,MASAKA,12220
2012-02-01,2012,2,RAKAI,25949
2012-02-01,2012,2,ALEBTONG,5420
2012-02-01,2012,2,APAC,10965
2012-02-01,2012,2,NEBBI,3140
2012-02-01,2012,2,LIRA,5186
2012-02-01,2012,2,YUMBE,4762
2012-02-01,2012,2,KIRUHURA,38008
2012-02-01,2012,2,NAMUTUMBA,4680
2012-02-01,2012,2,PALLISA,3265
2012-02-01,2012,2,MAYUGE,9237
2012-02-01,2012,2,ISINGIRO,24546
2012-02-01,2012,2,KABERAMAIDO,5419
2012-02-01,2012,2,KAGADI,10544
2012-02-01,2012,2,KYEGEGWA,15546
2012-02-01,2012,2,MBALE,3813
2012-02-01,2012,2,KIBUKU,2406
2012-02-01,2012,2,SIRONKO,5163
2012-02-01,2012,2,LWENGO,10001
2012-02-01,2012,2,AMOLATAR,5099
2012-02-01,2012,2,SERERE,6848
2012-02-01,2012,2,LUUKA,4481
2012-02-01,2012,2,LUWERO,15746
2012-02-01,2012,2,KABAROLE,15386
2012-02-01,2012,2,BUNYANGABU,4935
2012-02-01,2012,2,RUKUNGIRI,17760
2012-02-01,2012,2,NWOYA,12278
2012-02-01,2012,2,BUDUDA,4770
2012-02-01,2012,2,BUNDIBUGYO,9182
2012-02-01,2012,2,KYOTARA,8428
2012-02-01,2012,2,KAMPALA,768
2012-02-01,2012,2,LYANTONDE,7231
2012-02-01,2012,2,RUBIRIZI,11026
2012-02-01,2012,2,BUVUMA,3047
2012-02-01,2012,2,MITYANA,14645
2012-02-01,2012,2,AMURU,8225
2012-02-01,2012,2,AGAGO,10522
2012-02-01,2012,2,KIRYANDONGO,13782
2012-02-01,2012,2,OMORO,5415
2012-02-01,2012,2,NAMISINDWA,3291
2012-02-01,2012,2,RUKIGA,4288
2012-02-01,2012,2,KALIRO,3919
2012-02-01,2012,2,BUSHENYI,10998
2012-02-01,2012,2,MANAFWA,1460
2012-02-01,2012,2,KIBOGA,11232
2012-02-01,2012,2,LAMWO,10896
2012-02-01,2012,2,NAPAK,10196
2012-02-01,2012,2,KAMWENGE,21577
2012-02-01,2012,2,BUYENDE,6759
2012-02-01,2012,2,BULIISA,5412
2012-02-01,2012,2,SSEMBABULE,20183
2012-02-01,2012,2,NGORA,2860
2012-02-01,2012,2,IBANDA,8740
2012-02-01,2012,2,MOROTO,12665
2012-02-01,2012,2,KALUNGU,7759
2012-02-01,2012,2,OTUKE,4850
2012-02-01,2012,2,PAKWACH,1961
2012-02-01,2012,2,KASESE,30163
2012-02-01,2012,2,PADER,9341
2012-02-01,2012,2,BUTAMBALA,5166
2012-02-01,2012,2,KYANKWANZI,12918
2012-02-01,2012,2,MOYO,2819
2012-02-01,2012,2,KIBAALE,10360
2012-02-01,2012,2,KISORO,10328
2012-02-01,2012,2,KUMI,4156
2012-02-01,2012,2,BUKEDEA,4862
