,time,dis,dis_3,dis_7,max_dt_3days,3max_dt_3days,7max_dt_3days,station
1997-01-02,1997-01-02,357.45935,517.94073,411.38312,438.5185241699219,518.8051147460938,491.2185974121094,G5657
1997-01-05,1997-01-05,402.0313,306.3575,407.29614,464.9251708984375,518.8051147460938,538.610595703125,G5657
1997-01-09,1997-01-09,291.47577,352.0468,491.2186,464.9251708984375,518.8051147460938,538.610595703125,G5657
1997-01-12,1997-01-12,438.51852,518.8051,442.735,464.9251708984375,565.54052734375,538.610595703125,G5657
1997-01-16,1997-01-16,464.92517,430.98624,538.6106,464.9251708984375,565.54052734375,538.610595703125,G5657
1997-01-19,1997-01-19,461.98688,390.09033,326.99353,464.9251708984375,565.54052734375,538.610595703125,G5657
1997-01-23,1997-01-23,441.86264,565.5405,369.40485,464.9251708984375,565.54052734375,538.610595703125,G5657
1997-01-26,1997-01-26,410.066,266.48196,280.83713,464.9251708984375,565.54052734375,667.2723999023438,G5657
1997-01-30,1997-01-30,278.04257,249.47841,393.0814,461.98687744140625,565.54052734375,667.2723999023438,G5657
1997-02-02,1997-02-02,334.06485,479.07422,420.86566,441.8626403808594,565.54052734375,667.2723999023438,G5657
1997-02-06,1997-02-06,340.4831,411.10956,667.2724,410.0660095214844,479.07421875,850.0164794921875,G5657
1997-02-09,1997-02-09,336.0856,467.45123,450.7142,823.8336181640625,479.07421875,1046.68017578125,G5657
1997-02-13,1997-02-13,396.27618,324.47607,585.912,823.8336181640625,479.07421875,1046.68017578125,G5657
1997-02-16,1997-02-16,346.0184,442.05157,850.0165,823.8336181640625,535.9266967773438,1046.68017578125,G5657
1997-02-20,1997-02-20,823.8336,457.11642,1046.6802,823.8336181640625,535.9266967773438,1046.68017578125,G5657
1997-02-23,1997-02-23,429.9498,344.02377,243.60507,823.8336181640625,535.9266967773438,1046.68017578125,G5657
1997-02-27,1997-02-27,323.55313,535.9267,597.01575,823.8336181640625,535.9266967773438,1046.68017578125,G5657
1997-03-02,1997-03-02,433.9059,414.70264,284.92117,823.8336181640625,535.9266967773438,1046.68017578125,G5657
1997-03-06,1997-03-06,483.34976,353.21436,222.87428,483.3497619628906,535.9266967773438,597.0157470703125,G5657
1997-03-09,1997-03-09,321.31284,224.05022,205.8211,483.3497619628906,535.9266967773438,597.0157470703125,G5657
1997-03-13,1997-03-13,209.71077,182.1869,130.44041,483.3497619628906,414.70263671875,284.9211730957031,G5657
1997-03-16,1997-03-16,184.98582,159.87846,114.75268,483.3497619628906,353.21435546875,222.87428283691406,G5657
1997-03-20,1997-03-20,156.8826,148.90941,118.94633,321.3128356933594,224.0502166748047,205.82110595703125,G5657
1997-03-23,1997-03-23,175.65001,169.22379,124.04941,209.7107696533203,599.69384765625,780.6093139648438,G5657
1997-03-27,1997-03-27,160.17348,137.773,161.02533,598.3263549804688,728.6728515625,780.6093139648438,G5657
1997-03-30,1997-03-30,138.13785,120.12744,168.27666,598.3263549804688,728.6728515625,780.6093139648438,G5657
1997-04-03,1997-04-03,198.91539,599.69385,780.6093,598.3263549804688,728.6728515625,780.6093139648438,G5657
1997-04-06,1997-04-06,598.32635,728.67285,406.42343,598.3263549804688,728.6728515625,780.6093139648438,G5657
1997-04-10,1997-04-10,345.99432,221.3229,135.53514,598.3263549804688,728.6728515625,780.6093139648438,G5657
1997-04-13,1997-04-13,221.84442,165.49033,112.11116,598.3263549804688,728.6728515625,780.6093139648438,G5657
1997-04-17,1997-04-17,158.60246,134.31528,98.53576,598.3263549804688,728.6728515625,406.4234313964844,G5657
1997-04-20,1997-04-20,137.15143,121.565346,93.11389,345.99432373046875,221.32290649414062,135.53514099121094,G5657
1997-04-24,1997-04-24,120.7027,110.24096,84.83313,221.84442138671875,165.49032592773438,112.11116027832031,G5657
1997-04-27,1997-04-27,112.39179,103.76162,80.38352,158.6024627685547,134.31527709960938,98.53575897216797,G5657
1997-05-01,1997-05-01,103.44071,95.6698,74.63895,137.15142822265625,121.56534576416016,93.1138916015625,G5657
1997-05-04,1997-05-04,97.14619,89.74787,70.440834,120.70269775390625,110.24095916748047,84.8331298828125,G5657
1997-05-08,1997-05-08,89.107956,82.39065,64.95785,112.39179229736328,103.7616195678711,80.3835220336914,G5657
1997-05-11,1997-05-11,83.36501,77.07779,61.06452,103.44071197509766,95.6697998046875,74.63894653320312,G5657
1997-05-15,1997-05-15,76.17299,70.43035,56.182003,97.14618682861328,89.74787139892578,70.44083404541016,G5657
1997-05-18,1997-05-18,71.034676,65.73269,52.65236,89.10795593261719,82.3906478881836,64.95784759521484,G5657
1997-05-22,1997-05-22,64.7361,59.910812,48.464508,83.3650131225586,77.07778930664062,61.06452178955078,G5657
1997-05-25,1997-05-25,60.368816,56.035316,45.802498,76.17298889160156,70.43035125732422,56.182003021240234,G5657
1997-05-29,1997-05-29,55.23214,51.636684,42.465027,71.03467559814453,65.7326889038086,52.65235900878906,G5657
1997-06-01,1997-06-01,52.086933,48.637005,40.352577,64.73609924316406,59.91081237792969,48.464508056640625,G5657
1997-06-05,1997-06-05,48.046528,45.071514,37.908703,60.36881637573242,56.035316467285156,45.80249786376953,G5657
1997-06-08,1997-06-08,45.382816,42.664383,36.31885,55.232139587402344,51.63668441772461,42.46502685546875,G5657
1997-06-12,1997-06-12,42.11241,39.757294,34.507866,52.08693313598633,48.63700485229492,40.352577209472656,G5657
1997-06-15,1997-06-15,39.971287,37.867867,33.359562,48.04652786254883,45.07151412963867,37.9087028503418,G5657
1997-06-19,1997-06-19,37.441166,35.615158,32.026417,45.382816314697266,42.66438293457031,36.318851470947266,G5657
1997-06-22,1997-06-22,35.73109,34.16491,31.148035,42.11241149902344,39.757293701171875,34.50786590576172,G5657
1997-06-26,1997-06-26,33.720676,32.434692,30.17795,39.97128677368164,37.86786651611328,33.359561920166016,G5657
1997-06-29,1997-06-29,32.458397,31.434278,29.905172,37.441165924072266,35.61515808105469,32.02641677856445,G5657
1997-07-03,1997-07-03,31.225653,30.702946,29.512512,35.7310905456543,34.16490936279297,31.148035049438477,G5657
1997-07-06,1997-07-06,30.754177,30.233217,29.338747,33.72067642211914,32.4346923828125,30.177949905395508,G5657
1997-07-10,1997-07-10,30.233139,29.862732,29.214077,32.458396911621094,31.43427848815918,29.90517234802246,G5657
1997-07-13,1997-07-13,29.939505,29.582056,29.074707,31.22565269470215,30.702945709228516,29.51251220703125,G5657
1997-07-17,1997-07-17,29.567905,29.413738,29.064894,30.75417709350586,30.233217239379883,29.338747024536133,G5657
1997-07-20,1997-07-20,29.43054,29.351616,28.93635,30.233139038085938,29.86273193359375,29.21407699584961,G5657
1997-07-24,1997-07-24,29.29976,29.081707,28.761015,29.939504623413086,29.582056045532227,29.07470703125,G5657
1997-07-27,1997-07-27,29.076754,28.923508,28.674097,29.56790542602539,29.413738250732422,29.06489372253418,G5657
1997-07-31,1997-07-31,28.882402,28.758327,28.438622,29.430540084838867,29.35161590576172,28.936349868774414,G5657
1997-08-03,1997-08-03,28.73857,28.574358,28.226463,29.299760818481445,29.081707000732422,28.761014938354492,G5657
1997-08-07,1997-08-07,28.516666,28.346964,28.167004,29.076753616333008,28.923507690429688,28.674097061157227,G5657
1997-08-10,1997-08-10,28.35501,28.344807,27.966707,28.882402420043945,28.75832748413086,28.438621520996094,G5657
1997-08-14,1997-08-14,28.22748,28.068678,27.751987,28.738569259643555,28.574357986450195,28.226463317871094,G5657
1997-08-17,1997-08-17,28.03788,27.889608,27.578766,28.516666412353516,28.34696388244629,28.167003631591797,G5657
1997-08-21,1997-08-21,27.825314,27.638704,27.369333,28.355009078979492,28.344806671142578,27.966707229614258,G5657
1997-08-24,1997-08-24,27.622309,27.430943,27.156324,28.227479934692383,28.06867790222168,27.75198745727539,G5657
1997-08-28,1997-08-28,27.366259,27.22294,26.883432,28.037879943847656,27.88960838317871,27.578765869140625,G5657
1997-08-31,1997-08-31,27.187742,26.996307,26.619596,27.825313568115234,27.638704299926758,27.369333267211914,G5657
1997-09-04,1997-09-04,26.885872,26.658104,26.36697,27.6223087310791,27.43094253540039,27.15632438659668,G5657
1997-09-07,1997-09-07,26.6277,26.469696,26.24706,27.36625862121582,27.22294044494629,26.883432388305664,G5657
1997-09-11,1997-09-11,26.335896,26.190073,26.4256,27.187742233276367,26.996307373046875,26.619596481323242,G5657
1997-09-14,1997-09-14,26.190311,26.2407,26.180887,26.88587188720703,26.658103942871094,26.425600051879883,G5657
1997-09-18,1997-09-18,26.424978,26.510061,26.03924,26.627700805664062,26.510061264038086,26.425600051879883,G5657
1997-09-21,1997-09-21,26.452593,26.184664,25.678415,26.452592849731445,26.510061264038086,26.425600051879883,G5657
1997-09-25,1997-09-25,25.987246,25.735035,25.329006,26.452592849731445,26.510061264038086,26.18088722229004,G5657
1997-09-28,1997-09-28,25.658842,25.44192,25.068657,26.452592849731445,26.510061264038086,26.03923988342285,G5657
1997-10-02,1997-10-02,25.209068,25.049532,24.66219,26.452592849731445,26.184663772583008,25.678415298461914,G5657
1997-10-05,1997-10-05,24.880674,24.711313,24.568443,25.987245559692383,25.735034942626953,25.32900619506836,G5657
1997-10-09,1997-10-09,24.579525,24.659084,24.462679,25.658842086791992,25.441919326782227,25.06865692138672,G5657
1997-10-12,1997-10-12,25.331299,25.426657,25.054476,25.331298828125,25.42665672302246,25.054475784301758,G5657
1997-10-16,1997-10-16,25.258593,24.984222,24.547207,25.331298828125,25.42665672302246,25.054475784301758,G5657
1997-10-19,1997-10-19,25.000639,24.700796,24.184206,25.331298828125,25.42665672302246,25.054475784301758,G5657
1997-10-23,1997-10-23,24.76203,24.548372,24.65195,25.331298828125,25.42665672302246,25.054475784301758,G5657
1997-10-26,1997-10-26,24.327732,23.868181,23.687334,25.25859260559082,24.984222412109375,24.65195083618164,G5657
1997-10-30,1997-10-30,23.625385,23.594322,23.282124,25.000638961791992,24.700796127319336,24.65195083618164,G5657
1997-11-02,1997-11-02,23.55488,23.288786,22.840906,24.76202964782715,24.548372268676758,24.927505493164062,G5657
1997-11-06,1997-11-06,23.124151,22.88488,22.329386,24.32773208618164,23.868181228637695,30.409502029418945,G5657
1997-11-09,1997-11-09,22.846928,22.457987,22.07545,29.26991081237793,30.962650299072266,85.35840606689453,G5657
1997-11-13,1997-11-13,22.263382,22.00202,24.927505,31.031625747680664,53.42107009887695,150.4588165283203,G5657
1997-11-16,1997-11-16,22.16171,23.443874,30.409502,155.37042236328125,177.27694702148438,216.35157775878906,G5657
1997-11-20,1997-11-20,29.26991,30.96265,85.358406,204.56492614746094,177.27694702148438,249.24937438964844,G5657
