,time,dis,dis_3,dis_7,max_dt_3days,3max_dt_3days,7max_dt_3days,station
1997-01-02,1997-01-02,8.660206,6.9634576,5.910897,8.660205841064453,7.921061992645264,5.9108967781066895,G4965
1997-01-05,1997-01-05,8.363789,6.8166156,5.786668,8.660205841064453,7.921061992645264,6.623416423797607,G4965
1997-01-09,1997-01-09,6.56731,6.2250247,5.631753,8.660205841064453,7.921061992645264,6.623416423797607,G4965
1997-01-12,1997-01-12,7.4187284,7.921062,5.8203697,9.672409057617188,7.921061992645264,6.623416423797607,G4965
1997-01-16,1997-01-16,8.4416065,6.993901,6.6234164,9.672409057617188,7.921061992645264,6.623416423797607,G4965
1997-01-19,1997-01-19,6.3701534,5.88359,5.2947264,9.672409057617188,9.212678909301758,6.623416423797607,G4965
1997-01-23,1997-01-23,9.672409,6.66164,5.1353693,9.672409057617188,9.212678909301758,6.623416423797607,G4965
1997-01-26,1997-01-26,6.739076,5.36396,4.925827,9.672409057617188,9.212678909301758,6.623416423797607,G4965
1997-01-30,1997-01-30,7.5523562,9.212679,5.749265,9.672409057617188,9.212678909301758,5.749265193939209,G4965
1997-02-02,1997-02-02,8.674029,5.543368,4.328382,9.672409057617188,9.212678909301758,5.749265193939209,G4965
1997-02-06,1997-02-06,5.101936,4.4519444,4.0140476,8.674029350280762,9.212678909301758,5.749265193939209,G4965
1997-02-09,1997-02-09,4.452572,4.1006756,3.8571007,8.674029350280762,9.212678909301758,5.749265193939209,G4965
1997-02-13,1997-02-13,4.030306,4.155983,3.9759033,8.674029350280762,5.543367862701416,4.3283820152282715,G4965
1997-02-16,1997-02-16,4.9212255,5.2023315,3.940053,5.101935863494873,5.20233154296875,4.014047622680664,G4965
1997-02-20,1997-02-20,4.8436394,3.9714472,3.528058,6.418102264404297,9.739570617675781,4.960902690887451,G4965
1997-02-23,1997-02-23,3.9713433,3.597278,3.4389827,8.30368423461914,9.739570617675781,4.960902690887451,G4965
1997-02-27,1997-02-27,3.6488702,4.036038,4.001212,8.30368423461914,9.739570617675781,5.582969665527344,G4965
1997-03-02,1997-03-02,6.4181023,9.739571,4.9609027,26.437894821166992,10.600658416748047,6.70449686050415,G4965
1997-03-06,1997-03-06,8.303684,5.3199353,4.282577,26.437894821166992,10.600658416748047,12.826396942138672,G4965
1997-03-09,1997-03-09,5.821482,8.194584,5.5829697,187.12095642089844,30.302635192871094,12.826396942138672,G4965
1997-03-13,1997-03-13,26.437895,10.600658,6.704497,187.12095642089844,30.302635192871094,12.826396942138672,G4965
1997-03-16,1997-03-16,11.041309,8.898,12.826397,187.12095642089844,30.302635192871094,12.826396942138672,G4965
1997-03-20,1997-03-20,187.12096,30.302635,7.688265,187.12095642089844,30.302635192871094,12.826396942138672,G4965
1997-03-23,1997-03-23,51.346317,19.404503,6.542121,187.12095642089844,30.302635192871094,28.2930965423584,G4965
1997-03-27,1997-03-27,20.492783,9.616834,7.1723557,187.12095642089844,30.302635192871094,39.71561813354492,G4965
1997-03-30,1997-03-30,9.739756,7.9487348,7.302209,187.12095642089844,30.302635192871094,39.71561813354492,G4965
1997-04-03,1997-04-03,8.086033,8.317379,28.293097,127.73228454589844,27.322614669799805,39.71561813354492,G4965
1997-04-06,1997-04-06,8.25566,17.183931,39.71562,127.73228454589844,27.322614669799805,39.71561813354492,G4965
1997-04-10,1997-04-10,127.732285,27.322615,10.842044,127.73228454589844,27.322614669799805,39.71561813354492,G4965
1997-04-13,1997-04-13,26.058626,12.389948,8.090455,127.73228454589844,27.322614669799805,39.71561813354492,G4965
1997-04-17,1997-04-17,10.953096,8.722149,8.050901,127.73228454589844,27.322614669799805,39.71561813354492,G4965
1997-04-20,1997-04-20,8.916836,13.363621,9.465377,127.73228454589844,27.322614669799805,10.84204387664795,G4965
1997-04-24,1997-04-24,20.912073,11.212377,8.701537,26.058626174926758,14.541831016540527,9.465376853942871,G4965
1997-04-27,1997-04-27,15.270731,14.541831,7.9812055,20.912073135375977,14.541831016540527,10.93044662475586,G4965
1997-05-01,1997-05-01,16.268976,9.266428,6.847553,20.912073135375977,14.541831016540527,10.93044662475586,G4965
1997-05-04,1997-05-04,9.298825,7.405845,6.932662,20.912073135375977,14.541831016540527,10.93044662475586,G4965
1997-05-08,1997-05-08,7.9920177,7.8166246,10.930447,16.26897621154785,14.541831016540527,10.93044662475586,G4965
1997-05-11,1997-05-11,7.8212986,7.684023,7.279519,74.224853515625,16.214813232421875,10.93044662475586,G4965
1997-05-15,1997-05-15,7.7574906,7.92587,7.5075316,74.224853515625,16.214813232421875,13.873209953308105,G4965
1997-05-18,1997-05-18,7.869653,8.98657,9.104785,74.224853515625,17.720415115356445,17.88738441467285,G4965
