,time,dis,dis_3,dis_7,max_dt_3days,3max_dt_3days,7max_dt_3days,station
1997-01-02,1997-01-02,1257.9043,1294.6217,1332.514,1370.68017578125,1396.5992431640625,1838.1339111328125,G1724
1997-01-05,1997-01-05,1282.268,1252.1848,1262.788,1633.2647705078125,1908.7283935546875,1936.754150390625,G1724
1997-01-09,1997-01-09,1370.6802,1342.8795,1455.6575,1745.377197265625,2412.7099609375,2198.481201171875,G1724
1997-01-12,1997-01-12,1352.7687,1396.5992,1838.1339,1852.0303955078125,2412.7099609375,2198.481201171875,G1724
1997-01-16,1997-01-16,1633.2648,1908.7284,1936.7542,1931.4683837890625,2412.7099609375,2198.481201171875,G1724
1997-01-19,1997-01-19,1745.3772,2412.71,2198.4812,1978.4901123046875,2412.7099609375,2198.481201171875,G1724
1997-01-23,1997-01-23,1852.0304,2060.868,1941.1155,1978.4901123046875,2412.7099609375,2198.481201171875,G1724
1997-01-26,1997-01-26,1931.4684,1904.6349,2145.6606,2496.457763671875,3830.920166015625,3123.02001953125,G1724
1997-01-30,1997-01-30,1978.4901,2057.4224,2129.9812,2693.120849609375,3830.920166015625,3123.02001953125,G1724
1997-02-02,1997-02-02,1913.3896,2106.8665,2147.3657,3619.60791015625,3830.920166015625,3123.02001953125,G1724
1997-02-06,1997-02-06,2496.4578,3830.9202,3123.02,3619.60791015625,3830.920166015625,3123.02001953125,G1724
1997-02-09,1997-02-09,2693.1208,3240.9832,2947.7703,3619.60791015625,3830.920166015625,3610.789306640625,G1724
1997-02-13,1997-02-13,3619.608,3278.7373,2907.1616,3619.60791015625,3830.920166015625,3610.789306640625,G1724
1997-02-16,1997-02-16,3380.2866,3298.7427,3034.8184,3619.60791015625,3830.920166015625,3610.789306640625,G1724
1997-02-20,1997-02-20,3268.709,3424.96,3610.7893,3619.60791015625,3424.9599609375,3610.789306640625,G1724
1997-02-23,1997-02-23,3139.9216,3194.7812,3009.4434,3619.60791015625,3424.9599609375,3610.789306640625,G1724
1997-02-27,1997-02-27,2884.1023,2849.1328,2762.649,3380.28662109375,3424.9599609375,3610.789306640625,G1724
1997-03-02,1997-03-02,2712.8503,2672.3591,2538.985,3268.708984375,3424.9599609375,3610.789306640625,G1724
1997-03-06,1997-03-06,2517.0706,2513.2368,2434.659,3139.921630859375,3194.78125,3009.443359375,G1724
1997-03-09,1997-03-09,2386.7068,2370.8188,2551.275,2884.102294921875,2849.1328125,2762.64892578125,G1724
1997-03-13,1997-03-13,2301.82,2456.3528,2329.027,2712.850341796875,2672.359130859375,2551.27490234375,G1724
1997-03-16,1997-03-16,2288.1929,2248.2295,2251.2954,2517.070556640625,2513.23681640625,2551.27490234375,G1724
1997-03-20,1997-03-20,2147.3328,2155.862,2215.798,2386.706787109375,2456.352783203125,2551.27490234375,G1724
1997-03-23,1997-03-23,2101.1326,2172.9219,2218.8447,2301.820068359375,2456.352783203125,2401.760986328125,G1724
1997-03-27,1997-03-27,2111.027,2182.8547,2280.1616,2288.19287109375,2374.571533203125,2401.760986328125,G1724
1997-03-30,1997-03-30,2097.0334,2111.9976,2151.1943,3026.909423828125,2536.85009765625,2404.26708984375,G1724
1997-04-03,1997-04-03,2061.2026,2098.9229,2401.761,3026.909423828125,2536.85009765625,2404.26708984375,G1724
1997-04-06,1997-04-06,2088.5793,2374.5715,2364.487,3026.909423828125,2536.85009765625,2404.26708984375,G1724
1997-04-10,1997-04-10,3026.9094,2536.85,2404.267,3026.909423828125,2536.85009765625,2404.26708984375,G1724
1997-04-13,1997-04-13,2520.3323,2378.2156,2375.6118,3026.909423828125,2536.85009765625,2404.26708984375,G1724
1997-04-17,1997-04-17,2341.3936,2318.8828,2348.974,3026.909423828125,2536.85009765625,2404.26708984375,G1724
1997-04-20,1997-04-20,2304.0774,2297.3093,2320.6118,3026.909423828125,2536.85009765625,2404.26708984375,G1724
1997-04-24,1997-04-24,2273.6985,2267.7559,2295.4429,2520.332275390625,2378.215576171875,2375.61181640625,G1724
1997-04-27,1997-04-27,2252.5664,2249.3982,2266.6633,2341.3935546875,2318.8828125,2348.97412109375,G1724
1997-05-01,1997-05-01,2230.0925,2226.6213,2233.564,2304.077392578125,2297.309326171875,2320.61181640625,G1724
1997-05-04,1997-05-04,2213.1765,2208.149,2205.2864,2273.698486328125,2267.755859375,2295.44287109375,G1724
1997-05-08,1997-05-08,2188.1497,2173.2258,2161.1294,2252.56640625,2249.398193359375,2266.663330078125,G1724
1997-05-11,1997-05-11,2165.9167,2143.9026,2123.664,2230.092529296875,2226.621337890625,2233.56396484375,G1724
1997-05-15,1997-05-15,2126.3142,2099.455,2077.834,2213.176513671875,2208.14892578125,2205.286376953125,G1724
1997-05-18,1997-05-18,2093.8442,2067.2236,2042.7412,2188.149658203125,2173.225830078125,2161.12939453125,G1724
1997-05-22,1997-05-22,2051.146,2024.1666,1998.9884,2165.916748046875,2143.902587890625,2123.6640625,G1724
1997-05-25,1997-05-25,2020.3708,1993.62,1972.0471,2126.314208984375,2099.455078125,2077.833984375,G1724
1997-05-29,1997-05-29,1980.6206,1957.2402,1930.4814,2093.84423828125,2067.2236328125,2042.7412109375,G1724
1997-06-01,1997-06-01,1955.8242,1930.1508,1902.6943,2051.14599609375,2024.1666259765625,1998.9884033203125,G1724
1997-06-05,1997-06-05,1920.507,1896.514,1868.0161,2020.370849609375,1993.6199951171875,1972.047119140625,G1724
1997-06-08,1997-06-08,1895.1665,1869.5154,1841.8646,1980.62060546875,1957.240234375,1930.4814453125,G1724
