,time,dis,dis_3,dis_7,max_dt_3days,3max_dt_3days,7max_dt_3days,station
1997-01-02,1997-01-02,2.6025571e-05,2.6681933e-05,0.00013335554,1.8183122873306274,373.5421447753906,1098.1744384765625,G1361
1997-01-05,1997-01-05,2.2442102e-05,3.735088e-05,2.158975,622.7745361328125,1111.9906005859375,1279.1859130859375,G1361
1997-01-09,1997-01-09,3.2247044e-05,1.4057322,586.39166,1097.9227294921875,1273.9107666015625,1294.546875,G1361
1997-01-12,1997-01-12,1.8183123,373.54214,1098.1744,1300.3614501953125,1328.5921630859375,1324.957763671875,G1361
1997-01-16,1997-01-16,622.77454,1111.9906,1279.1859,1350.6468505859375,1370.837158203125,1366.8558349609375,G1361
1997-01-19,1997-01-19,1097.9227,1273.9108,1294.5469,1350.6468505859375,1370.837158203125,1415.4033203125,G1361
1997-01-23,1997-01-23,1300.3615,1328.5922,1324.9578,1350.6468505859375,1388.9892578125,1517.7958984375,G1361
1997-01-26,1997-01-26,1350.6469,1370.8372,1366.8558,1420.2059326171875,1541.1060791015625,1607.19580078125,G1361
1997-01-30,1997-01-30,1326.6171,1327.7848,1415.4033,1544.1707763671875,1626.4979248046875,1607.19580078125,G1361
1997-02-02,1997-02-02,1316.6945,1388.9893,1517.7959,1594.7137451171875,1626.4979248046875,1607.19580078125,G1361
1997-02-06,1997-02-06,1420.2059,1541.1061,1607.1958,1594.7137451171875,1626.4979248046875,1607.19580078125,G1361
1997-02-09,1997-02-09,1544.1708,1626.4979,1596.3269,1594.7137451171875,1626.4979248046875,1607.19580078125,G1361
1997-02-13,1997-02-13,1594.7137,1553.6229,1516.6309,1594.7137451171875,1626.4979248046875,1607.19580078125,G1361
1997-02-16,1997-02-16,1561.4434,1535.4574,1483.047,1594.7137451171875,1626.4979248046875,1607.19580078125,G1361
1997-02-20,1997-02-20,1513.6146,1450.0402,1403.3859,1594.7137451171875,1626.4979248046875,1701.31103515625,G1361
1997-02-23,1997-02-23,1439.4557,1382.7014,1456.3035,1594.7137451171875,1695.200927734375,1736.5010986328125,G1361
1997-02-27,1997-02-27,1379.6349,1419.3951,1593.2108,1685.6502685546875,1707.95458984375,1769.365966796875,G1361
1997-03-02,1997-03-02,1419.2755,1542.0958,1701.311,1712.09814453125,1751.92626953125,2016.220458984375,G1361
1997-03-06,1997-03-06,1580.6383,1695.2009,1736.5011,1753.1241455078125,1926.6041259765625,2245.49072265625,G1361
1997-03-09,1997-03-09,1685.6503,1707.9546,1769.366,2019.5640869140625,2277.808837890625,2356.348876953125,G1361
1997-03-13,1997-03-13,1712.0981,1751.9263,2016.2205,2274.75732421875,2348.459716796875,2356.348876953125,G1361
1997-03-16,1997-03-16,1753.1241,1926.6041,2245.4907,2346.62060546875,2348.459716796875,2356.348876953125,G1361
1997-03-20,1997-03-20,2019.5641,2277.8088,2356.3489,2346.62060546875,2348.459716796875,2519.813232421875,G1361
1997-03-23,1997-03-23,2274.7573,2348.4597,2283.0593,2346.62060546875,2512.522216796875,2741.0546875,G1361
1997-03-27,1997-03-27,2346.6206,2280.0466,2334.2834,2511.440185546875,2689.3505859375,2778.6748046875,G1361
1997-03-30,1997-03-30,2287.233,2304.8286,2519.8132,2729.770751953125,2771.529541015625,2778.6748046875,G1361
1997-04-03,1997-04-03,2341.7915,2512.5222,2741.0547,2770.80029296875,2771.529541015625,2778.6748046875,G1361
1997-04-06,1997-04-06,2511.4402,2689.3506,2778.6748,2770.80029296875,2771.529541015625,2788.61083984375,G1361
1997-04-10,1997-04-10,2729.7708,2771.5295,2703.5974,2770.80029296875,2771.529541015625,2859.58349609375,G1361
1997-04-13,1997-04-13,2770.8003,2719.203,2672.9043,2786.630615234375,2857.365234375,2859.58349609375,G1361
1997-04-17,1997-04-17,2698.675,2673.1023,2788.6108,2857.466552734375,2857.365234375,2859.58349609375,G1361
1997-04-20,1997-04-20,2673.2417,2749.7395,2859.5835,2857.466552734375,2857.365234375,2859.58349609375,G1361
1997-04-24,1997-04-24,2786.6306,2857.3652,2782.503,2857.466552734375,2857.365234375,2859.58349609375,G1361
1997-04-27,1997-04-27,2857.4666,2816.165,2662.1873,2857.466552734375,2857.365234375,2859.58349609375,G1361
1997-05-01,1997-05-01,2782.813,2661.12,2494.54,2857.466552734375,2857.365234375,2859.58349609375,G1361
1997-05-04,1997-05-04,2661.2368,2534.8274,2379.1177,2857.466552734375,2857.365234375,2782.5029296875,G1361
1997-05-08,1997-05-08,2494.5442,2379.068,2236.862,2857.466552734375,2816.1650390625,2662.187255859375,G1361
1997-05-11,1997-05-11,2379.1462,2271.2107,2136.4224,2782.81298828125,2661.1201171875,2494.5400390625,G1361
1997-05-15,1997-05-15,2236.727,2136.4734,2009.9406,2661.23681640625,2534.827392578125,2379.11767578125,G1361
1997-05-18,1997-05-18,2136.478,2040.8717,1919.302,2494.544189453125,2379.068115234375,2236.862060546875,G1361
1997-05-22,1997-05-22,2009.9259,1919.1796,1801.6864,2379.146240234375,2271.210693359375,2136.42236328125,G1361
1997-05-25,1997-05-25,1919.278,1830.6576,1714.522,2236.72705078125,2136.473388671875,2009.9405517578125,G1361
