;Year;ONIjuly;P_Sum;P_Cum;SM_Mean;Anomaly_SM;SM_Mean_Low;Anomaly_SM_low;Teff_Mean;Anomaly_Teff;DS_Cat0;DS_Cat0_Cum;DS_Cat1;DS_Cat1_Cum;DS_Cat2;DS_Cat2_Cum;DS_Cat3;DS_Cat3_Cum;VOD_Mean;;Anomaly_VOD;Anomaly_VOD_march_1;VOD_march;NDVI_Mean;;Anomaly_NDVI;NDVI_march;Anomaly_NDVI_march_1;Anomaly_NDVI_march;Anomaly_VOD_march
11;30-11-2002;0.8;29.655;29.655;0.14488795;-0.32829547;0.162490695;-0.043744297;299.2639;-0.350923243;3;3;1;1;2;2;1;1;0.31061602;;0.124611388;0.774163984;0.56474775;0.29899471;;-0.048605;0.718816589;1.431706639;0.440171;0.280595202
11;30-11-2003;0.2;38.034;38.034;0.15554848;0.001030598;0.150935386;-0.256371146;299.94592;-0.014015584;1;1;1;1;1;1;1;1;0.30110434;;0.025782746;-0.166955589;0.53191805;0.296884668;;-0.063878;0.687396527;0.684328828;0.212736;-0.060513313
11;30-11-2004;0.6;100.696;100.696;0.18855909;1.020797216;0.203552375;0.711823176;298.98254;-0.489898217;2;2;3;3;1;1;0;0;0.33557373;;0.383928077;-1.331169553;0.491306;0.330238361;;0.177554;0.568512306;-2.143527744;-0.647812;-0.482482836
11;30-11-2005;-0.1;51.862;51.862;0.17461577;0.590059033;0.158705325;-0.113398107;299.1863;-0.389243493;3;3;3;3;1;1;0;0;0.284311;;-0.148699773;1.243244568;0.581111;0.287344455;;-0.132936;0.69480607;0.860576985;0.26637;0.450618404
11;30-11-2006;0.3;150.736;150.736;0.1588861;0.104136721;0.167017795;0.039557933;298.9752;-0.493531254;3;3;2;2;1;1;0;0;0.293375;;-0.054531724;0.190479616;0.5443867;0.323182506;;0.126479;0.693562388;0.830993965;0.257368;0.069038821
11;30-11-2007;-0.6;73.256;73.256;0.18202308;0.818886276;0.200778187;0.660775917;298.33215;-0.811173264;2;2;5;5;3;3;0;0;0.35282442;;0.563166872;0.916455512;0.5697114;0.399553833;;0.679296;0.668628963;0.237911476;0.076886;0.332168581
11;30-11-2008;-0.3;29.023;29.023;0.13393;-0.666809685;0.139246215;-0.471461161;300.90894;0.461686152;4;4;3;3;1;1;2;2;0.27730465;;-0.221501744;-0.163955618;0.5320227;0.27996576;;-0.186347;0.632745262;-0.615641324;-0.182859;-0.05942581
11;30-11-2009;0.5;79.913;79.913;0.16244784;0.214166177;0.168473597;0.066345844;299.1013;-0.431242004;4;4;2;2;4;4;0;0;0.29602063;;-0.027038225;-1.278956003;0.4931274;0.311427668;;0.041392;0.664687755;0.144163366;0.048358;-0.463557445
11;30-11-2010;-1.2;76.509;76.509;0.16391023;0.259342314;0.168503977;0.06690486;299.8432;-0.064757504;1;1;1;1;1;1;1;1;0.27734312;;-0.221101982;-0.909623538;0.50601107;0.285158814;;-0.148757;0.617652071;-0.974657676;-0.292112;-0.329693079
11;30-11-2012;0.3;40.339;40.339;0.16544348;0.306707771;0.143014132;-0.402128501;300.59628;0.307244388;3;3;4;4;2;2;1;1;0.3074946;;0.092179229;1.412087205;0.58700085;0.266891153;;-0.280988;0.684960808;0.626391249;0.195105;0.511810234
11;30-11-2013;-0.3;70.639;70.639;0.15191904;-0.11109059;0.163221073;-0.030304763;301.1982;0.604580585;2;2;2;2;2;2;2;2;0.35404626;;0.575862038;0.852110209;0.5674668;0.348896739;;0.312613;0.681112732;0.534858437;0.16725;0.308846732
11;30-11-2014;0;48.611;48.611;0.11626779;-1.212432175;0.146422809;-0.339406141;301.39102;0.699823441;1;1;2;2;3;3;2;2;0.24393255;;-0.56824595;-0.553781342;0.51842415;0.280815994;;-0.180192;0.669245289;0.252571803;0.081347;-0.20071814
11;30-11-2015;1.4;67.922;67.922;0.1570492;0.047390698;0.169954795;0.093601062;300.22855;0.125592534;2;2;2;2;2;2;2;2;0.29362825;;-0.051895645;-1.752594594;0.47660515;0.29349665;;-0.088403;0.582201526;-1.817907149;-0.548722;-0.635227693
11;30-11-2016;-0.6;65.19;65.19;0.14788768;-0.235627746;;;301.5211;0.764072421;1;1;2;2;1;1;1;1;0.2623725;;-0.37665044;0.768495142;0.56455;0.269048543;;-0.265371;0.656450686;-0.051768857;-0.011267;0.278540343
12;31-12-2002;0.8;115.919;145.574;0.18092406;-0.75183296;0.206804889;-0.459285835;298.7444;0.407230723;3;6;3;4;2;4;0;1;0.32136017;;-0.412251419;0.774163984;0.56474775;0.342067326;;-0.546774;0.718816589;1.431706639;0.440171;0.280595202
12;31-12-2003;0.2;65.242;103.276;0.18059;-0.762152595;0.195471675;-0.66782596;300.29596;1.173665874;3;4;2;3;1;2;0;1;0.32203582;;-0.405231269;-0.166955589;0.53191805;0.324354833;;-0.674987;0.687396527;0.684328828;0.212736;-0.060513313
12;31-12-2004;0.6;193.838;294.534;0.21451047;0.285721655;0.254876199;0.425264388;295.25546;-1.316200665;5;7;2;5;1;2;0;0;0.42012602;;0.613949567;-1.331169553;0.491306;0.526601811;;0.788985;0.568512306;-2.143527744;-0.647812;-0.482482836
12;31-12-2005;-0.1;237.378;289.24;0.23488662;0.915183467;0.259180926;0.504474778;296.30945;-0.795560824;2;5;2;5;1;2;0;0;0.367057;;0.062551772;1.243244568;0.581111;0.440883941;;0.168513;0.69480607;0.860576985;0.26637;0.450618404
12;31-12-2006;0.3;149.016;299.752;0.19537266;-0.305485512;0.233546698;0.032784656;298.65842;0.364764891;0;3;1;3;1;2;0;0;0.405354;;0.4604634;0.190479616;0.5443867;0.484371133;;0.483297;0.693562388;0.830993965;0.257368;0.069038821
12;31-12-2007;-0.6;201.429;274.685;0.24065346;1.093333192;0.301529509;1.283722287;295.67932;-1.106826175;0;2;0;5;0;3;0;0;0.4712294;;1.144926036;0.916455512;0.5697114;0.528695744;;0.804142;0.668628963;0.237911476;0.076886;0.332168581
12;31-12-2008;-0.3;79.171;108.194;0.24924234;1.358661689;0.247452766;0.288667334;297.1492;-0.380746378;1;5;1;4;0;1;1;3;0.328806;;-0.334887326;-0.163955618;0.5320227;0.385933907;;-0.229245;0.632745262;-0.615641324;-0.182859;-0.05942581
12;31-12-2009;0.5;59.681;139.594;0.18813537;-0.529060412;0.224824206;-0.127716113;298.44913;0.26138162;1;5;2;4;1;5;1;1;0.37019566;;0.095161052;-1.278956003;0.4931274;0.437614287;;0.144846;0.664687755;0.144163366;0.048358;-0.463557445
12;31-12-2010;-1.2;109.281;185.79;0.21095476;0.175878171;0.270836933;0.71895455;296.07492;-0.91141099;4;5;0;1;0;1;0;1;0.39665565;;0.370086746;-0.909623538;0.50601107;0.525774221;;0.782995;0.617652071;-0.974657676;-0.292112;-0.329693079
12;31-12-2012;0.3;118.103;158.442;0.24297506;1.165052306;0.226529056;-0.096345522;298.69357;0.38213111;2;5;2;6;0;2;0;1;0.35284802;;-0.085085044;1.412087205;0.58700085;0.375086599;;-0.307763;0.684960808;0.626391249;0.195105;0.511810234
12;31-12-2013;-0.3;168.554;239.193;0.19002068;-0.470819244;0.218785251;-0.238837674;299.0179;0.542346538;3;5;1;3;0;2;0;2;0.38649616;;0.26452717;0.852110209;0.5674668;0.366905068;;-0.366985;0.681112732;0.534858437;0.16725;0.308846732
12;31-12-2014;0;229.36;277.971;0.16802855;-1.150202254;0.201889255;-0.549737399;298.7143;0.392366928;1;2;2;4;0;3;0;2;0.24233113;;-1.233382177;-0.553781342;0.51842415;0.317072788;;-0.727698;0.669245289;0.252571803;0.081347;-0.20071814
12;31-12-2015;1.4;161.616;229.538;0.17453697;-0.949143381;0.213036029;-0.344627918;300.00626;1.030560393;4;6;1;3;1;3;0;2;0.3355771;;-0.264534093;-1.752594594;0.47660515;0.394396847;;-0.167985;0.582201526;-1.817907149;-0.548722;-0.635227693
12;31-12-2016;-0.6;187.353;252.543;0.2028293;-0.075134123;;;297.8315;-0.043703046;3;4;0;2;0;1;0;1;0.33444524;;-0.276294416;0.768495142;0.56455;0.420799289;;0.02313;0.656450686;-0.051768857;-0.011267;0.278540343
1;31-1-2003;0.2;64.979;210.553;0.2122239;0.203060839;0.275474128;0.017795922;296.22998;-0.201966281;3;9;5;9;2;6;1;2;0.42559025;;-0.249958745;0.774163984;0.56474775;0.551752572;;-0.16598;0.718816589;1.431706639;0.440171;0.280595202
1;31-1-2004;0.6;161.053;264.329;0.16701803;-1.193443336;0.216146764;-1.07387462;298.5313;0.934827604;2;6;2;5;1;3;1;2;0.3690084;;-0.837857854;-0.166955589;0.53191805;0.370234403;;-1.479906;0.687396527;0.684328828;0.212736;-0.060513313
1;31-1-2005;-0.1;138.153;432.687;0.19315785;-0.385929388;0.25976843;-0.271201375;296.72467;0.042396918;1;8;2;7;0;2;0;0;0.502377;;0.547878807;-1.331169553;0.491306;0.639086463;;0.46619;0.568512306;-2.143527744;-0.647812;-0.482482836
1;31-1-2007;-0.6;153.405;453.157;0.24631976;1.256353151;0.317551826;0.792058932;294.7239;-0.945924842;3;6;2;5;3;5;0;0;0.4667162;;0.177349821;0.190479616;0.5443867;0.628403558;;0.388861;0.693562388;0.830993965;0.257368;0.069038821
1;31-1-2008;-0.3;221.726;496.411;0.21732749;0.360721363;0.310543686;0.663103598;295.67508;-0.476072146;0;2;1;6;1;4;0;0;0.5189501;;0.720072679;0.916455512;0.5697114;0.686072858;;0.806303;0.668628963;0.237911476;0.076886;0.332168581
